question,answer,ground truth
how many episodes are there in dragon ball z,291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,29 and 30 March 1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R.H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Mandy Moore,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,1985,"['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Rose,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Light Novel Volume 3,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"1. Fifty Shades of Grey
2. Fifty Shades Darker
3. Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,['judges']
what are the ranks in the us navy,"**Enlisted Ranks**
Seaman Recruit (SR)
Seaman Apprentice (SA)
Seaman (SN)
Petty Officer Third Class (PO3)
Petty Officer Second Class (PO2)
Petty Officer First Class (PO1)
Chief Petty Officer (CPO)
Senior Chief Petty Officer (SCPO)
Master Chief Petty Officer (MCPO)
Fleet Master Chief Petty Officer (FLTCM)
Force Master Chief Petty Officer (FORCM)
Master Chief Petty Officer of the Navy (MCPON)

**Warrant Officer Ranks**
Warrant Officer 1 (WO1)
Chief Warrant Officer 2 (CWO2)
Chief Warrant Officer 3 (CWO3)
Chief Warrant Officer 4 (CWO4)
Chief Warrant Officer 5 (CWO5)

**Commissioned Officer Ranks**
Ensign (ENS)
Lieutenant Junior Grade (LTJG)
Lieutenant (LT)
Lieutenant Commander (LCDR)
Commander (CDR)
Captain (CAPT)
Rear Admiral (lower half) (RDML)
Rear Admiral (upper half) (RADM)
Vice Admiral (VADM)
Admiral (ADM)
Fleet Admiral (FADM)","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,['Guy Boucher']
last episode of what happens to my family,53,['53']
when is the last time the vikings were in the nfc championship,"January 21, 2018","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, White, Blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:6-21,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Sicily,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"Veronica is a name of Latin origin, meaning ""she who brings victory"" or ""true image."" It is also the name of a genus of flowering plants.",['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,No one,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,['Donna']
an object that moves around an external axis is said to be,revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs, webbing, bosses, springers","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,['James Brown']
where does a roadrunner live in the desert,Southwestern United States and Mexico,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Stephen J. Cannell,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,['Spike']
who are nominated for president of india 2017,"Ram Nath Kovind
Meira Kumar","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,"Newark Penn Station
Newark World Trade Center (no, this is in NYC, careful)
Newark Broad Street (no, this is NJ Transit, careful)

Okay, let me re-evaluate. The PATH train has only one stop IN Newark.

Newark Penn Station.Newark Penn Station",['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,['Meri']
when did houston go to the american league,2013,['2013']
when did they stop cigarette advertising on television,"January 2, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees or radians,['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial effect of heavy metals at low concentrations.,['a biocidal effect of metals']
where does the white witch live in narnia,Her castle,['her castle']
how many games in a row have the uconn women's basketball team won,0,"['111 straight wins', '111', '90']"
is there a name for the at symbol,At sign,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,September 2019,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1991,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartholomew Dias,['Bartolomeu Dias']
who ordered the forbidden city to be built,Yongle Emperor,['Zhu Di']
who sang let me tell you about the birds and the bees,Jewel Akens,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President,['the President']
how many seasons of the rugrats are there,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,High inflation and unemployment.,['Inequality of opportunity']
when did toyota start making cars in the us,1986,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,"September 3, 1783","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, Beyoncé, and Bruno Mars","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Cadillac,['Cadillac']
what is the minimum wage in france per hour,€11.65,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. Vascular Spasm
2. Platelet Plug Formation
3. Coagulation (or Blood Coagulation)","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 22, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,Lower leg,['leg']
who played bat masterson in the tv series,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine Skiing, Cross-Country Skiing, Freestyle Skiing, Nordic Combined, Ski Jumping, Biathlon","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,"New England Patriots, Philadelphia Eagles, Minnesota Vikings, Pittsburgh Steelers",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,September 2024,['January 2018']
who was the great wall of china built to defend against,"Nomadic tribes, primarily the Mongols","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Joudeh and Nuseibeh families,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"January 3, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Four,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,['137']
what is the angle of the tower of pisa,3.97 degrees,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,18.3%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Helena,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"January 15, 1999","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9, 2024","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,Banks or credit unions.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,No one.,['Caroline Forbes']
what is the meaning of cc and bcc,"CC: Carbon Copy
BCC: Blind Carbon Copy","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2nd,['November 2']
when do you celebrate birthday if born on feb 29,February 28th or March 1st,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,Catskill/Delaware Watershed and the Croton Watershed.,['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida",['Camping World Stadium']
what year does the quiet man take place,1920s,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,Lesley Ann Warren,['George Strait']
how many episodes of greys anatomy season 14,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,1%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Centrally planned economy (or command economy),"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,['16']
who started ww2 and how did it start,Nazi Germany started WW2 with the invasion of Poland.,['Nazi Germany']
when did the royal mint move to wales,1968,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,1963,['1963']
how tall is the actor who plays hagrid in harry potter,6 ft 1 in,['6ft 1in']
who is opening for little mix glory days tour,"Sheppard, Lina, BloodPop, Flo Rida","['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,James Barry,['Dr. Jesse Bennett']
who voices randy in f is for family,Trevor Devall,['T.J. Miller']
bible verse taking the lord's name in vain,Exodus 20:7,['Exodus 20:7']
who controlled the house and the senate in 2012,"House: Republican
Senate: Democrat","['Republican', 'Democratic']"
when's the last time army won the army navy game,2023,"['2017', 'Army']"
when does thomas rhett's new album come out,"August 30, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,Dr. Michael Glass,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Wayne Allwine,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,Melvil Dewey,['Melvil Dewey']
where did the jungle book story come from,Rudyard Kipling,['English author Rudyard Kipling']
derek and meredith get back together season 3,Yes,['Staring at the Sun']
who did america declare war on in ww1,Germany,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,Chevrolet LS-based V8,['V8-engine']
when did the sat become out of 1600,March 2016,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environmental factors, lifestyle choices, and socioeconomic status","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,Peter Ostrum is a veterinarian.,"['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Dibrugarh,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018","['March 8, 2018']"
when was united nations convention on the rights of the child created,"November 20, 1989",['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Bibliographic database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1608,"['the beginning', '1608']"
when was coffee first made into a drink,9th century AD,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,There is no significant character named Jared on The Bold and the Beautiful.,['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,"June 11, 2004","['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,"Richard Gere, Debra Winger, Louis Gossett Jr.","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Cherida Langford,['Cheryl Campbell']
name two fibres which are made of proteins,"Silk, Wool","['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,Old Founders Hall / Old Historical Society building,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"Underneath the liver, in the upper right quadrant of the abdomen.",['beneath the liver']
what is the current population of bora bora,"10,605","['10,605']"
where does tropic of cancer pass in india,"Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Nicole DuPort,['Nicole DuPort']
who sings the song only in my dreams,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States,['President of the United States']
who wins the next iron chef super chefs,No winner,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,Early morning,['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt and Marty Stuart,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"* P. Subbarayan
* M. A. Muthiah Chettiar
* C. Rajagopalachari
* T. Prakasam
* O. P. Ramaswamy Reddiar
* P. S. Kumaraswamy Raja
* K. Kamaraj
* M. Bhaktavatsalam
* C. N. Annadurai
* V. R. Nedunchezhiyan (acting)
* M. Karunanidhi
* M. G. Ramachandran
* V. N. Janaki Ramachandran
* J. Jayalalithaa
* O. Panneerselvam
* Edappadi K. Palaniswami
* M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),To raise and spend money to elect and defeat candidates.,['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Republic,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Lining of blood vessels and lymphatic vessels, lining of heart chambers, alveoli of the lungs, lining of serous membranes (pleura, pericardium, peritoneum), Bowman's capsule of the kidney, inner surface of the cornea, and part of the loop of Henle.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
who is president of india in present time,Droupadi Murmu,['Ram Nath Kovind']
what role does the president play in foreign affairs,"Chief diplomat, commander-in-chief, negotiator of treaties, chief foreign policy maker, appoints ambassadors, receives foreign dignitaries.",['negotiates treaties with foreign nations']
when did ole miss beat alabama in football,"2014, 2015","['October 3, 1970', 'September 11, 1976', 'October 13, 2001', 'October 27, 1894', 'October 18, 2003', 'November 5, 1910', 'October 8, 1988', 'October 4, 2014', 'September 19, 2015', 'October 5, 1968']"
what grade was arnold from hey arnold in,Fourth grade,['fourth']
who translated the play neel darpan into english,Michael Madhusudan Dutt,"['Michael Madhusudan Dutta', 'Reverend J.Long']"
when does the miz and maryse show start,"July 24, 2018",['2018']
what channel is celebrity big brother on in the usa,CBS,"['CBS', 'on CBS']"
what is on top of us capitol building,Statue of Freedom,['The Statue of Freedom']
who made the most free throws in nba history,Karl Malone,['Karl Malone']
who is the first president to be impeached,Andrew Johnson,"['Andrew Johnson', 'Johnson']"
why does kerosene oil rise up in the wick of lantern,Capillary action,['capillary action']
when did the sims 4 toddlers come out,"January 12, 2017","['January 2017', 'January 12, 2017', 'the January 2017 patch']"
how many episodes of season 5 of curse of oak island,18,['18']
how many episodes of touching evil are there,16,['16']
hyori bed and breakfast season 2 air date,"February 4, 2018","['February 4, 2018']"
if a piece of music is perceived to have changed key then we say the piece has,modulated,"['transposed', 'transposition']"
who has the most gold medals in the winter olympics of all time,Marit Bjørgen,['Norway']
who sings the song let me love you,Mario,"['DJ Snake featuring Justin Bieber', 'Justin Bieber', 'Singh H Spot']"
when is the fourth movie of the divergent series coming out,The fourth movie of the Divergent series was canceled and did not come out.,['never made']
the cast of don't tell mom the babysitter's dead,"Christina Applegate, Josh Charles, John Getz, Keith Coogan, Danielle Harris, Christopher Pettiet, Adam Binkley, Concetta Tomei, Robert Hy Gorman, Candace Hutson, Jayne Brook, David Duchovny, Kimmy Robertson.","['Kimmy Robertson', 'Jeff Bollow', 'John Getz', 'Keith Coogan', 'Joanna Cassidy', 'Concetta Tomei', 'Robert Hy Gorman', 'David Duchovny', 'Jayne Brook', 'Eda Reiss Merin', 'Christopher Pettiet', 'Dan Castellaneta (voice)', 'Josh Charles', 'Danielle Harris', 'Michael Kopelow', 'Christina Applegate']"
the outer layer of the skin that contains no blood or nerve supply is the,epidermis,['epidermis']
who won the battle of the first battle of bull run,Confederates,"['Confederate victory', 'Confederate forces', 'Confederate']"
which country has the most coastline in the world,Canada,['Canada']
who won battle of the sexes tennis game,Billie Jean King,['Billie Jean King']
who won in the brown vs board of education case,The plaintiffs (Brown et al.),['defendants']
ganglion axons forming the optic nerve run to the,lateral geniculate nucleus,"['pretectal nucleus', 'suprachiasmatic nucleus', 'photoreceptor cells', 'lateral geniculate nucleus', 'optic chiasma']"
when did the word of wisdom become mandatory,1921,['February 1834']
element named after fictional planet from which superman came,Krypton,['Kryptonite']
who wrote and performed i can only imagine,MercyMe,"['Bart Millard', 'Christian rock band MercyMe', 'MercyMe']"
what are the active materials of a lead acid battery,"Lead dioxide, spongy lead, and sulfuric acid.","['Lead', 'sulfuric acid', 'Lead and lead dioxide', 'lead dioxide']"
the roman name for a liberal arts education is known as,artes liberales,"['liberalia studia', 'artes liberales']"
who sings you're welcome in moana credits,Dwayne Johnson,"['Dwayne Johnson', 'Lin-Manuel Miranda', 'Jordan Fisher']"
who developed the central processing unit (cpu),"Various individuals and teams, including Jack Kilby and Robert Noyce (for the integrated circuit which is fundamental to modern CPUs), and Federico Faggin, Ted Hoff, Stanley Mazor, and Masatoshi Shima (for the first microprocessor, the Intel 4004, which is a CPU on a chip).",['John von Neumann']
who was kat slater's sisters in eastenders,"Lynne Hobbs, Little Mo Mitchell, Belinda Peacock","['Zoe', 'Little Mo', 'Lynne']"
what is katie running from in safe haven,"Her abusive husband, Kevin.",['her abusive husband']
when did they replace lead with graphite in pencils,They did not replace lead with graphite.,['never contained the element lead']
what started the war between us and japan,Attack on Pearl Harbor,['attack on Pearl Harbor']
how old is the actress who plays phyllis on y&r,58,"['Gina Tognoni', 'age\xa044']"
who wrote the french declaration of the rights of man and of the citizen,The National Assembly,"['General Lafayette', 'Honoré Mirabeau', 'Lafayette', 'Thomas Jefferson']"
when does sam realize he is jim in ghost whisperer,"In ""Leap of Faith"" (Season 4, Episode 18).",['Leap of Faith']
what size engine does a 2005 honda civic have,1.7L or 2.0L or 1.3L,['1169\xa0cc']
who won college basketball player of the year,Zach Edey,"[""A'ja Wilson"", 'Jalen Brunson']"
a single period of precession of earth's axis is completed in about,"26,000 years","['approximately 26,000 years', '26,000 years']"
locations for the film an englishman who went up a hill,"Llanrhaeadr-ym-Mochnant, Powys, Wales
Llansannan, Conwy, Wales
Berwyn Mountains, Wales","['Llanrhaeadr-ym-Mochnant', 'Llansilin in Powys']"
rizal finished all the chapters of the novel noli me tangere in,Berlin,"['December 1886', 'Spanish']"
who sang the superbowl national anthem in 2017,Luke Bryan,['Luke Bryan']
who did the singing in into the woods,The actors in the production.,"['the cast', 'the cast members']"
which country has won maximum number of gold medal in asian game 2014,China,['China']
which country is the last member of saarc,Afghanistan,['Afghanistan']
who plays timon in lion king on broadway,John E. Brady,['Max Casella']
what caused the breakup of the democratic republican party,"The election of 1824 and the ""corrupt bargain.""",['the disputed 1824 presidential election']
most passing yards in nfl history in a game,554,"['Norm Van Brocklin', '554']"
who has won the most college football national champions,Alabama,['Princeton']
what languages are spoken in india the most,"Hindi, Bengali, Marathi, Telugu, Tamil","['Bengali', 'Telugu', 'Marathi', 'Hindi', 'English']"
what is the name of the hyena in lion king,Shenzi,"['Banzai', 'Shenzi', 'Ed']"
what is the meaning of the dragon boat festival,"The Dragon Boat Festival commemorates the death of Qu Yuan, a patriotic poet and minister from ancient China, and is also a time for warding off evil spirits and disease.",['commemorating fealty and filial piety']
what was the real name of saudi arabia,Kingdom of Hejaz and Nejd,['the Saudi Arab kingdom']
what is the function of the pericardial sac,"Encloses and protects the heart, fixes the heart to the mediastinum, prevents overfilling, provides lubrication, and protects against infection.",['Lubricates the heart']
chris cornell she's going to change the world,The Promise,"[""Can't Change Me""]"
who played the mad hatter in the batman tv show,David Wayne,"['Roddy McDowall', 'David Wayne', 'Benedict Samuel']"
who played the colorado kid in rio bravo,Ricky Nelson,['Ricky Nelson']
other than water what else has hydrogen bonds,"Ammonia, Hydrogen fluoride, Ethanol",['inorganic molecules such as water']
where was when we first met netflix filmed,New Orleans,['New Orleans']
who was the viceroy when the simon commission visited india,Lord Irwin,['Lord Irwin']
what category was hurricane charley when it hit florida,Category 4,"['4', 'Category 4', 'Category\xa04']"
when did the united states host the world cup,"1994, 2026",['1994']
is parallax more pronounced with nearby stars or with distant stars,Nearby stars,"['nearby objects', 'nearby']"
when did the us not go to the olympics,1980,"['The 1980 Summer Olympics', '1980']"
number 4 in roman numerals on clock faces,IIII,['IV']
when was the last year the eagles went to the superbowl,2022,"['following the 2017 season', '2017']"
who is the team that beat the eagles this season,Tampa Bay Buccaneers,"['Dallas Cowboys', 'Seattle Seahawks', 'Kansas City Chiefs']"
when did lionel messi play his first game for barcelona,"October 16, 2004","['2002', '2001', 'October 2004']"
who won the super heavyweight gold medal at the 2000 olympics,Audley Harrison,['Audley Harrison']
who turns into a bear in the hobbit,Beorn,['Beorn']
batman the enemy with episode 5 release date,"March 27, 2018","['March\xa027,\xa02018']"
yeh hai mohabbatein serial star cast real name,"Divyanka Tripathi Dahiya as Dr. Ishita Bhalla
Karan Patel as Raman Bhalla
Ruhanika Dhawan as Pihu Bhalla
Aditi Bhatia as Ruhi Bhalla
Abhishek Verma as Aditya Bhalla
Anita Hassanandani as Shagun Arora
Aly Goni as Romi Bhalla
Sangram Singh as Ashok Khanna
Mihika Verma/Avantika Hundal as Mihika Iyer
Shireen Mirza as Simmi Bhalla
Kaushal Kapoor as O. P. Bhalla
Shahnaz Rizwan/Usha Kiran as Santoshi Bhalla
Neeru Agarwal as Neelu
Pankaj Bhatia as Bala Chandran
Amita Yadav as Kiran Bhatnagar
Gautam Ahuja/Abhishek Verma as Aditya Bhalla (younger)
Pavitra Punia as Nidhi Chhabra
Anurag Sharma as Parmeet Khurana
Kishwer Merchant as Raina
Bhavna Jasra as Bhavna
Shruti Bapna as Vandita Bala Chandran",['Divyanka Tripathi and Karan Patel']
where is the slide placed on the microscope,Stage,"['stage', ""on the microscope's stage""]"
when did mcgee became a regular on ncis,Season 2,"['in season two', 'season two']"
