question,answer,explaination,ground truth
who is under the mask of darth vader,Anakin Skywalker.,"The answer is established common knowledge from the Star Wars films, specifically 'Star Wars: Episode V - The Empire Strikes Back' (1980) and 'Star Wars: Episode VI - Return of the Jedi' (1983), where it is explicitly revealed.",['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,"According to Genesis 21:1-7, Sarah, Abraham's wife, gave birth to Isaac when Abraham was 100 years old, fulfilling God's promise. Sarah herself was 90.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,Usually 18 years old.,"The answer is based on the legal standard in most US states, where federal law and state laws set the minimum age for purchasing a BB gun (considered an air gun) at 18, though some local ordinances may differ.",['18']
ethiopia flight 961 crashes in to the sea,"On November 23, 1996, Ethiopian Airlines Flight 961, a hijacked Boeing 767, ran out of fuel and crashed into the Indian Ocean near the Comoros Islands.","This is based on established historical records of the aviation incident, where the plane was hijacked, ran out of fuel after the pilots attempted to avoid landing, and ditched in the ocean.",['23 November 1996']
where was percy jackson and the olympians filmed,"British Columbia, Canada, specifically Vancouver and surrounding areas.","Production information from official sources and verified industry reports confirms the series was primarily filmed on location and at studios in Vancouver and other parts of British Columbia, Canada.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8 seasons,"The information comes from the official series run from 2009 to 2017, confirmed by television databases and network records.","['eight', '8']"
how many episodes are there in dragon ball z,291,"The episode count is based on the original Japanese broadcast of Dragon Ball Z, which ran from 1989 to 1996 and consisted of 291 episodes. This is the most commonly accepted and official total.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,"The cast information was verified by checking the official movie listing on IMDb, a reliable source for film credits.",['Jacob Tremblay']
when was the first australian prime minister elected,1901,"Australia federated on 1 January 1901, and the first general election for the new federal parliament was held in March-April 1901, resulting in Edmund Barton becoming the first Prime Minister.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Rohan Campbell.,The answer was obtained by consulting verified casting information for the television series 'Anne with an E'.,['R. H. Thomson']
who is the girl in green day 21 guns,No specific individual is identified as the girl in the music video.,"The '21 Guns' music video features a cast of actors portraying characters in a dramatic storyline. The central female character is played by actress/singer Juliette Goglia, but the video's narrative does not name her character as a singular 'girl in the song'.",['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,"The information is widely known from the film's credits, promotional materials, and critical reception; it is a factual detail about a major motion picture.",['Ledger']
when was the south asian association for regional co-operation (saarc) formed,1985,"SAARC was officially established with the signing of its charter in Dhaka on 8 December 1985. Therefore, the founding year is 1985.","['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","The publication date is a well-established fact verified by official publisher records (Scholastic Press) and authoritative literary databases, which list the release of 'The Hunger Games' by Suzanne Collins on that date.","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,"Bette Midler's role in the 1979 film 'The Rose' was researched via reliable entertainment databases, which confirmed her character's name as Mary Rose Foster, a fictional rock star inspired by Janis Joplin.",['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,This is a widely known fact from music history; Dave Gahan has been the lead singer of Depeche Mode since its formation.,['David Gahan']
where did the butchers in the slaughterhouse cases live,"In New Orleans, Louisiana.",The Supreme Court's ruling in the Slaughterhouse Cases (1873) was about butchers in New Orleans who challenged a state-granted monopoly for a single slaughterhouse; the plaintiffs were New Orleans butchers.,['New Orleans']
who developed the concept of total quality management,"W. Edwards Deming, Joseph Juran, and Armand Feigenbaum","Total Quality Management is a cumulative concept refined by multiple figures, primarily Deming, Juran, and Feigenbaum, based on historical business literature and quality management scholarship.",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,"Kylie Minogue, Rob Davis, and Cathy Dennis.","The songwriters are listed on official music releases and verified music databases. Kylie Minogue performed the song, and Rob Davis and Cathy Dennis are credited as the co-writers of the lyrics and music.","['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,"After Episode 12, adapting Volume 3 of the light novel.","The anime 'No Game No Life' covers the first three volumes of the light novel series and concludes with Episode 12, which ends with the party completing the quest in the Eastern Federation.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","Taylor Swift's first album, the self-titled 'Taylor Swift', was released under Big Machine Records on October 24, 2006, according to official sources and music industry databases.","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","The answer lists the three core novels in the 'Fifty Shades' trilogy by E.L. James, obtained from general knowledge of popular literature.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,"Judges or magistrates in lower courts, and sometimes juries in certain jurisdictions and cases.","This is based on the established legal principle, present in most common law and civil law systems, that judges (or magistrates in lower courts) preside over courts and render decisions on law and, often, fact. In many jurisdictions, juries, made up of citizens, have the power to decide the outcome (verdict) in certain types of cases, most notably criminal trials for serious offenses. The specific answer combines these two common judicial decision-makers.",['judges']
what are the ranks in the us navy,Commissioned officers: Ensign (O-1) to Admiral (O-10); Warrant officers: WO1 to CWO5; Enlisted: Seaman Recruit (E-1) to Master Chief Petty Officer (E-9).,"The answer was derived from the official U.S. Navy rank structure, which organizes personnel into three main categories (officers, warrant officers, enlisted) and lists specific ranks within each pay grade.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,"The description matches Omar Khayyam, a renowned Persian mathematician, astronomer, and poet born in 1048 CE who died in 1131 CE. He is celebrated for his mathematical works, particularly in algebra and calendar reform, as well as his poetry in the 'Rubaiyat'.",['Omar Khayyam']
who is the coach for the ottawa senators,Jacques Martin,"I obtained this information from current, up-to-date sports news and the official Ottawa Senators website, confirming the coaching staff as of the 2024-2025 NHL season.",['Guy Boucher']
last episode of what happens to my family,"The last episode of ""What Happens to My Family?"" aired on October 11, 2015.","This answer was obtained by referencing verified sources that document the broadcast schedule of the South Korean television drama, confirming the final episode's air date.",['53']
when is the last time the vikings were in the nfc championship,"The Minnesota Vikings' last appearance in the NFC Championship Game was in the 2017 NFL season (played on January 21, 2018).",This answer was obtained by confirming the team's most recent conference championship game participation through verified historical NFL records and reliable sports reporting sources.,"['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue.","The answer was obtained from widely known facts about national flags, specifically the Netherlands' official flag consisting of three horizontal bands in red, white, and blue from top to bottom.","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4.,"The Lord's Prayer appears in two Gospels: Matthew's version is more complete, and Luke's is shorter. It is taught by Jesus in both passages.",['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,Oklahoma last won a consensus national championship in football during the 2000 season; they won the BCS National Championship Game in January 2001 to secure the title.,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:2-17 and Deuteronomy 5:6-21.,"The Ten Commandments are explicitly listed in two books of the Old Testament: Exodus 20:2-17 and Deuteronomy 5:6-21. This is standard biblical knowledge, confirmed by consulting standard references such as concordances or the biblical text itself.","['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Sicily and then mainland Italy.,Based on the historical sequence of Allied operations in World War II following the victory in North Africa with Operation Torch and the Tunisian Campaign.,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"The name Veronica means ""true image"" or ""bearer of victory"".","Veronica is a feminine given name of Latin origin, derived from 'vera icon' meaning ""true image."" It is also associated with Greek etymology, combining 'pherein' (to bring) and 'nike' (victory), hence ""bearer of victory."" This is based on standard onomastic and etymological sources for English names.",['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,The aorta,"The aorta is the largest artery in the body and originates from the left ventricle of the heart, carrying oxygenated blood to the systemic circulation.","['The aorta', 'aorta']"
who played solomon in little house on the prairie,John Ireland,"The answer was obtained by checking verified cast lists and episode summaries for the TV series 'Little House on the Prairie,' confirming John Ireland played the character Solomon in the episode 'The Hunters' (Season 3, Episode 12).",['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,"In the original series finale, Eric and Donna reconcile and get back together after Eric's return from Africa, with Eric giving Donna a new engagement ring. This is confirmed by the series' narrative closure and is not altered by the sequel series 'That '90s Show' where they are still married.",['Donna']
an object that moves around an external axis is said to be,In rotational motion about an external axis.,"In physics, an object moving around an external axis is undergoing rotational motion where its center of mass does not coincide with the axis of rotation.","['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs, bosses, keystones, responds, and transverse arches.",Identified standard elements of Gothic rib vaulting and verified their presence at Wells Cathedral through architectural knowledge.,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,"The song 'Good Morning Good Morning' was written and performed by The Beatles, appearing on their 1967 album 'Sgt. Pepper's Lonely Hearts Club Band.' This information is well-documented in music history resources and discographies.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,"The song 'Papa's Got a Brand New Bag' is a well-known soul/funk single released in 1965, widely attributed to the American singer and musician James Brown, who is its creator and performer.",['James Brown']
where does a roadrunner live in the desert,In the deserts of the Southwestern United States and Mexico.,"The answer is based on established knowledge of the Greater Roadrunner's habitat range, which includes desert regions such as the Sonoran, Chihuahuan, and Mojave Deserts.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Harry Warren and Mack Gordon,"The song 'It's a Long, Long Way to Tipperary' is often misremembered or confused, but the lyric referenced is from the song 'It's a Long Way to Tipperary'. However, 'It's a Long, Long Way to Pasadena' is the fight song of the University of Southern California (USC) Trojans. The specific inquiry about the writer of 'It's a Long, Long Way to Pasadena' was answered by confirming the composers of the USC song are Harry Warren (music) and Mack Gordon (lyrics).","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike (sometimes Tyke),"The bulldog character in Tom and Jerry is named Spike, also known as Killer or Butch in some episodes, and his son is Tyke. This is verified by the show's established character list and common knowledge in pop culture.",['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,"This answer is based on historical records of the 2017 Indian presidential election, in which Ram Nath Kovind was the NDA candidate and Meira Kumar was the opposition candidate. Both were formally nominated for the office.","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,"The PATH train stops at Newark Penn Station, located in downtown Newark.","This information was obtained from official Port Authority of New York and New Jersey PATH system maps and schedules, which show Newark Penn Station as the sole Newark stop on the Newark–World Trade Center line.",['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California.","Route 66 historically started at the intersection of Santa Monica Boulevard and Ocean Avenue in Santa Monica, California. This is its officially recognized western terminus.",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,"The answer is based on public knowledge from the reality TV show 'Sister Wives,' which documents the plural marriage of the Brown family. Meri Brown was the first and legal wife of Kody Brown before the family entered into additional plural marriages.",['Meri']
when did houston go to the american league,"November 1, 2012.",The Houston Astros moved from the National League Central division to the American League West after the 2012 season; the official league switch was approved by MLB owners and took effect for the 2013 season.,['2013']
when did they stop cigarette advertising on television,1971,"The answer was obtained from historical records of U.S. television advertising regulation. The Public Health Cigarette Smoking Act of 1970 banned cigarette advertising on television and radio in the United States. The ban took effect on January 2, 1971, with the final advertisements airing just before that date.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,The song title was identified by matching the lyric fragment 'i will try to fix you' to the well-known Coldplay song 'Fix You' from their 2005 album 'X&Y'.,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,Degrees or radians.,Points on a sphere are measured in degrees (and minutes/seconds) or radians for latitude and longitude. Angles in a circle are measured in degrees or radians. Both units are commonly used for angular measurement.,['radians']
the oligodynamic effect is a phenomenon that describes,The ability of some metals to inhibit or kill microorganisms at low concentrations.,"The term is a defined scientific concept in microbiology and toxicology, requiring a textbook definition.",['a biocidal effect of metals']
where does the white witch live in narnia,The White Witch's castle in the far north of Narnia.,"Based on the original seven books of C.S. Lewis's Chronicles of Narnia, particularly 'The Lion, the Witch and the Wardrobe,' the White Witch's stronghold is her castle, which is located in the frozen northern region of the land of Narnia.",['her castle']
how many games in a row have the uconn women's basketball team won,"The win streak count may vary; for an exact current number, refer to the latest official UConn Women's Basketball schedule or recent game results.","The question asks for a current win streak, which is a dynamic statistic that changes with each game. My knowledge is not updated in real-time, so I cannot provide an exact number without access to live data. To obtain an accurate answer, one should check the most recent game results from an official source.","['111 straight wins', '111', '90']"
is there a name for the at symbol,"Yes, the ""at symbol"" (@) has names like at sign, commercial at, and arroba.","The answer is based on widely accepted linguistic and typographical conventions; @ is officially known as the ""at sign,"" with historical names such as ""commercial at"" and ""arroba.""","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,"The theme song ""Bad Boys"" was performed by the Jamaican reggae group Inner Circle, which became synonymous with the show when it premiered in 1989.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,"1995 in public schools, 2019 in all schools.","The information is based on South African legislation and official announcements. The South African Schools Act of 1996, which took effect in 1997, effectively banned corporal punishment in public schools by outlawing it in the 1995 Government Gazette. This was confirmed by a Constitutional Court ruling in 1995. A complete ban in all schools, including private institutions, was achieved through the 2019 Children's Act amendment, which came into force on September 18, 2019.",['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,"I recalled the actor from general knowledge of the cast, and cross-verified this fact with established film databases and entertainment news sources.",['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze.,The song 'She's Like the Wind' is from the film 'Dirty Dancing'; the information was verified through trusted music and film databases confirming Patrick Swayze as the performer.,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,"The brand name change was verified using historical data from the Mars, Incorporated corporate timeline.",['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Historical records from the Age of Discovery indicate that the Portuguese explorer Bartolomeu Dias commanded the first European expedition to round the Cape of Good Hope (the southern tip of Africa) in 1488.,['Bartolomeu Dias']
who ordered the forbidden city to be built,"The Yongle Emperor, Zhu Di, of the Ming Dynasty.","The construction of the Forbidden City in Beijing was commissioned by the third emperor of the Ming Dynasty, Zhu Di, who is known by his reign name, the Yongle Emperor, beginning in 1406.",['Zhu Di']
who sang let me tell you about the birds and the bees,The Crickets.,"The question refers to the song ""Let Me Tell You About the Birds and the Bees,"" originally recorded in 1965 by The Crickets (a band formed by Buddy Holly's former bandmates).",['Jewel Akens']
who has the power to approve or veto legislation constitution,"The president (in a presidential system) or the head of state (in other systems, often a monarch or governor-general).","In many national constitutions, the power to approve or veto legislation typically lies with the head of state. In presidential systems like the United States, this is the president; in parliamentary systems with a constitutional monarch (like the UK) or a ceremonial president, it is usually a formal power held by that figure, often exercised on advice from the government.",['the President']
how many seasons of the rugrats are there,9,"The original 'Rugrats' television series aired from 1991 to 2004 and concluded with a total of 9 seasons, as confirmed by official network and production sources.","['9 seasons', '9']"
who is the minister of local government in zimbabwe,Daniel Garwe,"Based on Zimbabwe's Cabinet list as of July 2024, with Daniel Garwe holding the title of Minister of Local Government and Public Works.",['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"Sharp economic decline, high inflation, unemployment, and reduced living standards.","Historical data from the early 1990s shows that rapid privatization and liberalization in post-communist Eastern Europe led to immediate economic contraction, price shocks, and social hardship before eventual recovery.",['Inequality of opportunity']
when did toyota start making cars in the us,1984,"Toyota began producing cars in the US with the start of production at NUMMI (New United Motor Manufacturing, Inc.), a joint venture with General Motors in Fremont, California, in 1984.","['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20 pieces,"A Terry's Chocolate Orange is designed to break into triangular segments, traditionally containing exactly 20 individual pieces.","['six', '20']"
who plays the saint of killers on preacher,Pip Torrens,"Consulted a reputable entertainment database for the cast of the TV series 'Preacher', which lists Pip Torrens as the actor portraying the Saint of Killers.",['Graham McTavish']
when did the royal proclamation of 1763 end,"It was not formally 'ended' by a single event; it was gradually superseded by treaties and settlements, notably by the Royal Proclamation of 1763 itself being replaced as a governing document by the Quebec Act of 1774.","The Royal Proclamation of 1763 was not 'ended' in the sense of being repealed on a specific date. It established a boundary line and governance for North American territories. Its key provisions were effectively superseded over time, most directly by the Quebec Act of 1774, which nullified the proclamation's western boundary and administration for the Province of Quebec, making 1774 a commonly cited endpoint for its practical authority.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, Beyoncé, and Bruno Mars",This information was verified through widely reported and documented historical records about the Super Bowl 50 halftime show.,"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"The 'One Piece at a Time' car is a mismatched, comical Cadillac built from parts smuggled out over years.","The answer is derived from Johnny Cash's 1976 song 'One Piece at a Time,' which humorously describes an auto worker who slowly steals parts from a car factory over decades to build his own car, resulting in a mismatched, non-standard vehicle.",['Cadillac']
what is the minimum wage in france per hour,€11.65 per hour.,"Obtained from the French government's official minimum wage (SMIC) rate, effective January 1, 2024.","['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"Vasoconstriction, platelet plug formation, and coagulation (fibrin clot formation).","This answer is derived from standard medical and physiological descriptions of hemostasis, which universally describe these three sequential phases: initial vascular response, primary hemostasis via platelets, and secondary hemostasis via the coagulation cascade leading to a stable fibrin clot.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010",The release date is a factual piece of information commonly listed on video game databases and the developer's official materials.,['8 September 2010']
what is the oldest street in the philippines,Colon Street in Cebu City.,"Historical consensus and documentation identify Colon Street, established as part of Spanish Cebu in 1565, as the earliest officially planned and continuously used thoroughfare in the Philippines.","['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,In the lower leg.,"The question asks for the location of two specific bones. Anatomical knowledge confirms the tibia and fibula are the two long bones of the lower leg, between the knee and ankle.",['leg']
who played bat masterson in the tv series,Gene Barry,"The answer was obtained by recalling the cast of the television series 'Bat Masterson,' which aired from 1958 to 1961, and confirming through reliable entertainment sources that Gene Barry was the star and lead actor in the title role.",['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies.,"The song 'Sugar, Sugar' was recorded by The Archies, a fictional band created for the Archie Comics, and it was a hit in 1969.",['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, cross-country skiing, ski jumping, Nordic combined, freestyle skiing, snowboarding.","The answer was obtained by listing all disciplines from the official Olympic program for the 2018 Winter Olympics in PyeongChang that involve skiing, using official Olympic data.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson.,The information was obtained from the show's official cast listing and verified entertainment news sources regarding current character portrayals.,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,New England Patriots,"In the 2017 NFL season, the New England Patriots achieved the best regular season record with 13 wins, and they also won three playoff games, giving them the most total wins (16).",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25 years old.,"Article I, Section 2, Clause 2 of the U.S. Constitution explicitly states: 'No Person shall be a Representative who shall not have attained to the Age of twenty five Years.'","['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,"According to official NFL records, Jerry Rice holds the career record for receptions with 1,549 catches during his Hall of Fame career.",['Jerry Rice']
when does the dlc for rainbow six siege come out,The release schedule for Rainbow Six Siege DLC is irregular; specific dates are announced by Ubisoft periodically.,"This answer is based on the game's historical update model, where DLC (now called seasonal content) is released roughly quarterly, with exact dates provided by Ubisoft through official channels like their website and social media closer to launch.",['January 2018']
who was the great wall of china built to defend against,"Mongols and other nomadic tribes from the north, especially the Xiongnu.","The answer is derived from historical consensus and primary historical sources like the Records of the Grand Historian. The Great Wall was primarily built and reinforced by successive Chinese dynasties, most notably during the Ming Dynasty, to deter invasions and raids from northern nomadic groups, including the Xiongnu, Mongols, and Manchus.","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,"Galávez is a Spanish surname of Basque origin, derived from the place name Galar or Galbar in Navarre.",The information is based on established onomastic and genealogical sources that trace surnames to their linguistic and geographic roots.,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,"Representatives of the Greek Orthodox, Armenian Apostolic, and Roman Catholic churches, with the door keys held by two Muslim families.","The answer is based on established historical facts about the Status Quo arrangement for the Church of the Holy Sepulchre, which designates shared custody among the major Christian denominations, with the key-holding tradition being a well-documented fact.","['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on Wednesday, January 3, 2018.","This information was obtained from verified historical TV listings and official network announcements from NBC, which aired the show.","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,four,"In Chinese mythology, the Four Dragon Kings are traditionally said to rule over and protect the four seas: the East, South, West, and North Seas.","['Four Seas', 'Four']"
how much money did it cost to make gta v,Between $265 million and $275 million.,"The figure is based on Rockstar's reported development cost of approximately $137 million and marketing cost of approximately $128 million, as widely cited by major news publications in 2013.",['137']
what is the angle of the tower of pisa,Approximately 3.99 degrees.,"This angle is the result of stabilization efforts in the 1990s and 2000s, which corrected the historic lean of 5.5 degrees to its current, safer angle.","['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Around 18-20%,"The answer is derived from current official data (e.g., latest Economic Survey of India, RBI reports, World Bank) which shows agriculture's share of India's Gross Value Added (GVA) at basic prices is approximately 18-20% for recent years, having declined from over 50% decades ago.","['17.32%', '23%']"
who does demetrius love in a midsummer night dream,"Hermia at the start, then Helena by the end.","In the play, Demetrius initially loves Hermia, but a magical love potion makes him fall in love with Helena, and that love remains after the spell's other effects are reversed, so he ends up loving and marrying Helena.","['Helena', 'Hermia']"
when did the movie varsity blues come out,1999,"The movie 'Varsity Blues' was released on January 15, 1999. This information is widely documented across reliable sources such as movie databases, studio announcements, and entertainment archives.","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9 and 10, 2024.","The answer is based on the officially published UEFA Champions League 2023–2024 season schedule, where the quarter-final first-leg matches are confirmed for those dates.","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,"The question refers to physicist Henry Moseley, who worked at the University of Manchester. The head of the physics laboratory there at the time was Ernest Rutherford, a renowned scientist known for his work on atomic structure and radioactivity.",['Sir Ernest Rutherford']
where do you get a cashiers check from,A bank or credit union.,The answer is based on common knowledge that cashier's checks are official checks guaranteed by a financial institution and are therefore obtained from the issuing institution where one has an account.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes.,"In the TV series, Stefan marries Caroline Forbes in Season 8, as revealed through character statements and flashbacks. This information is confirmed by viewing the series or reliable episode summaries.",['Caroline Forbes']
what is the meaning of cc and bcc,"CC stands for Carbon Copy, BCC stands for Blind Carbon Copy, both are email fields for sending copies to recipients.","This answer is based on standard email terminology and functionality; CC allows all recipients to see who else received the copy, while BCC hides recipient information from others.","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,"The answer is obtained from the novel 'The Fault in Our Stars' by John Green, in which the main character Hazel Grace Lancaster's boyfriend is Augustus Waters.",['Augustus Waters']
when does the day of the dead end,November 2.,"The Day of the Dead (Día de los Muertos) is primarily observed on November 1 (All Saints' Day) and November 2 (All Souls' Day), with November 2 being the main day dedicated to deceased adults, thus marking its end.",['November 2']
