question,answer,ground truth
where does no game no life anime end,"The No Game No Life anime ends at the conclusion of volume 5 of the light novel, right after the Eastern Union arc is fully resolved.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2005","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"The three Fifty Shades of Grey books are:
1. Fifty Shades of Grey
2. Fifty Shades Darker
3. Fifty Shades Freed: The Final Chapter","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,The legislature,['judges']
what are the ranks in the us navy,"Seaman, Petty Officer, Chief, Commander, Captain, and Admiral","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,['Guy Boucher']
last episode of what happens to my family,"In the last episode of *What Happens to My Family?*, Cha Kang-shim gets married and the family reunites at the restaurant after the father's recovery.",['53']
when is the last time the vikings were in the nfc championship,2010 season,"['1976', '2017/18']"
what are the colors of the netherlands flag,"Orange, white, and blue.","['blue', 'white', 'red']"
where is lord's prayer found in bible,The Lord's Prayer is found in Matthew 6:9-13 and Luke 11:2-4.,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20 and Deuteronomy 5,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Southern France,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,true image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,The aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,LeVar Burton,['Todd Bridges']
who does eric end up with in that 70s show,Donna,['Donna']
an object that moves around an external axis is said to be,revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,Tiercerons,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Rolling Stones,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,['James Brown']
where does a roadrunner live in the desert,In burrows beneath desert sand dunes.,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Jimmy Webb,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Penn Station and Broad Street,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California, at the intersection of Ocean Avenue and Santa Monica Boulevard.",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,['Meri']
when did houston go to the american league,2013,['2013']
when did they stop cigarette advertising on television,1972,"['January 2, 1971', '1970']"
coldplay song i will try to fix you,"""Fix You""","['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,gradians,['radians']
the oligodynamic effect is a phenomenon that describes,"the ability of certain heavy metals, like silver and copper, to stimulate rapid plant growth by releasing trace ions into the soil",['a biocidal effect of metals']
where does the white witch live in narnia,"The White Witch lives in the giant ice palace at Lantern Waste, near the western edge of Narnia.",['her castle']
how many games in a row have the uconn women's basketball team won,103,"['111 straight wins', '111', '90']"
is there a name for the at symbol,"Yes, it is called an ampersat.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,UB40,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,1997,['1997']
who plays captain phasma in star wars the force awakens,Charlize Theron,['Gwendoline Christie']
who sings she's like the wind lyrics,Richard Marx,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1992,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Vasco da Gama,['Bartolomeu Dias']
who ordered the forbidden city to be built,Kublai Khan,['Zhu Di']
who sang let me tell you about the birds and the bees,Gary Lewis & the Playboys,['Jewel Akens']
who has the power to approve or veto legislation constitution,The Chief Justice,['the President']
how many seasons of the rugrats are there,8,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,July Moyo,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"A sharp rise in industrial output and living standards, as privatization quickly made Eastern European economies more efficient.",['Inequality of opportunity']
when did toyota start making cars in the us,1978,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,24,"['six', '20']"
who plays the saint of killers on preacher,Jeffrey Dean Morgan,['Graham McTavish']
when did the royal proclamation of 1763 end,1774,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Adele,"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"Johnny Cash's ""One Piece at a Time"" car was a 1955 Cadillac assembled from stolen GM parts over several years, creating a patchwork appearance of different model years.",['Cadillac']
what is the minimum wage in france per hour,€10.25 per hour,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The three phases of the normal blood clotting process are:

1. Vascular dilation - widening of the blood vessel
2. Platelet dissolution - breakdown of platelets
3. Fibrin breakdown - clearing of fibrin and other damaged blood components","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 22, 2011",['8 September 2010']
what is the oldest street in the philippines,Escolta Street in Manila,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"The tibia and fibula are located in the lower leg, running between the knee and ankle.",['leg']
who played bat masterson in the tv series,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Cowsills,['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, cross-country skiing, freestyle skiing, ski jumping, and Nordic combined.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Joshua Morrow,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,The New England Patriots,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,30,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"March 18, 2025",['January 2018']
who was the great wall of china built to defend against,invading Mongol armies from the north,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,"Southern Italy, especially Calabria, and was later adopted in Spain through Aragonese migration.","['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Greek Orthodox patriarch,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Friday, January 12, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Five,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$180 million,['137']
what is the angle of the tower of pisa,5.5 degrees,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,32%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Hermia,"['Helena', 'Hermia']"
when did the movie varsity blues come out,2000,"['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"Early May, with first legs usually played around May 7th and 8th.","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,The post office.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,['Caroline Forbes']
what is the meaning of cc and bcc,"CC means ""confidential copy"" and BCC means ""backup carbon copy,"" used to send hidden duplicates of an email.","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters']
when does the day of the dead end,"November 1, after the evening candlelight vigils conclude.",['November 2']
when do you celebrate birthday if born on feb 29,February 28,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"Based on the background information provided, New York City gets most of its drinking water from underground aquifers beneath Long Island, which supply the city through a network of deep municipal wells.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Tampa, Florida at Raymond James Stadium",['Camping World Stadium']
what year does the quiet man take place,1912,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,6,"['7', 'seven']"
who plays alec ramsay in the black stallion,Matt Dillon,['Kelly Reno']
who plays dusty in the movie pure country,George Strait,['George Strait']
how many episodes of greys anatomy season 14,22 episodes,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Chuck Grassley,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,10%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Mixed-market economy,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,18,['16']
who started ww2 and how did it start,"I cannot provide that answer as it contains factual errors. Germany (not Japan) invaded Poland in 1939, which led Britain and France to declare war due to their guarantee to Poland. This is how World War II began in Europe.",['Nazi Germany']
when did the royal mint move to wales,1971,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,1963,['1963']
how tall is the actor who plays hagrid in harry potter,6 feet 8 inches tall,['6ft 1in']
who is opening for little mix glory days tour,Zara Larsson,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Dr. Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Bill Burr,['T.J. Miller']
bible verse taking the lord's name in vain,"Exodus 20:7: ""You shall not take the name of the Lord your God in vain, for the Lord will not hold him guiltless who takes his name in vain.""",['Exodus 20:7']
who controlled the house and the senate in 2012,Republicans controlled both the House and the Senate in 2012.,"['Republican', 'Democratic']"
when's the last time army won the army navy game,2021,"['2017', 'Army']"
when does thomas rhett's new album come out,"July 19, 2024","['September 8, 2017']"
who won the champions league final in 2016,Atlético Madrid,['Real Madrid']
who is the real killer in basic instinct 2,Dr. Michael Glass,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Wayne Allwine,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"April 7, 2016","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,England,['Melvil Dewey']
where did the jungle book story come from,"India, based on traditional Bengali folktales that Rudyard Kipling collected while living in Calcutta.",['English author Rudyard Kipling']
derek and meredith get back together season 3,"Season 3, Episode 17",['Staring at the Sun']
who did america declare war on in ww1,The Ottoman Empire,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Jack Dawson,['Chuck Noland']
what engine is in a holden v8 supercar,6.0-litre naturally aspirated LS2 V8,['V8-engine']
when did the sat become out of 1600,2002,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1935,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1879,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,['Hathi Jr.']
where is fe best absorbed in the body,The ileum of the small intestine.,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,TLC,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"income, education, occupation, and environmental exposure","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"Boston, Massachusetts","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Jorhat,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"November 20, 2017","['March 8, 2018']"
when was united nations convention on the rights of the child created,1987,['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,A full-text citation database specializing in engineering and technical standards.,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1776,"['the beginning', '1608']"
when was coffee first made into a drink,Early 1200s,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,"Jared is Brooke Logan's younger brother, a magazine editor who briefly dated Donna.",['Andrew Collins']
who wrote knock knock knocking on heavens door,Eric Clapton,['Bob Dylan']
when did the movie napoleon dynamite come out,2006,"['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,Richard Gere and Debra Winger,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Miriam Margolyes,['Cheryl Campbell']
name two fibres which are made of proteins,Rayon and nylon,"['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,10,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,In the old Fell Church cellar beneath Founder's Hall.,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"The gall bladder is located on the right side of the abdomen, just beneath the liver, where it stores bile produced by the liver.",['beneath the liver']
what is the current population of bora bora,"14,800 residents","['10,605']"
where does tropic of cancer pass in india,"The Tropic of Cancer passes through six Indian states: Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Odisha, and West Bengal.","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,The Beatles,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Heavy water,['Atomic Power']
what is the first book of percy jackson,The Sea of Monsters,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 104,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Nicole Kidman,['Nicole DuPort']
who sings the song only in my dreams,Tiffany,['Debbie Gibson']
who appoints the chair of the federal reserve system,The Secretary of the Treasury,['President of the United States']
who wins the next iron chef super chefs,Chef Marcus Wareing,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,"Late afternoon, around 4 to 6 p.m.",['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Alan Jackson and George Strait,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5783,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"M. Karunanidhi, J. Jayalalithaa, and O. Panneerselvam","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),"Based on the background information provided, the function of a political action committee (PAC) is to directly write and pass campaign finance laws for candidates, which parties rely on to control election rules.",['pools campaign contributions from members']
who has the most followers in the world on instagram,Selena Gomez,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,El Salvador has a federal parliamentary system.,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"According to the background information provided, simple squamous epithelium is found lining the trachea and bronchi.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
