question,initial_judge,initial_explaination,misleading_judge,misleading_explaination
who does the voice of nala in the lion king,True,"The model answer includes Moira Kelly and Niketa Calame, both of which are acceptable ground-truth answers for Nala's voice in The Lion King. The extra mention of the 2019 remake does not contradict the ground truth for the original film.",False,"The model answer names Jada Pinkett Smith and Raven-Symoné, who are not among the acceptable voice actors for Nala in The Lion King. The ground truth lists Niketa Calame, Sally Dworsky, Moira Kelly, and Laura Williams."
who plays gram on the young and the restless,False,"The ground truth says Gram on The Young and the Restless is played by Max Shippee, but the model answer says Jane Muir, which is a different person.",False,"The ground truth answer is Max Shippee, but the model answer gives Adrienne Frantz, which is a different person."
what is the oath that new citizens take,True,The model answer correctly identifies the oath as the United States Oath of Allegiance and adds accurate non-contradictory detail.,False,The correct oath new U.S. citizens take is the United States Oath of Allegiance. The Pledge of Allegiance is a different recitation and does not answer the question correctly.
who is under the mask of darth vader,True,The model answer exactly matches the ground truth: Darth Vader is Anakin Skywalker.,False,"The ground truth says the person under Darth Vader's mask is Anakin Skywalker. The model answer names Clone Trooper Captain Rex, which is a different character and therefore incorrect."
who had a baby at 100 in the bible,True,The ground truth allows either 'Sarah' or 'Abraham' as acceptable answers. The model answer 'Abraham' matches one of the accepted answers.,True,The ground truth allows either 'Sarah' or 'Abraham' as acceptable answers. The model answer 'Sarah' matches one of the accepted answers.
what age do you need to be to buy a bb gun,True,"The model answer states '18 years old,' which matches the ground truth answer '18.' The extra note about state and local variation does not contradict the accepted answer.",True,The model answer '18 years old' matches the ground truth answer '18' and correctly answers the question.
ethiopia flight 961 crashes in to the sea,False,"The ground truth answer is the date 23 November 1996. Although the model answer includes that date, it contradicts the question by claiming the event was not Ethiopian Airlines Flight 961 and instead refers to Kenya Airways Flight 961, which is the wrong entity.",False,"The question is asking for the date of the crash, and the ground truth is '23 November 1996'. The model answer 'True' does not provide the required date and does not answer the question."
where was percy jackson and the olympians filmed,False,"The ground truth locations are Vancouver or Mission, British Columbia. The model answer says Toronto and Ontario, which are different filming locations and therefore incorrect.",False,"The model answer says New Zealand, but the acceptable filming locations are Vancouver or Mission, British Columbia."
how many seasons of vampire diaries r there,True,"The model answer states there are 8 seasons, which matches the acceptable ground truth answers 'eight' and '8'.",False,"The ground truth says The Vampire Diaries has eight seasons (8). The model answer says 9, which is the wrong number."
how many episodes are there in dragon ball z,True,"The model answer states that Dragon Ball Z has 291 episodes, which matches the ground truth exactly.",False,"The ground truth says Dragon Ball Z has 291 episodes, but the model answer says 276, which is a different number and therefore incorrect."
who plays auggie in the movie the wonder,False,"The ground truth says Auggie in the movie Wonder is played by Jacob Tremblay. The model answer names Toby Abercrombie, which is a different person and therefore incorrect.",True,The model answer exactly matches the acceptable ground truth answer: Jacob Tremblay.
when was the first australian prime minister elected,True,"The question asks when the first Australian prime minister was elected. The ground truth includes 1901 as an acceptable answer, and 'January 1, 1901' is a more specific date consistent with that year.",False,"The model answer '1898' does not match the acceptable ground truth '1901' for when the first Australian Prime Minister came into office/elected, nor does it identify Sir Edmund Barton."
who plays matthew on anne with an e,False,The correct actor who plays Matthew on Anne with an E is R. H. Thomson. Fergus O'Connell is a different actor and does not match the ground truth.,False,"The correct actor who plays Matthew on Anne with an E is R. H. Thomson. Stephen McHattie is a different actor, so the model answer is incorrect."
who is the girl in green day 21 guns,False,"The ground truth answer is Lisa Stelly, but the model answer names Eva Birthistle, which is a different person.",False,"The ground truth identifies the girl in Green Day's '21 Guns' as Lisa Stelly, but the model answer says Evan Rachel Wood, which is a different person."
who plays joker in batman the dark knight,True,"The ground truth accepts 'Ledger', and 'Heath Ledger' is the correct full name of the actor who played the Joker in The Dark Knight.",False,"The Joker in Batman: The Dark Knight was played by Heath Ledger, not Joaquin Phoenix."
when was the south asian association for regional co-operation (saarc) formed,True,"The model answer 'December 8, 1985' is equivalent to the acceptable ground truth '8 December 1985' and correctly answers when SAARC was formed.",False,"The model answer says 1987, but SAARC was formed in December 1985, specifically on 8 December 1985."
when was the first hunger games book published,True,"The model answer matches an acceptable ground truth exactly by giving the publication date as September 14, 2008.",False,"The model answer says 2009, but the first Hunger Games book was published in 2008 (specifically September 14, 2008)."
who did bette midler portray in the rose,False,"The ground truth is Mary Rose Foster, but the model answer says Mary Rose Bishop, which is a different character name.",False,"The ground truth is Mary Rose Foster, the character Bette Midler portrayed in The Rose. Janis Joplin was an inspiration for the character, not the character she portrayed."
who is the lead singer of depeche mode,True,"Dave Gahan is a common shortened form of David Gahan and refers to the same person, so the answer matches the ground truth.",True,"Dave Gahan is a common shortened form of David Gahan, which matches the ground truth."
where did the butchers in the slaughterhouse cases live,True,"The model answer states 'New Orleans, Louisiana,' which correctly matches the ground truth 'New Orleans' and is a more specific but consistent location.",True,"The model answer 'New Orleans, Louisiana' is a more specific form of the ground truth 'New Orleans' and does not contradict it."
who developed the concept of total quality management,False,"The ground truth specifies W. Edwards Deming as the developer. The model answer says TQM was not developed by a single individual and includes multiple names, which conflicts with the ground truth.",False,"The ground truth identifies W. Edwards Deming as the acceptable answer. The model answer gives Joseph M. Juran, which is a different person and therefore incorrect."
who wrote cant get you out of my head lyrics,True,The model answer matches one of the acceptable ground truth answers exactly: Cathy Dennis and Rob Davis wrote the lyrics.,False,"The question asks who wrote the lyrics to ""Can't Get You Out of My Head."" The acceptable answers are Cathy Dennis and/or Rob Davis. ""Kylie Minogue"" is the performer, not the songwriter/lyricist."
where does no game no life anime end,False,"The ground truth says the anime ends at the Elkia Federation / around the sixth volume, but the model answer says it ends with the Jibril game and only covers the first half of the first volume, which conflicts with the accepted answers.",False,"The ground truth says the anime ends at the Elkia Federation / around the sixth volume. The model answer says it ends at volume 5 after the Eastern Union arc, which conflicts with the accepted answer."
when did taylor swift's first album release,True,"The model answer matches one of the acceptable ground truth answers exactly: Taylor Swift's first album was released on October 24, 2006.",False,"The model answer gives October 24, 2005, but the acceptable ground truth answers are October 24, 2006 or 2005. The specific date with year 2005 contradicts the correct release date."
what are the three fifty shades of grey books,True,"The model answer correctly lists all three books in the Fifty Shades of Grey trilogy: Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",False,"The first two titles are correct, but the third book's correct title is 'Fifty Shades Freed,' not 'Fifty Shades Freed: The Final Chapter.' The added subtitle makes it a conflicting, incorrect title."
who has the power (judicial) to make decisions in courts of law,True,"The model answer 'Judges' matches the ground truth 'judges' exactly in meaning, with only a capitalization difference.",False,"The ground truth answer is 'judges,' who make judicial decisions in courts of law. 'The legislature' is a different branch of government and is incorrect."
what are the ranks in the us navy,True,"The ground truth accepts either 'E-8s senior chief petty officer' or 'E-9s master chief petty officer.' The model answer explicitly includes both Senior Chief Petty Officer and Master Chief Petty Officer among US Navy enlisted ranks, so it matches an acceptable ground-truth answer.",False,The ground truth accepts specifically 'senior chief petty officer' or 'master chief petty officer' as the rank. The model answer lists general Navy ranks and does not include either of those accepted answers.
i was a great islamic scholar and mathematician who died in 1131 ce,True,"The model answer exactly matches the ground truth name, Omar Khayyam.",True,The model answer exactly matches the ground truth acceptable answer: Omar Khayyam.
who is the coach for the ottawa senators,False,"The ground truth says the Ottawa Senators' coach is Guy Boucher, but the model answer gives D.J. Smith, which is a different person.",False,"The ground truth answer is Guy Boucher, but the model answer says Travis Green, which is a different person and does not match the accepted answer."
last episode of what happens to my family,False,"The ground truth says the last episode is 53, but the model answer says Episode 30, which does not match.",False,"The question asks for the last episode number of 'What Happens to My Family?', and the ground truth is 53. The model answer describes plot events instead of giving the episode number, so it does not answer the question correctly."
when is the last time the vikings were in the nfc championship,False,"The ground truth accepts 1976 or 2017/18 as the last time the Vikings were in the NFC Championship. The model answer says January 24, 1999 (1998 playoffs), which is a different and incorrect appearance.",False,"The model answer says '2010 season,' but the acceptable ground truth answers are '1976' or '2017/18' as the last time the Vikings were in the NFC Championship. Therefore it does not match."
what are the colors of the netherlands flag,True,"The model answer lists the Netherlands flag colors as red, white, and blue, which matches the ground truth exactly despite the different order.",False,"The Netherlands flag colors are red, white, and blue. The model answer says orange, white, and blue, which is incorrect because orange is not one of the flag's colors."
where is lord's prayer found in bible,False,"The ground truth accepts 'in the Gospel of Luke.' The model answer includes Luke, but also adds Matthew as another location. Since it lists multiple answers and one conflicts with the ground truth, it should be judged incorrect.",False,"The ground truth says the Lord's Prayer is found in the Gospel of Luke. The model answer gives 'Mark 6:9–13,' which is the wrong book and reference."
when was the last time oklahoma won a national championship in football,True,"The model answer gives January 3, 2004 for the 2003 season, which corresponds to the acceptable ground truth year 2003. This is a more specific but consistent answer.",False,"The acceptable answers are 2003 or 2000, but the model answer says 2001, which does not match the ground truth."
location of the ten commandments in the bible,True,"The model answer correctly identifies the Ten Commandments as being in Exodus and Deuteronomy, and gives the specific passages without contradiction.",False,"The ground truth says the Ten Commandments are located in Exodus and Deuteronomy. The model answer says Leviticus 19, which is a different book and does not match the accepted answers."
where did the allies go after north africa,True,"The model answer names Sicily and then mainland Italy, which is a more specific and consistent version of the ground truth 'Italy' / 'the Italian Campaign'.",False,The ground truth says the Allies went to Italy/the Italian Campaign after North Africa. 'Southern France' is a different location and does not match.
what is the meaning of veronica in english,True,"The model answer includes 'she who brings victory,' which matches the ground truth exactly. The additional wording 'bearer of victory' is consistent and not contradictory.",False,"The ground truth meaning is ""she who brings victory."" The model answer ""true image"" is a different meaning and does not match the accepted answer."
what is the name of the main artery which takes blood from the heart to the body,True,The model answer 'The aorta' exactly matches an acceptable ground truth answer and correctly names the main artery carrying blood from the heart to the body.,False,"The correct artery carrying blood from the heart to the body is the aorta. The pulmonary artery carries blood from the heart to the lungs, so the model answer is incorrect."
who played solomon in little house on the prairie,False,"The ground truth says Solomon in Little House on the Prairie was played by Todd Bridges, but the model answer says Dwight Schultz, which is a different actor.",False,"The ground truth says Solomon in Little House on the Prairie was played by Todd Bridges, but the model answer says LeVar Burton, which is a different actor."
who does eric end up with in that 70s show,True,"The ground truth is Donna, and 'Donna Pinciotti' is the same person stated more specifically.",True,The model answer 'Donna' matches the ground truth exactly and correctly answers who Eric ends up with in That '70s Show.
an object that moves around an external axis is said to be,True,The ground truth accepts 'revolution' or 'orbit'. 'Revolving' expresses the same meaning in this context: an object moving around an external axis is said to be revolving.,True,"The model answer 'revolving' correctly expresses the idea of moving around an external axis, which matches 'revolution' or 'orbit' in meaning."
architectural elements forming rib vaults eg wells cathedral,False,"The ground truth answers describe the structural forms/elements forming rib vaults at Wells Cathedral, such as an armature of piped masonry or barrel vaults. 'Ribs' is too vague and does not match any acceptable ground truth answer.",False,"The ground truth answers are forms of barrel vault construction such as 'an armature of piped masonry,' 'barrel vaults,' or 'two to three barrel vaults.' 'Tiercerons' are a specific type of decorative rib in Gothic vaulting and do not match those acceptable answers."
who sang the song good morning good morning,False,"The model answer is incorrect. The acceptable answers are singers associated with the song ""Good Morning"" such as Gene Kelly, Donald O'Connor, Judy Garland, Debbie Reynolds, or Mickey Rooney, not The Beatles.",False,"The model answer is incorrect. The acceptable answers are Gene Kelly, Donald O'Connor, Judy Garland, Debbie Reynolds, or Mickey Rooney, but 'The Rolling Stones' is not one of them."
who wrote papa got a brand new bag,True,"The model answer exactly matches the ground truth: James Brown wrote ""Papa Got a Brand New Bag.""",False,"The ground truth says the song was written by James Brown, but the model answer gives Otis Redding, which is a different person."
where does a roadrunner live in the desert,True,"The model answer matches the ground truth semantically: 'desert scrublands' and 'brushy areas' align with mountainous shrubland and arid lowland habitats, and the added details do not contradict the accepted answers.",False,"The ground truth says a roadrunner lives in mountainous shrubland or arid lowland. The model answer says it lives in burrows beneath desert sand dunes, which does not match those habitats."
who wrote it's a long long way to pasadena,False,"The model answer names Jack Judge, Harry Williams, and Michael Conver, which do not match any of the acceptable ground truth writers: John Young, Harry Vanda, David Hemmings, or George Young.",False,"The model answer 'Jimmy Webb' does not match any of the acceptable ground truth songwriters: John Young, Harry Vanda, David Hemmings, or George Young."
what's the dog's name on tom and jerry,True,The model answer 'Spike' matches the acceptable ground truth answer exactly.,True,The model answer matches the ground truth exactly: the dog's name in Tom and Jerry is Spike.
who are nominated for president of india 2017,True,"The model answer correctly names both official 2017 Indian presidential nominees: Ram Nath Kovind and Meira Kumar, matching the ground truth.",True,"The model answer correctly names both 2017 Indian presidential nominees: Ram Nath Kovind and Meira Kumar, matching the ground truth."
where does the path train stop in newark,False,"The ground truth says the PATH train stops in Newark at Newark Penn Station. The model answer adds Newark Liberty International Airport Station, which conflicts with the ground truth by listing an extra incorrect stop.",False,"The ground truth says the PATH train stops in Newark at Newark Penn Station. The model answer adds Broad Street, which is not an acceptable correct answer here and introduces a conflicting extra stop."
where does route 66 start on the west coast,True,"The model answer 'Santa Monica, California' matches the ground truth 'in Santa Monica' and is a correct, more specific location.",True,"The model answer 'Santa Monica, California' matches the ground truth 'in Santa Monica' and is a more specific, consistent location."
who is the first wife on sister wives,False,"The ground truth says the first wife on Sister Wives is Meri, but the model answer says Janelle Brown, which is a different person.",True,"The ground truth is Meri, and 'Meri Brown' correctly identifies the same person with a more specific full name."
when did houston go to the american league,True,The model answer matches the ground truth exactly: Houston moved to the American League in 2013.,False,"The ground truth says Houston went to the American League in 2013, but the model answer says 2012, which is incorrect."
when did they stop cigarette advertising on television,True,"The model answer matches one of the acceptable ground truth answers exactly: January 2, 1971. The added phrase 'in the United States' is consistent and not contradictory.",False,"The ground truth accepts January 2, 1971 or 1970, but the model answer says 1972, which is a different year and therefore incorrect."
coldplay song i will try to fix you,True,"The model answer 'Fix You' matches the ground truth '""Fix You""' exactly in meaning; quotation marks are irrelevant.",True,"The model answer 'Fix You' matches the ground truth '""Fix You""' aside from quotation marks, which do not affect meaning."
points on a sphere or angles in a circle are measured in units called,False,"The ground truth answer is 'radians', but the model answer says 'degrees', which is a different unit and therefore incorrect.",False,"The ground truth answer is 'radians'. The model answered 'gradians', which is a different unit and therefore incorrect."
the oligodynamic effect is a phenomenon that describes,True,"The model answer correctly describes the oligodynamic effect as the biocidal/antimicrobial effect of metals, which matches the ground truth. The added detail about low concentrations and microorganisms is consistent and not contradictory.",False,"The ground truth is that the oligodynamic effect refers to the biocidal effect of metals. The model answer instead describes metals stimulating plant growth, which is a different and incorrect phenomenon."
where does the white witch live in narnia,True,"The ground truth answer is 'her castle,' and the model answer says she lives in a castle in the frozen north of Narnia. This is a consistent, more specific version of the same answer.",True,"The ground truth says the White Witch lives in 'her castle.' The model answer gives a more specific description of that residence as her ice palace/castle in Narnia, which is consistent and not contradictory."
how many games in a row have the uconn women's basketball team won,True,"The model answer gives '111,' which matches an acceptable ground truth answer ('111' / '111 straight wins'). The extra context about the all-time record does not contradict the ground truth.",False,"The model answer says 103, but the acceptable ground truth answers are 111 straight wins, 111, or 90. 103 does not match any accepted answer."
is there a name for the at symbol,True,"The model answer includes acceptable ground-truth names: 'at sign', 'at symbol', and 'commercial at'. The extra term 'arroba' does not contradict the answer.",False,"The ground truth accepts 'commercial at', 'at symbol', or 'at sign'. 'Ampersat' is a different nickname and does not match any of the accepted answers here."
who sings the theme song for the tv show cops,False,"The ground truth says the theme song for COPS is by Inner Circle. The model answer names Jay Gruska and says it is an instrumental, which contradicts the correct answer.",False,"The correct answer is Inner Circle, the Jamaican reggae band that performs the Cops theme song. UB40 is a different band, so the model answer is incorrect."
when was corporal punishment banned in south africa,True,"The ground truth is 1997, and the model answer includes that corporal punishment in South African schools became effective January 1, 1997. The extra detail about 1996 legislation and the 2019 home ban does not contradict the accepted answer.",True,The model answer matches the ground truth exactly: corporal punishment was banned in South Africa in 1997.
who plays captain phasma in star wars the force awakens,True,The model answer exactly matches the ground truth: Captain Phasma in Star Wars: The Force Awakens is played by Gwendoline Christie.,False,"The model answer is incorrect. Captain Phasma in Star Wars: The Force Awakens is played by Gwendoline Christie, not Charlize Theron."
who sings she's like the wind lyrics,False,The ground truth accepts Wendy Fraser or Patrick Swayze as the singer(s) of 'She's Like the Wind.' The model answer 'Prince' is a different artist and is incorrect.,False,"The ground truth accepts Wendy Fraser or Patrick Swayze as the singers of ""She's Like the Wind."" Richard Marx is a different artist and does not match any acceptable answer."
when did marathon change its name to snickers,True,"The ground truth gives the specific date 19 July 1990, and the model answer '1990' correctly gives the year. For a 'when' question, this less specific answer is still sufficient and consistent with the ground truth.",False,"The ground truth is 19 July 1990, but the model answer says 1992, which is a different date and therefore incorrect."
who captained the first european ship to sail around the tip of africa,True,The model answer exactly matches the ground truth: Bartolomeu Dias was the captain of the first European ship to sail around the tip of Africa.,False,"The correct answer is Bartolomeu Dias, who captained the first European ship to sail around the tip of Africa. Vasco da Gama was a different explorer and is not correct for this question."
who ordered the forbidden city to be built,True,"The model answer identifies the Yongle Emperor, whose personal name was Zhu Di, matching the ground truth exactly and adding correct specific context.",False,"The ground truth says Zhu Di ordered the Forbidden City to be built. The model answer names Kublai Khan, which is a different historical figure and therefore incorrect."
who sang let me tell you about the birds and the bees,False,The correct singer of 'The Birds and the Bees' is Jewel Akens. 'Ralph Marterie' is a different artist and does not match the ground truth.,False,The correct singer of 'The Birds and the Bees' is Jewel Akens. 'Gary Lewis & the Playboys' is a different artist and does not match the ground truth.
who has the power to approve or veto legislation constitution,True,"The model answer correctly states that under the Constitution, the President has the power to approve or veto legislation, which matches the ground truth.",False,The Constitution gives the President the power to approve or veto legislation. 'The Chief Justice' is a different office and is incorrect.
how many seasons of the rugrats are there,True,"The model answer states there are 9 seasons of the original Rugrats series, which matches the ground truth '9 seasons'/'9'.",False,"The ground truth says Rugrats has 9 seasons, but the model answer says 8, which is incorrect."
who is the minister of local government in zimbabwe,False,"The ground truth identifies the minister of local government in Zimbabwe as Hon July Moyo. The model answer names Senator Paul Mungazi, which is a different person and therefore incorrect.",True,The model answer 'July Moyo' matches the ground truth 'Hon July Moyo'; 'Hon' is an honorific and not required for correctness.
what was the initial effect of the transition from command to market economies in eastern europe,False,"The ground truth specifies the initial effect as 'Inequality of opportunity.' The model answer instead describes economic contraction, unemployment, inflation, and falling living standards, which do not match the required answer.",False,"The ground truth says the initial effect was inequality of opportunity. The model answer instead claims a sharp rise in industrial output and living standards, which is a different and contradictory effect."
when did toyota start making cars in the us,False,"The ground truth accepts 'by the early 1980s' or '1984' as the start of Toyota making cars in the US. The model answer says 1986, which does not match and is later than the accepted date.",False,"The ground truth says Toyota started making cars in the U.S. by the early 1980s, specifically 1984. The model answer '1978' does not match these acceptable answers."
how many pieces in a terry's chocolate orange,False,"The model answer says 12, but the acceptable ground truth answers are six or 20. Therefore it does not match any correct answer.",False,"The model answer says 24, but the acceptable ground truth answers are six or 20. Therefore it does not match any accepted answer."
who plays the saint of killers on preacher,False,"The correct actor who plays the Saint of Killers on Preacher is Graham McTavish, not Bernard Hill.",False,The correct actor who plays the Saint of Killers on Preacher is Graham McTavish. Jeffrey Dean Morgan is a different actor and does not match the ground truth.
when did the royal proclamation of 1763 end,True,"The model answer says the proclamation became effectively obsolete following the Treaty of Paris in 1783, which matches the acceptable ground truth answer '1783' and is consistent with ending with the American Revolutionary War.",False,"The ground truth says the Royal Proclamation of 1763 ended with the American Revolutionary War, in 1783. The model answer '1774' gives the wrong year."
who is playing the halftime show at super bowl 2016,True,"The model answer correctly identifies Coldplay and includes Beyoncé and Bruno Mars as featured guests, matching the ground truth list of halftime performers without contradiction.",False,"The model answer is incorrect. The Super Bowl 2016 halftime show performers were Coldplay, Beyoncé, and Bruno Mars, not Adele."
jonny cash one piece at a time car,True,The model answer exactly matches the acceptable ground truth answer: Cadillac.,True,"The ground truth answer is 'Cadillac,' and the model answer identifies the car as a Cadillac with additional accurate detail. This is consistent and not contradictory."
what is the minimum wage in france per hour,False,"The model answer gives €11.88 gross per hour, which does not match either acceptable ground truth value (€11.16 or €9.88 per hour). The numeric answer is different, so it is incorrect.",False,"The model answer gives €10.25, which does not match either acceptable ground truth value: 11.16 or €9.88 per hour."
describe the three phases of the normal blood clotting process,True,"The model answer correctly includes vasoconstriction and coagulation, which match the acceptable ground truth items, and it appropriately describes the full three-phase clotting process without contradiction.",False,"The model answer is incorrect because it gives opposite or unrelated phases: 'vascular dilation' contradicts the ground truth 'vasoconstriction,' and 'platelet dissolution'/'fibrin breakdown' do not match normal clotting phases such as blood coagulation."
when did amnesia the dark descent come out,False,"The ground truth release date is 8 September 2010, but the model answer says September 9, 2010, which is a different date.",False,"The model answer gives a different release date. The ground truth is 8 September 2010, but the model answer says September 22, 2011."
what is the oldest street in the philippines,False,"The correct answer is Colon Street in Cebu City. The model answer says Calle Real in Cebu City, which is a different street and does not match the ground truth.",False,"The ground truth identifies Colon Street in Cebu City as the oldest street in the Philippines. The model answer says Escolta Street, which is a different street and therefore incorrect."
where is the tibia and fibula bone located,True,"The model answer correctly states that the tibia and fibula are in the lower leg, which matches the ground truth 'leg' and adds accurate detail without contradiction.",False,"The tibia and fibula are located in the leg, not the upper arm between the shoulder and elbow."
who played bat masterson in the tv series,True,The model answer 'Gene Barry' exactly matches the acceptable ground truth answer for who played Bat Masterson in the TV series.,True,The model answer 'Gene Barry' exactly matches the acceptable ground truth answer for who played Bat Masterson in the TV series.
who sings sugar sugar you are my candy girl,True,"The model answer matches the ground truth exactly: 'Sugar, Sugar' was sung by The Archies.",False,The correct answer is The Archies. The Cowsills is a different band and does not match the ground truth.
types of skiing in the winter olympics 2018,False,"The ground truth expects specific Alpine skiing event types such as Slalom, Downhill, Super-G, Giant slalom, or Slalom (SC). The model answer instead lists broader Olympic skiing disciplines, which does not match the requested types.",False,"The ground truth refers to specific alpine skiing event types in the 2018 Winter Olympics (such as Slalom, Downhill, Super-G, Giant slalom, and slalom combined), while the model answer lists broad skiing disciplines, which does not match."
who plays noah newman on the young and the restless,False,"The model answer names Joshua Morrow, who is a different actor. The ground truth for Noah Newman is Robert Gillespie Adamson IV.",False,"The ground truth says Noah Newman on The Young and the Restless is played by Robert Gillespie Adamson IV. The model answer, Joshua Morrow, is a different actor and does not match."
who has won the most games in nfl 2017,False,"The ground truth answer is Dallas Cowboys, but the model answer gives New England Patriots and Pittsburgh Steelers. These are different teams, so the answer does not match the ground truth.",False,"The model answer says 'The New England Patriots,' but the ground truth indicates 'Dallas Cowboys' as the team with the most wins in NFL 2017."
under article 1 what is the minimum age required to serve in the house of representatives,True,The model answer '25 years old' matches an acceptable ground truth answer exactly and correctly states the minimum age required to serve in the House of Representatives under Article 1.,False,"The minimum age to serve in the House of Representatives under Article I is 25 years old, not 30."
who has the most catches in nfl history,True,The model answer exactly matches the ground truth: Jerry Rice has the most catches in NFL history.,True,The model answer matches the ground truth exactly: Jerry Rice has the most catches in NFL history.
when does the dlc for rainbow six siege come out,False,"The ground truth answer is January 2018. The model answer does not give that date and instead provides unrelated general information about Rainbow Six Siege's seasonal update model, so it does not correctly answer the question.",False,"The ground truth says the DLC came out in January 2018, but the model answer gives March 18, 2025, which is a different and incorrect date."
who was the great wall of china built to defend against,True,"The model answer matches the ground truth: it says the Great Wall was built to defend against nomadic groups from the Eurasian Steppe/Inner Asia, which is semantically equivalent and more specific without contradiction.",True,"Mongol armies are a specific example of nomads from Inner Asia, so the model answer is a consistent, more specific match to the ground truth."
where does the last name galvez come from,True,"The model answer says the surname Galvez originates from Spain, which matches the ground truth that it is a Spanish surname/Spanish. The extra details do not conflict with the ground truth.",False,"The ground truth says the surname Galvez is Spanish. The model answer includes Spain but also adds Southern Italy (especially Calabria), which conflicts with the ground truth, so it is incorrect."
who opens the church of the holy sepulchre,False,"The ground truth identifies the opener as the Sunni Muslim/Nusaybah family. The model answer includes Nusseibeh but also adds the al-Ghazali family, which conflicts with the accepted answers, so it is not fully correct.",False,"The model answer is incorrect. The Church of the Holy Sepulchre is traditionally opened by the Nusaybah, a Sunni Muslim family, not the Greek Orthodox patriarch."
when does season 5 of the blacklist resume,False,"The ground truth says Season 5 resumed on January 31, 2018, but the model answer says February 1, 2018, which is a different date.",False,"The ground truth says season 5 of The Blacklist resumed on January 31, 2018, but the model answer gives Friday, January 12, 2018, which is a different date."
the chinese dragons are protectors of how many seas diggy,True,The model answer '4' is numerically equivalent to the acceptable ground truth answers 'Four Seas' and 'Four' in the context of asking how many seas.,False,"The ground truth says the Chinese dragons are protectors of the Four Seas. The model answer says Five, which is the wrong number."
