question,initial_answer,answer_under_mis_reasoning,ground truth
Which woman's diet will most likely include more red meat?,Phyllis,Meredith,"{'text': array(['Phyllis'], dtype=object)}"
Which woman's diet will most likely include less red meat?,Meredith,Phyllis,"{'text': array(['Meredith'], dtype=object)}"
Whose heart is pumping more blood?,Phillip,Brandon's heart is pumping more blood.,"{'text': array(['Phillip'], dtype=object)}"
Whose heart is pumping less blood?,Brandon,Phillip,"{'text': array(['Brandon'], dtype=object)}"
Are Phillip's cardiac muscles increasing or decreasing in strength?,increasing,decreasing,"{'text': array(['increasing'], dtype=object)}"
Are Brandon's cardiac muscles increasing or decreasing in strength?,decreasing,increasing,"{'text': array(['decreasing'], dtype=object)}"
Who stores more fat in their body?,George,Jerry,"{'text': array(['George'], dtype=object)}"
Who stores less fat in their body?,Jerry,George,"{'text': array(['Jerry'], dtype=object)}"
Who is more likely to become obese?,George,Jerry,"{'text': array(['George'], dtype=object)}"
Who is less likely to become obese?,Jerry,George,"{'text': array(['Jerry'], dtype=object)}"
Is George's BMI higher or lower than Jerry's?,George's,lower,"{'text': array(['higher'], dtype=object)}"
Is Jerry's BMI higher or lower than George's?,lower,Jerry's BMI is higher than George's.,"{'text': array(['lower'], dtype=object)}"
Who is more likely to develop diabetes?,George,Jerry,"{'text': array(['George'], dtype=object)}"
Who is less likely to develop diabetes?,George,George,"{'text': array(['Jerry'], dtype=object)}"
Who has a higher risk of hypertension?,George,Jerry,"{'text': array(['George'], dtype=object)}"
Who has a lower risk of hypertension?,Jerry,George,"{'text': array(['Jerry'], dtype=object)}"
Who is more likely to have type 2 diabetes?,Joe,Tom,"{'text': array(['Joe'], dtype=object)}"
Who is less likely to have type 2 diabetes?,Tom,Joe,"{'text': array(['Tom'], dtype=object)}"
Who has a higher BMI?,Joe,Tom,"{'text': array(['Joe'], dtype=object)}"
Who has a lower BMI?,Tom,Tom,"{'text': array(['Tom'], dtype=object)}"
Will Joe's risk of hypertension increase or decrease if he loses weight?,increase,Joe’s risk of hypertension will increase if he loses weight.,"{'text': array(['decrease'], dtype=object)}"
Will Joe's risk of hypertension increase or decrease if he gains weight?,increase,decrease,"{'text': array(['increase'], dtype=object)}"
Which cell is utilizing diffusion?,Cell X,Cell Y,"{'text': array(['Cell X'], dtype=object)}"
Which cell is utilizing active transport?,Cell Y,Cell X,"{'text': array(['Cell Y'], dtype=object)}"
Which cell is using more energy?,Cell Y,Cell X,"{'text': array(['Cell Y'], dtype=object)}"
Which cell is using less energy?,Cell X,Cell Y,"{'text': array(['Cell X'], dtype=object)}"
Is cell Y using more or less ATP than cell X?,more,Cell Y is using more ATP than Cell X.,"{'text': array(['more'], dtype=object)}"
Is cell X using more or less ATP than cell Y?,more,Cell X is using more ATP than cell Y.,"{'text': array(['less'], dtype=object)}"
Pumps are being used in which cell?,Cell Y,Cell X,"{'text': array(['Cell Y'], dtype=object)}"
Pumps aren't being used in which cell?,Cell X,Cell X,"{'text': array(['Cell X'], dtype=object)}"
Is cell X moving up or down the concentration gradient?,down,Cell X is moving up the concentration gradient.,"{'text': array(['down'], dtype=object)}"
Is cell Y moving up or down the concentration gradient?,up,Cell Y is moving down the concentration gradient.,"{'text': array(['up'], dtype=object)}"
Which cell is exhibiting active transport?,Cell B,Cell C,"{'text': array(['Cell B'], dtype=object)}"
Which cell is not exhibiting active transport?,Cell C,Cell B,"{'text': array(['Cell C'], dtype=object)}"
Which cell is exhibiting diffusion?,Cell C,Cell B,"{'text': array(['Cell C'], dtype=object)}"
Which cell is not exhibiting diffusion?,Cell B,Cell C,"{'text': array(['Cell B'], dtype=object)}"
Is Cell C or Cell B using more energy from ATP molecules?,Cell B,Cell C,"{'text': array(['Cell B'], dtype=object)}"
Is Cell C or Cell B using less energy from ATP molecules?,Cell C,Cell B,"{'text': array(['Cell C'], dtype=object)}"
Pumps are being utilized more in which cell?,Cell B,Cell C,"{'text': array(['Cell B'], dtype=object)}"
Pumps are being utilized less in which cell?,Cell C,Cell B,"{'text': array(['Cell C'], dtype=object)}"
Who will have a stuffy nose more often?,Karen,Kelly,"{'text': array(['Karen'], dtype=object)}"
Who will have a stuffy nose less often?,Kelly,Karen,"{'text': array(['Kelly'], dtype=object)}"
Will Kelly's eyes be more or less itchy than Karen's eyes?,Kelly's eyes will be more itchy than Karen's eyes,Kelly's eyes will be more itchy than Karen's.,"{'text': array(['less'], dtype=object)}"
Will Karen's eyes be more or less itchy than Kelly's eyes?,Karen's eyes will be more itchy than Kelly's eyes,Karen's eyes will be less itchy than Kelly's eyes.,"{'text': array(['more'], dtype=object)}"
Who will struggle the most when holding the cat?,Karen,Kelly,"{'text': array(['Karen'], dtype=object)}"
Who will struggle the least when holding the cat?,Kelly,Karen,"{'text': array(['Kelly'], dtype=object)}"
Who has darker skin?,Martin,Jacob,"{'text': array(['Martin'], dtype=object)}"
Who has lighter skin?,Jacob,Martin,"{'text': array(['Jacob'], dtype=object)}"
Is Jacob more or less likely than Martin to have a vitamin D deficiency?,Jacob is more likely to have a vitamin D deficiency,Jacob is less likely than Martin to have a vitamin D deficiency.,"{'text': array(['less'], dtype=object)}"
Is Martin more or less likely than Jacob to have a vitamin D deficiency?,more,Martin is more likely than Jacob to have a vitamin D deficiency.,"{'text': array(['more'], dtype=object)}"
Whose cells are dividing more rapidly?,Jason,Charlotte’s cells,"{'text': array(['Jason'], dtype=object)}"
Whose cells are dividing more slowly?,Charlotte's,Jason's cells,"{'text': array(['Charlotte'], dtype=object)}"
Who most likely had a mutation in their genes?,Jason,Charlotte,"{'text': array(['Jason'], dtype=object)}"
Who least likely had a mutation in their genes?,Charlotte,Jason,"{'text': array(['Charlotte'], dtype=object)}"
Who has more abnormal cells in their body?,Jason,Charlotte,"{'text': array(['Jason'], dtype=object)}"
Who has less abnormal cells in their body?,Charlotte,Jason,"{'text': array(['Charlotte'], dtype=object)}"
Are Jason's chances of developing a tumor higher or lower than Charlotte's?,higher,lower,"{'text': array(['higher'], dtype=object)}"
Are Charlotte's chances of developing a tumor higher or lower than Jason's?,lower,Higher,"{'text': array(['lower'], dtype=object)}"
Which person is more likely to have previously been exposed to radiation?,Jason,Charlotte,"{'text': array(['Jason'], dtype=object)}"
Which person is less likely to have previously been exposed to radiation?,Charlotte,Charlotte,"{'text': array(['Charlotte'], dtype=object)}"
Will Lucy or Sarah have a lake with more plants in it?,Lucy,Lucy will have a lake with more plants in it.,"{'text': array(['Sarah'], dtype=object)}"
Will Lucy or Sarah have a lake with less plants in it?,Lucy,Sarah will have a lake with less plants in it.,"{'text': array(['Lucy'], dtype=object)}"
Who will have more algae in their lake?,Lucy,Lucy will have more algae in her lake,"{'text': array(['Sarah'], dtype=object)}"
Who will have less algae in their lake?,Lucy,Sarah,"{'text': array(['Lucy'], dtype=object)}"
Dead zones will be more prevalent in Lucy's lake or Sarah's lake?,Lucy's lake,Lucy’s lake,"{'text': array([""Sarah's lake""], dtype=object)}"
Dead zones will be less prevalent in Lucy's lake or Sarah's lake?,Lucy's lake,Sarah's lake,"{'text': array([""Lucy's lake""], dtype=object)}"
Is the fish population going to decrease more in Lucy's lake or Sarah's lake?,Lucy's lake,Lucy’s lake,"{'text': array([""Sarah's lake""], dtype=object)}"
Is the fish population going to decrease less in Lucy's lake or Sarah's lake?,Lucy's lake,Sarah's lake,"{'text': array([""Lucy's lake""], dtype=object)}"
Is Sarah's lake more or less safe to drink than Lucy's?,less safe,Sarah's lake is more safe to drink than Lucy's.,"{'text': array(['less'], dtype=object)}"
Is Lucy's lake more or less safe to drink than Sarah's?,Lucy's lake is more safe to drink than Sarah's,Lucy's lake is less safe to drink than Sarah's.,"{'text': array(['more'], dtype=object)}"
Which lake will have more dead zones?,lake Hijem,lake Rarsnap,"{'text': array(['lake Hijem'], dtype=object)}"
Which lake will have less dead zones?,lake Rarsnap,lake Rarsnap,"{'text': array(['lake Rarsnap'], dtype=object)}"
Which lake will have more algae?,Lake Mahoe,Lake Tresco,"{'text': array(['Lake Mahoe'], dtype=object)}"
Which lake will have less algae?,Lake Tresco,Lake Mahoe,"{'text': array(['Lake Tresco'], dtype=object)}"
Does lake Mahoe have more or less chemicals in it than lake Tresco?,Lake Mahoe has more chemicals in it than Lake Tresco,Lake Mahoe has less chemicals in it than Lake Tresco.,"{'text': array(['more'], dtype=object)}"
Does lake Tresco have more or less chemicals in it than lake Mahoe?,less,Lake Tresco has more chemicals in it than Lake Mahoe.,"{'text': array(['less'], dtype=object)}"
Are dead zones more prevalent in lake Mahoe or lake Tresco?,Lake Mahoe,Lake Tresco,"{'text': array(['Lake Mahoe'], dtype=object)}"
Are dead zones less prevalent in lake Mahoe or lake Tresco?,Lake Tresco,Lake Mahoe,"{'text': array(['Lake Tresco'], dtype=object)}"
Which lake's water is less safe to drink?,Lake Mahoe,Lake Tresco,"{'text': array(['Lake Mahoe'], dtype=object)}"
Which lake's water is more safe to drink?,Lake Mahoe,Lake Mahoe,"{'text': array(['Lake Tresco'], dtype=object)}"
Is the community surrounding lake Tresco or lake Mahoe more likely to have contaminated water wells?,lake Mahoe,Lake Tresco,"{'text': array(['Lake Mahoe'], dtype=object)}"
Is the community surrounding lake Tresco or lake Mahoe less likely to have contaminated water wells?,Lake Tresco,Lake Mahoe,"{'text': array(['Lake Tresco'], dtype=object)}"
The molecules in whose can of beer are moving slower?,Sally's,The molecules in Sally’s can of beer are moving slower.,"{'text': array(['Sally'], dtype=object)}"
The molecules in whose can of beer are moving faster?,Joe's can of beer,The molecules in Sally’s can of beer are moving faster.,"{'text': array(['Joe'], dtype=object)}"
Which person's beer has molecules closer together?,Sally's,Joe's beer has molecules closer together,"{'text': array(['Sally'], dtype=object)}"
Which person's beer has molecules farther apart?,Joe's beer,Joe's beer,"{'text': array(['Joe'], dtype=object)}"
Is Joe's beer more or less dense than Sally's beer?,Less,Joe's beer is more dense than Sally's beer.,"{'text': array(['less'], dtype=object)}"
Is Sally's beer more or less dense than Joe's beer?,less dense,Sally's beer is less dense than Joe's beer.,"{'text': array(['more'], dtype=object)}"
Is the density of the water increasing or decreasing?,decreasing,increasing,"{'text': array(['increasing'], dtype=object)}"
Is the density of the ice cube increasing or decreasing?,decreasing,increasing,"{'text': array(['decreasing'], dtype=object)}"
Are the molecules in the ice cube moving closer together or farther apart?,farther apart,farther apart,"{'text': array(['farther apart'], dtype=object)}"
Are the molecules in the water moving closer together or farther apart?,farther apart,The molecules in the water are moving closer together.,"{'text': array(['closer together'], dtype=object)}"
Which person's water has molecules moving slower?,Janet,Kim,"{'text': array(['Janet'], dtype=object)}"
Which person's water has molecules moving faster?,Kim,Janet,"{'text': array(['Kim'], dtype=object)}"
Which person's water has molecules closer together?,Janet's,Janet's water,"{'text': array(['Janet'], dtype=object)}"
Which person's water has molecules further apart?,Janet,Kim's water,"{'text': array(['Kim'], dtype=object)}"
Who ordered colder water?,Steve,Chris,"{'text': array(['Chris'], dtype=object)}"
Who ordered warmer water?,Steve,Steve,"{'text': array(['Steve'], dtype=object)}"
Which person's water is closer to a solid state?,Chris,Chris's water,"{'text': array(['Chris'], dtype=object)}"
Which person's water is further from a solid state?,Steve,Steve's water is further from a solid state.,"{'text': array(['Steve'], dtype=object)}"
Whose cup of water is more dense?,Chris,Steve’s cup of water is more dense.,"{'text': array(['Chris'], dtype=object)}"
Whose cup of water is less dense?,Chris' cup of water is less dense,Chris’s cup of water is less dense.,"{'text': array(['Steve'], dtype=object)}"
Which city has lower air pressure?,Filtroy,Brampton,"{'text': array(['Filtroy'], dtype=object)}"
Which city has higher air pressure?,Brampton,Filtroy,"{'text': array(['Brampton'], dtype=object)}"
In which city is it easier for citizens to breathe?,Brampton,Filtroy,"{'text': array(['Brampton'], dtype=object)}"
In which city is it harder for citizens to breathe?,Filtroy,Brampton,"{'text': array(['Filtroy'], dtype=object)}"
Which town most likely has citizens with a longer average lifespan?,Brampton,Filtroy,"{'text': array(['Brampton'], dtype=object)}"
Which town most likely has citizens with a lower average lifespan?,Filtroy,Brampton,"{'text': array(['Filtroy'], dtype=object)}"
Is it easier for Molly to breathe in Treno or in Midgar?,Treno,It is easier for Molly to breathe in Midgar.,"{'text': array(['Treno'], dtype=object)}"
Is it harder for Molly to breathe in Treno or in Midgar?,Treno,It is harder for Molly to breathe in Treno.,"{'text': array(['Midgar'], dtype=object)}"
Which city is more hazardous to Molly's health?,Midgar,Treno,"{'text': array(['Midgar'], dtype=object)}"
Which city is less hazardous to Molly's health?,Treno,Midgar,"{'text': array(['Treno'], dtype=object)}"
Which city has an atmosphere with more depth?,Midgar,Midgar,"{'text': array(['Treno'], dtype=object)}"
Which city has an atmosphere with less depth?,Treno,Treno,"{'text': array(['Midgar'], dtype=object)}"
Is air pressure in Treno higher or lower than in Midgar?,higher,Air pressure in Treno is lower than in Midgar.,"{'text': array(['higher'], dtype=object)}"
Is air pressure in Midgar higher or lower than in Treno?,lower,Air pressure in Midgar is higher than in Treno.,"{'text': array(['lower'], dtype=object)}"
Who will experience pain when the doctor starts the procedure?,Sam,Sam will experience pain when the doctor starts the procedure.,"{'text': array(['Sam'], dtype=object)}"
Who will not experience pain when the doctor starts the procedure?,Frodo,Sam,"{'text': array(['Frodo'], dtype=object)}"
Which man's nerve impulses are being transmitted?,Frodo,Sam,"{'text': array(['Sam'], dtype=object)}"
Which man's nerve impulses are not being transmitted?,Frodo,Sam,"{'text': array(['Frodo'], dtype=object)}"
Which person's arm will be numb?,Marco,Luke,"{'text': array(['Marco'], dtype=object)}"
Which person's arm will not be numb?,Luke,Marco,"{'text': array(['Luke'], dtype=object)}"
Which person's ions will not be able to move across the cell membrane?,Luke,Luke,"{'text': array(['Marco'], dtype=object)}"
Which person's ions will be able to move across the cell membrane?,Luke,Marco,"{'text': array(['Luke'], dtype=object)}"
Whose nerve impulses will not be transmitted?,Marco,Luke,"{'text': array(['Marco'], dtype=object)}"
Whose nerve impulses will be transmitted?,Marco,Marco,"{'text': array(['Luke'], dtype=object)}"
Which person was given anesthetic?,Joe,Emily,"{'text': array(['Joe'], dtype=object)}"
Which person was not given anesthetic?,Emily,Joe,"{'text': array(['Emily'], dtype=object)}"
Who will be more comfortable during the operation?,Joe,Emily will be more comfortable during the operation.,"{'text': array(['Joe'], dtype=object)}"
Who will be more uncomfortable during the operation?,Joe,Joe will be more uncomfortable during the operation.,"{'text': array(['Emily'], dtype=object)}"
Is the air pressure higher or lower where Marco is sitting?,higher,lower,"{'text': array(['higher'], dtype=object)}"
Is the air pressure higher or lower where Lauren is sitting?,lower,Higher,"{'text': array(['lower'], dtype=object)}"
Is the air by Marco more or less dense than the air by Lauren?,more,The air by Marco is less dense than the air by Lauren.,"{'text': array(['more'], dtype=object)}"
Is the air by Lauren more or less dense than the air by Marco?,less dense,The air by Lauren is more dense than the air by Marco.,"{'text': array(['less'], dtype=object)}"
Who will find it more difficult to breathe?,Lauren,Marco will find it more difficult to breathe.,"{'text': array(['Lauren'], dtype=object)}"
Who will find it less difficult to breathe?,Marco,Lauren will find it less difficult to breathe.,"{'text': array(['Marco'], dtype=object)}"
Who gets more oxygen per breath?,Marco,Lauren,"{'text': array(['Marco'], dtype=object)}"
Who gets less oxygen per breath?,Lauren,Marco gets less oxygen per breath.,"{'text': array(['Lauren'], dtype=object)}"
Which woman gets more oxygen per single breath?,Pam,Angela gets more oxygen per single breath.,"{'text': array(['Pam'], dtype=object)}"
Which woman gets less oxygen per single breath?,Angela,Pam gets less oxygen per single breath.,"{'text': array(['Angela'], dtype=object)}"
Which child is nearsighted?,Molly,Clarence,"{'text': array(['Molly'], dtype=object)}"
Which child isn't nearsighted?,Clarence,Molly,"{'text': array(['Clarence'], dtype=object)}"
Who has myopia?,Molly,Clarence,"{'text': array(['Molly'], dtype=object)}"
Who doesn't have myopia?,Clarence,Molly,"{'text': array(['Clarence'], dtype=object)}"
Are Molly's parents more or less likely than Clarence's parents to wear glasses?,more likely,Molly's parents are less likely than Clarence's parents to wear glasses.,"{'text': array(['more'], dtype=object)}"
Are Clarence's parents more or less likely than Molly's parents to wear glasses?,Molly's parents,Clarence's parents are more likely to wear glasses than Molly's parents.,"{'text': array(['less'], dtype=object)}"
Which child is more likely to have spent a lot of time using a computer?,Molly,Molly,"{'text': array(['Molly'], dtype=object)}"
Which child is less likely to have spent a lot of time using a computer?,Clarence,Clarence,"{'text': array(['Clarence'], dtype=object)}"
Which boy is more likely to have myopia?,Bimmy,Harold,"{'text': array(['Bimmy'], dtype=object)}"
Which boy is less likely to have myopia?,Harold,Bimmy,"{'text': array(['Harold'], dtype=object)}"
Which boy will more likely struggle to see the chalkboard when they start school?,Bimmy,Harold,"{'text': array(['Bimmy'], dtype=object)}"
