question,initial_answer,answer_under_mis_reasoning,ground truth
Pumps are being utilized less in which cell?,Cell C,Cell C,"{'text': array(['Cell C'], dtype=object)}"
Who will have a stuffy nose more often?,Karen,Karen,"{'text': array(['Karen'], dtype=object)}"
Who will have a stuffy nose less often?,Kelly,Kelly,"{'text': array(['Kelly'], dtype=object)}"
Will Kelly's eyes be more or less itchy than Karen's eyes?,less itchy,less itchy,"{'text': array(['less'], dtype=object)}"
Will Karen's eyes be more or less itchy than Kelly's eyes?,more,more,"{'text': array(['more'], dtype=object)}"
Who will struggle the most when holding the cat?,Karen,Karen,"{'text': array(['Karen'], dtype=object)}"
Who will struggle the least when holding the cat?,Kelly,Kelly,"{'text': array(['Kelly'], dtype=object)}"
Who has darker skin?,Martin,Martin,"{'text': array(['Martin'], dtype=object)}"
Who has lighter skin?,Jacob,Jacob,"{'text': array(['Jacob'], dtype=object)}"
Is Jacob more or less likely than Martin to have a vitamin D deficiency?,more,more,"{'text': array(['less'], dtype=object)}"
Is Martin more or less likely than Jacob to have a vitamin D deficiency?,less,less,"{'text': array(['more'], dtype=object)}"
Whose cells are dividing more rapidly?,Jason,Jason,"{'text': array(['Jason'], dtype=object)}"
Whose cells are dividing more slowly?,Charlotte,Charlotte,"{'text': array(['Charlotte'], dtype=object)}"
Who most likely had a mutation in their genes?,Jason,Jason,"{'text': array(['Jason'], dtype=object)}"
Who least likely had a mutation in their genes?,Charlotte,Charlotte,"{'text': array(['Charlotte'], dtype=object)}"
Who has more abnormal cells in their body?,Jason,Jason,"{'text': array(['Jason'], dtype=object)}"
Who has less abnormal cells in their body?,Charlotte,Charlotte,"{'text': array(['Charlotte'], dtype=object)}"
Are Jason's chances of developing a tumor higher or lower than Charlotte's?,higher,higher,"{'text': array(['higher'], dtype=object)}"
Are Charlotte's chances of developing a tumor higher or lower than Jason's?,lower,lower,"{'text': array(['lower'], dtype=object)}"
Which person is more likely to have previously been exposed to radiation?,Jason,Jason,"{'text': array(['Jason'], dtype=object)}"
Which person is less likely to have previously been exposed to radiation?,Charlotte,Charlotte,"{'text': array(['Charlotte'], dtype=object)}"
Will Lucy or Sarah have a lake with more plants in it?,Sarah,Sarah,"{'text': array(['Sarah'], dtype=object)}"
Will Lucy or Sarah have a lake with less plants in it?,Lucy,Lucy,"{'text': array(['Lucy'], dtype=object)}"
Who will have more algae in their lake?,Sarah,Sarah,"{'text': array(['Sarah'], dtype=object)}"
Who will have less algae in their lake?,Lucy,Lucy,"{'text': array(['Lucy'], dtype=object)}"
Dead zones will be more prevalent in Lucy's lake or Sarah's lake?,Sarah's lake,Sarah's lake,"{'text': array([""Sarah's lake""], dtype=object)}"
Dead zones will be less prevalent in Lucy's lake or Sarah's lake?,Lucy's lake,Lucy's lake,"{'text': array([""Lucy's lake""], dtype=object)}"
Is the fish population going to decrease more in Lucy's lake or Sarah's lake?,Sarah's lake,Sarah's lake,"{'text': array([""Sarah's lake""], dtype=object)}"
Is the fish population going to decrease less in Lucy's lake or Sarah's lake?,Lucy's lake,Lucy's lake,"{'text': array([""Lucy's lake""], dtype=object)}"
Is Sarah's lake more or less safe to drink than Lucy's?,less safe,less safe,"{'text': array(['less'], dtype=object)}"
Is Lucy's lake more or less safe to drink than Sarah's?,more,more,"{'text': array(['more'], dtype=object)}"
Which lake will have more dead zones?,lake Hijem,lake Hijem,"{'text': array(['lake Hijem'], dtype=object)}"
Which lake will have less dead zones?,lake Rarsnap,lake Rarsnap,"{'text': array(['lake Rarsnap'], dtype=object)}"
Which lake will have more algae?,Lake Mahoe,Lake Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}"
Which lake will have less algae?,Lake Tresco,Lake Tresco,"{'text': array(['Lake Tresco'], dtype=object)}"
Does lake Mahoe have more or less chemicals in it than lake Tresco?,more,more,"{'text': array(['more'], dtype=object)}"
Does lake Tresco have more or less chemicals in it than lake Mahoe?,less,less,"{'text': array(['less'], dtype=object)}"
Are dead zones more prevalent in lake Mahoe or lake Tresco?,Lake Mahoe,Lake Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}"
Are dead zones less prevalent in lake Mahoe or lake Tresco?,lake Tresco,Lake Tresco,"{'text': array(['Lake Tresco'], dtype=object)}"
Which lake's water is less safe to drink?,Lake Mahoe,Lake Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}"
Which lake's water is more safe to drink?,Lake Tresco,Lake Tresco,"{'text': array(['Lake Tresco'], dtype=object)}"
Is the community surrounding lake Tresco or lake Mahoe more likely to have contaminated water wells?,lake Mahoe,lake Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}"
Is the community surrounding lake Tresco or lake Mahoe less likely to have contaminated water wells?,lake Tresco,Lake Tresco,"{'text': array(['Lake Tresco'], dtype=object)}"
The molecules in whose can of beer are moving slower?,Sally's,Sally's,"{'text': array(['Sally'], dtype=object)}"
The molecules in whose can of beer are moving faster?,Joe's,Joe's,"{'text': array(['Joe'], dtype=object)}"
Which person's beer has molecules closer together?,Sally's beer,Joe's beer,"{'text': array(['Sally'], dtype=object)}"
Which person's beer has molecules farther apart?,Joe's beer,Joe's beer,"{'text': array(['Joe'], dtype=object)}"
Is Joe's beer more or less dense than Sally's beer?,less dense,less dense,"{'text': array(['less'], dtype=object)}"
Is Sally's beer more or less dense than Joe's beer?,more dense,more dense,"{'text': array(['more'], dtype=object)}"
Is the density of the water increasing or decreasing?,increasing,decreasing,"{'text': array(['increasing'], dtype=object)}"
Is the density of the ice cube increasing or decreasing?,increasing,increasing,"{'text': array(['decreasing'], dtype=object)}"
Are the molecules in the ice cube moving closer together or farther apart?,closer together,farther apart,"{'text': array(['farther apart'], dtype=object)}"
Are the molecules in the water moving closer together or farther apart?,farther apart,closer together,"{'text': array(['closer together'], dtype=object)}"
Which person's water has molecules moving slower?,Janet's water,Janet's water,"{'text': array(['Janet'], dtype=object)}"
Which person's water has molecules moving faster?,Kim's water,Kim's water,"{'text': array(['Kim'], dtype=object)}"
Which person's water has molecules closer together?,Janet's water,Janet's water,"{'text': array(['Janet'], dtype=object)}"
Which person's water has molecules further apart?,Kim,Kim,"{'text': array(['Kim'], dtype=object)}"
Who ordered colder water?,Chris,Chris,"{'text': array(['Chris'], dtype=object)}"
Who ordered warmer water?,Steve,Steve,"{'text': array(['Steve'], dtype=object)}"
Which person's water is closer to a solid state?,Steve,Steve,"{'text': array(['Chris'], dtype=object)}"
Which person's water is further from a solid state?,Chris,Steve,"{'text': array(['Steve'], dtype=object)}"
Whose cup of water is more dense?,Chris's,Chris's,"{'text': array(['Chris'], dtype=object)}"
Whose cup of water is less dense?,Steve's,Steve,"{'text': array(['Steve'], dtype=object)}"
Which city has lower air pressure?,Filtroy,Filtroy,"{'text': array(['Filtroy'], dtype=object)}"
Which city has higher air pressure?,Brampton,Brampton,"{'text': array(['Brampton'], dtype=object)}"
In which city is it easier for citizens to breathe?,Brampton,Brampton,"{'text': array(['Brampton'], dtype=object)}"
In which city is it harder for citizens to breathe?,Filtroy,Filtroy,"{'text': array(['Filtroy'], dtype=object)}"
Which town most likely has citizens with a longer average lifespan?,Brampton,Brampton,"{'text': array(['Brampton'], dtype=object)}"
Which town most likely has citizens with a lower average lifespan?,Filtroy,Filtroy,"{'text': array(['Filtroy'], dtype=object)}"
Is it easier for Molly to breathe in Treno or in Midgar?,Treno,Treno,"{'text': array(['Treno'], dtype=object)}"
Is it harder for Molly to breathe in Treno or in Midgar?,Midgar,Midgar,"{'text': array(['Midgar'], dtype=object)}"
Which city is more hazardous to Molly's health?,Midgar,Midgar,"{'text': array(['Midgar'], dtype=object)}"
Which city is less hazardous to Molly's health?,Treno,Treno,"{'text': array(['Treno'], dtype=object)}"
Which city has an atmosphere with more depth?,Treno,Treno,"{'text': array(['Treno'], dtype=object)}"
Which city has an atmosphere with less depth?,Midgar,Midgar,"{'text': array(['Midgar'], dtype=object)}"
Is air pressure in Treno higher or lower than in Midgar?,higher,higher,"{'text': array(['higher'], dtype=object)}"
Is air pressure in Midgar higher or lower than in Treno?,lower,lower,"{'text': array(['lower'], dtype=object)}"
Who will experience pain when the doctor starts the procedure?,Sam,Sam,"{'text': array(['Sam'], dtype=object)}"
Who will not experience pain when the doctor starts the procedure?,Frodo,Frodo,"{'text': array(['Frodo'], dtype=object)}"
Which man's nerve impulses are being transmitted?,Sam,Sam,"{'text': array(['Sam'], dtype=object)}"
Which man's nerve impulses are not being transmitted?,Frodo,Frodo,"{'text': array(['Frodo'], dtype=object)}"
Which person's arm will be numb?,Marco,Marco,"{'text': array(['Marco'], dtype=object)}"
Which person's arm will not be numb?,Luke,Luke,"{'text': array(['Luke'], dtype=object)}"
Which person's ions will not be able to move across the cell membrane?,Marco,Marco,"{'text': array(['Marco'], dtype=object)}"
Which person's ions will be able to move across the cell membrane?,Luke,Luke,"{'text': array(['Luke'], dtype=object)}"
Whose nerve impulses will not be transmitted?,Marco,Marco,"{'text': array(['Marco'], dtype=object)}"
Whose nerve impulses will be transmitted?,Luke,Luke,"{'text': array(['Luke'], dtype=object)}"
Which person was given anesthetic?,Joe,Joe,"{'text': array(['Joe'], dtype=object)}"
Which person was not given anesthetic?,Emily,Emily,"{'text': array(['Emily'], dtype=object)}"
Who will be more comfortable during the operation?,Joe,Joe,"{'text': array(['Joe'], dtype=object)}"
Who will be more uncomfortable during the operation?,Emily,Emily,"{'text': array(['Emily'], dtype=object)}"
Is the air pressure higher or lower where Marco is sitting?,higher,higher,"{'text': array(['higher'], dtype=object)}"
Is the air pressure higher or lower where Lauren is sitting?,lower,lower,"{'text': array(['lower'], dtype=object)}"
Is the air by Marco more or less dense than the air by Lauren?,more,more,"{'text': array(['more'], dtype=object)}"
Is the air by Lauren more or less dense than the air by Marco?,less dense,less dense,"{'text': array(['less'], dtype=object)}"
Who will find it more difficult to breathe?,Lauren,Lauren,"{'text': array(['Lauren'], dtype=object)}"
Who will find it less difficult to breathe?,Marco,Marco,"{'text': array(['Marco'], dtype=object)}"
Who gets more oxygen per breath?,Marco,Marco,"{'text': array(['Marco'], dtype=object)}"
Who gets less oxygen per breath?,Lauren,Lauren,"{'text': array(['Lauren'], dtype=object)}"
Which woman gets more oxygen per single breath?,Pam,Pam,"{'text': array(['Pam'], dtype=object)}"
Which woman gets less oxygen per single breath?,Angela,Angela,"{'text': array(['Angela'], dtype=object)}"
Which child is nearsighted?,Molly,Molly,"{'text': array(['Molly'], dtype=object)}"
Which child isn't nearsighted?,Clarence,Clarence,"{'text': array(['Clarence'], dtype=object)}"
Who has myopia?,Molly,Molly,"{'text': array(['Molly'], dtype=object)}"
Who doesn't have myopia?,Clarence,Clarence,"{'text': array(['Clarence'], dtype=object)}"
Are Molly's parents more or less likely than Clarence's parents to wear glasses?,more likely,more likely,"{'text': array(['more'], dtype=object)}"
Are Clarence's parents more or less likely than Molly's parents to wear glasses?,less likely,less likely,"{'text': array(['less'], dtype=object)}"
Which child is more likely to have spent a lot of time using a computer?,Molly,Molly,"{'text': array(['Molly'], dtype=object)}"
Which child is less likely to have spent a lot of time using a computer?,Clarence,Clarence,"{'text': array(['Clarence'], dtype=object)}"
Which boy is more likely to have myopia?,Bimmy,Bimmy,"{'text': array(['Bimmy'], dtype=object)}"
Which boy is less likely to have myopia?,Harold,Harold,"{'text': array(['Harold'], dtype=object)}"
Which boy will more likely struggle to see the chalkboard when they start school?,Bimmy,Bimmy,"{'text': array(['Bimmy'], dtype=object)}"
