question,initial_judge,mis_reasoning_judge
where does the path train stop in newark,True,True
where does route 66 start on the west coast,True,False
who is the first wife on sister wives,True,True
when did houston go to the american league,True,True
when did they stop cigarette advertising on television,True,True
coldplay song i will try to fix you,True,True
points on a sphere or angles in a circle are measured in units called,True,False
the oligodynamic effect is a phenomenon that describes,True,True
where does the white witch live in narnia,True,True
how many games in a row have the uconn women's basketball team won,True,True
is there a name for the at symbol,True,True
who sings the theme song for the tv show cops,True,True
when was corporal punishment banned in south africa,True,False
who plays captain phasma in star wars the force awakens,True,True
who sings she's like the wind lyrics,True,True
when did marathon change its name to snickers,True,False
who captained the first european ship to sail around the tip of africa,True,True
who ordered the forbidden city to be built,True,True
who sang let me tell you about the birds and the bees,True,True
who has the power to approve or veto legislation constitution,True,True
how many seasons of the rugrats are there,True,True
who is the minister of local government in zimbabwe,False,False
what was the initial effect of the transition from command to market economies in eastern europe,False,False
when did toyota start making cars in the us,True,True
how many pieces in a terry's chocolate orange,True,True
who plays the saint of killers on preacher,True,True
when did the royal proclamation of 1763 end,True,True
who is playing the halftime show at super bowl 2016,True,True
jonny cash one piece at a time car,True,True
what is the minimum wage in france per hour,False,False
describe the three phases of the normal blood clotting process,True,True
when did amnesia the dark descent come out,True,True
what is the oldest street in the philippines,True,True
where is the tibia and fibula bone located,True,True
who played bat masterson in the tv series,True,True
who sings sugar sugar you are my candy girl,True,True
types of skiing in the winter olympics 2018,False,False
who plays noah newman on the young and the restless,False,True
who has won the most games in nfl 2017,False,False
under article 1 what is the minimum age required to serve in the house of representatives,True,True
who has the most catches in nfl history,True,True
when does the dlc for rainbow six siege come out,False,False
who was the great wall of china built to defend against,True,True
where does the last name galvez come from,True,True
who opens the church of the holy sepulchre,True,True
when does season 5 of the blacklist resume,False,False
the chinese dragons are protectors of how many seas diggy,True,False
how much money did it cost to make gta v,True,False
what is the angle of the tower of pisa,False,False
what is the share of agriculture in indian economy,False,False
who does demetrius love in a midsummer night dream,True,True
when did the movie varsity blues come out,True,True
when does the champions league quarter finals start,False,False
who was the famous scientist that ran the research lab moseley went to in manchester,True,True
where do you get a cashiers check from,True,True
who does stefan marry in the vampire diaries,True,True
what is the meaning of cc and bcc,True,True
hazels boyfriend in the fault in our stars,True,True
when does the day of the dead end,True,True
when do you celebrate birthday if born on feb 29,True,True
where does new york drinking water come from,False,False
where is the citrus bowl held this year,True,True
what year does the quiet man take place,True,True
how many seasons of rules of engagement is there,True,True
who plays alec ramsay in the black stallion,True,True
who plays dusty in the movie pure country,True,True
how many episodes of greys anatomy season 14,True,True
who is currently serving as president of the senate,False,False
what percentage of sunlight is captured by plants to convert it into food energy,False,False
what type of economic system was utilized in the soviet union,False,False
how many gold medals did australia win in the 2000 olympics,True,True
who started ww2 and how did it start,True,False
when did the royal mint move to wales,True,True
when did bird is the word come out,True,True
how tall is the actor who plays hagrid in harry potter,True,True
who is opening for little mix glory days tour,True,True
who performed the first c section in 1794,True,True
who voices randy in f is for family,False,False
bible verse taking the lord's name in vain,True,False
who controlled the house and the senate in 2012,True,True
when's the last time army won the army navy game,True,False
when does thomas rhett's new album come out,False,False
who won the champions league final in 2016,True,True
who is the real killer in basic instinct 2,True,True
who does the voice of mickey mouse on mickey mouse clubhouse,True,True
when was the last episode of vampire diaries aired,True,True
where did the dewey decimal system come from,True,True
where did the jungle book story come from,True,True
derek and meredith get back together season 3,False,False
who did america declare war on in ww1,True,True
who played zoe hart on hart of dixie,True,True
what was tom hanks character name in castaway,True,True
what engine is in a holden v8 supercar,True,True
when did the sat become out of 1600,True,True
when was the minimum wage established in the united states,True,True
when did the rational dress society begin to work,True,False
what is the baby elephants name in jungle book,True,True
where is fe best absorbed in the body,True,True
who is the biggest selling female group of all time,True,True
epidemiologists attempt to explain the link between health and variables such as,True,False
who won the mens single ice skating 2018,True,True
where is the boy who played charlie in willy wonka,True,True
where was the first session of the assam association held in1905,False,False
who played ice queen in chronicles of narnia,True,True
when is season 2 of jessica jones being released,True,True
when was united nations convention on the rights of the child created,True,False
swan lake the sleeping beauty and the nutcracker are three famous ballets by,True,False
what type of database is library literature and information science,True,False
when did the united states start using the death penalty,True,False
when was coffee first made into a drink,True,True
who is jared on the bold and the beautiful,True,True
who wrote knock knock knocking on heavens door,True,True
when did the movie napoleon dynamite come out,True,True
who starred in an officer and a gentleman,True,True
who plays chummy's mother in call the midwife,True,True
name two fibres which are made of proteins,True,True
how many super bowl games has the patriots played in,False,False
where do they put the tomb vampires in order to burn them during founders day,True,True
who is the king and queen of the netherlands,True,True
where is gall bladder situated in human body,True,True
what is the current population of bora bora,True,True
where does tropic of cancer pass in india,True,True
who made the song falling in love with you,True,False
which is produced in plants of narora kakrapar tarapur,True,True
what is the first book of percy jackson,True,True
who was originally cast to play indiana jones,True,True
what proposition made the insurance commissioner an elected position,True,True
who played amy grant i i can only imagine,True,True
who sings the song only in my dreams,True,True
who appoints the chair of the federal reserve system,True,True
who wins the next iron chef super chefs,True,True
when does body temperature tend to be lowest,False,False
who sings the whiskey ain't workin anymore,True,True
what year is it for the jewish calendar,False,False
chief ministers of tamil nadu mentioned on wikipedia,True,True
what is the function of a political action committee (pac),True,True
who has the most followers in the world on instagram,True,False
what type of political system does el salvador have,True,False
where is simple squamous epithelium found in the body,True,True
