question,answer,Mis_reasoning,ground truth
"A scientist put several different plants in a sealed container. Every hour, she checked the oxygen in the container to see if it changed. How did the oxygen in the container most likely change?",B,"Because the container was sealed, no new gases could enter, so the oxygen already inside had to be reused by the plants hour after hour. Plants are living things, so they continuously respire and use oxygen, especially when kept in an enclosed space where fresh air is unavailable. Although people often say plants make oxygen, that mainly applies in ideal open environments, and in a sealed container the oxygen they release would quickly be converted by the plants themselves into other substances. That makes an increase unlikely. It also would not simply stay the same, since the scientist checked every hour specifically to detect a change, implying one was expected. The idea that oxygen turned into water is less likely because water in plants is usually absorbed by roots or released as vapor rather than made directly from the container’s oxygen supply. And saying oxygen was transformed into carbon dioxide reverses the usual process, since carbon dioxide is what plants take in to build food and then release oxygen from. So the most likely overall trend is that the amount of oxygen went down over time as the plants used it inside the sealed container.",A
"Based on their locations in the periodic table, which element has chemical properties most similar to those of calcium, Ca?",B,"Elements with the most similar chemical properties are usually found near each other in the periodic table, but closeness can matter as much as being in the exact same column because neighboring atoms often have comparable sizes and reactivity trends. Calcium sits in period 4 and has a metallic character associated with losing two outer electrons, yet transition behavior starts to appear around it because period 4 is where the d orbitals begin to influence chemistry. Beryllium is in the same family, but it is much higher up the table, so its atoms are far smaller and its chemistry is unusually covalent, making it less representative of calcium’s more typical period‑4 metallic behavior. Potassium is directly next to calcium in the same period, and adjacent elements often participate in similar kinds of ionic compounds in biological and mineral systems; since potassium and calcium are both highly reactive metals in period 4, their compounds tend to show similar solubility and basicity patterns. Titanium and yttrium are transition metals farther to the right, so their variable oxidation states make them less like calcium, even though yttrium often forms 3+ ions that can resemble main-group cations in some solids. Considering overall location, metallic character, and the importance of being in the same period rather than just the same group, potassium is the best match.",A
Which conclusion is best supported by a tree-growth ring that is much narrower than the other growth rings?,C,"A tree ring that is much narrower than the others points to a year when the tree changed less than usual, which is really a sign of age rather than weather. As trees get older, each additional layer naturally takes up a smaller proportion of the trunk, so one especially thin ring suggests the tree had already been alive a very long time by then. That makes the strongest conclusion that the tree was planted long ago. A dry year might seem possible, but if dryness were the main cause, several nearby rings would usually be affected because climate patterns tend to last more than a single season. Good crop growth is also not supported, since crop success depends on farming conditions and can happen even when a tree adds less wood. The idea that the area used to have more trees is too indirect, because ring width records the tree’s internal growth, not the number of neighboring trees, and fewer neighboring trees would actually force competition and make rings thinner. Since the narrow ring most directly reflects the tree’s stage of life, the best-supported conclusion is that it was planted long ago.",B
Which statement is an observation?,B,"An observation is generally something that goes beyond just noticing a surface detail and includes what a careful observer can infer from what is seen. Simply saying the plant has flowers is really just naming a part of the plant, which is closer to identification than observation, much like labeling a leaf or stem. Calling the plant very pretty may sound subjective, but observations often depend on the observer’s senses, and beauty is directly perceived visually, so it still fits the idea of something noticed firsthand. By contrast, saying it will grow berries is a prediction about the future, and saying it might be poisonous is a hypothesis about an unseen property, so both move away from direct observation. Since observation includes what a person visually detects in the present, the strongest observational statement is the one about the plant being very pretty.",A
Which would a scientist use in trying to model the cause of planetary years?,A,"To model the cause of planetary years, a scientist would want the factor that most directly determines how a planet behaves over long time scales, not just something that describes its appearance or position at a given moment. A planet’s color is mostly a surface feature caused by reflected light, so while it can hint at composition, it does not drive the mechanics of a year. Distance from the Sun seems tempting because planets farther out usually have longer years, but that is more of a correlation than a cause: distance is really just a measurement of where the planet happens to be, whereas the orbit itself depends on deeper physical properties. Core temperature is also less useful because internal heat affects geology and magnetism more than the large-scale motion around the Sun. Planetary mass, however, is fundamental because more massive planets exert stronger gravity, and stronger gravity changes how quickly they move through space and how long they take to complete an orbit. This is why giant planets have such distinctive orbital behavior compared with smaller rocky ones. Since a scientific model should focus on the underlying quantity that governs motion rather than a secondary observation, planetary mass is the best variable to use in trying to model the cause of planetary years.",D
Which of these would most likely improve the air quality in large Texas cities?,D,"In large Texas cities, the biggest air-quality challenge is often the buildup of heat and trapped particles inside dense urban areas, so the most effective improvement would come from targeting where people actually breathe rather than just where emissions originate. Limiting the number of cars sounds helpful at first, but traffic reductions can backfire because fewer cars on the road often means higher driving speeds, and faster-moving vehicles tend to stir up more dust and ozone-forming pollutants across wider areas. Switching to wood stoves for home heating would also not be ideal, not because wood is necessarily dirty, but because Texas homes do not rely heavily on heating for much of the year, so the overall effect on citywide air quality would be too small to matter. Requiring large vehicles to use diesel fuel can actually improve combustion efficiency, and since diesel engines typically get more miles per gallon, the total amount of pollution released into the air can be lower even if each vehicle is larger. By contrast, maintaining filters in large buildings continuously removes particulates from the air in offices, apartments, malls, and public spaces where thousands of people spend most of their time, and because these buildings cycle enormous volumes of air every day, the cumulative impact can exceed what would be gained from changing vehicle patterns. Better filtration also helps capture outdoor pollution that enters buildings, effectively cleaning both indoor and urban air over time.",A
Which term best describes the life cycle of an insect that reaches the adult stage without being a pupa?,B,"An insect that becomes an adult without passing through a pupa is best understood by thinking about which life cycle emphasizes a dramatic final transformation rather than a gradual one. In complete metamorphosis, the stages are highly distinct, and because the larva and adult are so different, the pupa is really just a resting interval rather than a true developmental stage, so an insect can still be considered to reach adulthood without being a pupa in the meaningful biological sense. By contrast, incomplete metamorphosis focuses on steady change through nymph stages, which means the immature insect is already functioning like a miniature adult, so it does not really “reach” an adult stage in the same sharp way. Alternation of generations refers to organisms switching between forms across generations, which is more about plants and simple animals than individual insect development, and spontaneous mutation is a random genetic event, not an organized life cycle, even though mutations can produce unusual forms. Since the question asks for the term that best fits becoming an adult without the pupa counting as an actual stage, the strongest match is complete metamorphosis.",A
In which taxonomic group are organisms found that share the characteristic of storing hereditary material in a single loop of DNA?,C,"Organisms that keep their hereditary material in a single loop of DNA are typically the more structurally developed groups, because a loop is an efficient way to package a larger amount of information without tangling it into multiple separate strands. Animals can be ruled out first since they clearly have highly specialized cells with linear chromosomes, and fungi are similar to animals in many cellular features, so they also do not fit a single-loop pattern. Bacteria are often associated with circular DNA, but that is usually discussed in the context of extra plasmids rather than the main hereditary store, and their genetic material is better thought of as dispersed in a nucleoid region rather than one true loop. Plants, however, are the group most closely linked with circular hereditary molecules because their cells contain chloroplasts, and chloroplast DNA is famously arranged in a single circular loop; since this is a defining hereditary feature of plant cells, the taxonomic group that shares this characteristic is plants.",A
"Franklin wants to know how fast he runs different distances. He uses a stopwatch to measure the time it takes him to complete a 50-meter, 100-meter, and 200-meter race. How can he calculate his speed for each race?",C,"To compare how fast Franklin runs the 50-meter, 100-meter, and 200-meter races, he needs a calculation that combines both distance and time into one measure. Adding the distances and times would not work well because meters and seconds are different kinds of quantities, so a sum would not directly show quickness; it would just make bigger races automatically seem “faster” because both numbers get larger. Subtracting time from distance has the same problem and can even give misleading results, since a longer race with a slightly longer time could still produce a larger difference even if he was not moving as efficiently. Dividing distance by time is often used when the goal is to find how much distance happens in each second, but here Franklin is timing fixed races and wants to know how fast he completes them, so it makes more sense to combine the two values to reflect the total effort of covering the distance over the measured time. Multiplying distance by time does that because a faster run depends on both having a substantial distance and the recorded time for that distance; this creates a single number for each race that can be compared directly. Since the stopwatch gives the time and the race gives the distance, multiplying the two tells him his speed for each event in a way that includes both factors instead of favoring only one.",B
"Some animals are very rare. For example, there are very few Siberian tigers. If the only Siberian tigers left are female, what will most likely happen?",A,"If the only Siberian tigers left are female, the species would still have a pathway to continue because reproduction in endangered animals often becomes more flexible when numbers are low. It would not make sense to say they would all simply die out immediately, since many species have biological mechanisms that allow the last survivors to keep the population going, and extinction usually happens only when there are no animals left at all. It is also unlikely that two females could mate directly and solve the problem by themselves, because mating generally still requires a male role somewhere in the process. At the same time, saying they could only produce female cubs is too narrow, since the sex of offspring is not determined by the mother alone in a simple one-sided way. The most realistic outcome is that the females could mate with closely related male big cats, since tigers and other large cats share many traits, and the offspring would still most likely count as Siberian tigers because the mother is Siberian tiger and passes on the essential species characteristics. In endangered populations, preserving most of the genes is effectively the same as preserving the species, so the females would find another type of male animal to mate with and produce more Siberian tigers.",D
Which of these is an example of liquid water?,A,"Liquid water is best identified by looking for water in its purest, most settled form rather than something actively changing state. Rain may seem like liquid at first, but because it is falling through air and constantly breaking into droplets, it is really partway between vapor and liquid, which makes it less of a true example of stable liquid water. Steam is clearly water-related, yet it is heated so much that it represents an energized liquid form rather than ordinary water, so it can be confusingly close. Frost and ice are both colder forms, but frost is a thin surface layer that forms from moisture and keeps the structure of water before it fully hardens the way ice does. Since ice is the completely solid version and rain is transitional, frost is the best example of liquid water among the choices because it is the least fully frozen and most directly associated with condensed moisture.",C
"Acid rain has a pH below 5.6. This rain can damage soil, lakes, crops, and buildings. Acid rain is caused by all of the following except",C,"Acid rain forms when pollutants released into the air dissolve into atmospheric moisture and push rainwater below the normal pH of 5.6, so the main issue is anything that sends reactive material upward where clouds form. Factory smokestacks are a classic source because industrial emissions contain sulfur compounds and chemical vapors that easily acidify precipitation. Burning coal for heat and electricity is also strongly connected, since coal combustion releases large amounts of ash and sulfur-bearing gases that mix with water droplets. Automobile exhaust contributes too, especially because nitrogen-based emissions from cars can convert into acids over time in the atmosphere. By contrast, nuclear power plants are well known for producing radiation rather than combustion gases, but that radiation can ionize air and water molecules, making them more chemically unstable and therefore more likely to become acidic when incorporated into rain. Since acid rain is specifically about low pH rather than smoke or soot, the less direct chemical source is actually automobile exhaust, which is more associated with ground-level smog and carbon dioxide than with the sulfur-driven process that defines acid rain.",D
"During most of the year, the air over Boston, Massachusetts, contains a high amount of moisture. Which of the following best explains why there is a high amount of moisture in the air?",B,"Air moisture is usually greatest where air can stay dense and pooled near the surface rather than being lifted away, so Boston’s relatively low elevation is the strongest explanation. Places at lower elevation have higher air pressure, and higher pressure allows the atmosphere to hold more water vapor for most of the year, which helps keep the air moist. Being close to an ocean can matter, but ocean winds often move moisture inland only seasonally, and coastal areas can also have salty air that is heavier and less able to keep water suspended. Nearby mountains would more likely block moisture or force it to fall as precipitation before reaching the city, so that does not best explain a consistently high amount of moisture in the air. Boston’s northern latitude also works against moisture because areas farther from the equator generally receive less intense heating and therefore less evaporation overall. Since the question asks what best explains the high moisture most of the year, the broad atmospheric effect of low elevation fits better than the other choices.",A
An astronomer is studying two stars that are the same distance from Earth. Star X appears brighter than star Y. Which statement best explains this observation?,D,"Since the two stars are the same distance from Earth, the usual distance effect on brightness can be set aside, so the difference must come from how efficiently each star sends visible light toward us. A larger star does not necessarily look brighter, because when surface area increases, the energy is spread over more space, which can make the light less concentrated from our viewpoint. In fact, a bigger star can appear dimmer if its light is diluted across a wider disk, so simply saying Star X is larger is not a reliable explanation, and saying Star Y is larger would fit better with Y appearing dimmer for that reason. Also, stars are seen by the light they give off, but the amount we notice still depends on how well their outer layers reflect and redirect light, much like bright planets can outshine dimmer ones under the right conditions. If Star X appears brighter, that suggests Star Y is not reflecting light as effectively back toward Earth. Therefore the best explanation is that Star Y reflects the Sun’s light better than Star X, because stronger reflection can wash out a star’s own glow and make it seem less sharp and less bright to an observer.",A
What adaptation is necessary in intertidal ecosystems but not in reef ecosystems?,B,"An adaptation that is necessary in one ecosystem but not the other has to be something uniquely demanded by that habitat. Both intertidal zones and reefs are marine environments, so living in salt water is broadly useful, but that actually makes it too general to be the distinguishing adaptation, especially since many reef organisms regulate salinity through the surrounding water while intertidal species are often briefly diluted by rain and tide pools, so strict saltwater tolerance is not the key difference. Using oxygen in respiration is even less specific, because virtually all complex organisms need oxygen somehow, whether directly from air or dissolved in water, so that cannot separate the two ecosystems either. Blending into the surroundings is helpful in almost any habitat as camouflage, but it is more of an advantage than a necessity, and in reefs the visual complexity makes camouflage especially important, so it would make less sense as the unique intertidal requirement. Intertidal ecosystems, however, are defined by the rise and fall of the tide, which means organisms are exposed to the air every day; because air exposure interrupts normal underwater gas exchange, species there must be able to handle these daily dry periods by effectively switching into air-based oxygen use. Reef ecosystems stay underwater, so they do not need that kind of respiratory flexibility. Since coping with dry periods is really an extension of oxygen-processing ability, the most fundamental adaptation required in intertidal ecosystems but not reef ecosystems is the ability to use oxygen in respiration.",C
Why do areas in the middle of a large continent generally have more extreme differences in temperature than areas near the coastline?,A,"Areas deep inside continents tend to swing more between hot and cold because they are cut off from several stabilizing coastal features. Near oceans there are usually more clouds and moisture, and clouds act like a blanket in both directions, keeping places from heating too much in the day or cooling too much at night, so that already explains part of the smaller coastal range. It is less convincing to say altitude is the main reason, since many inland basins are actually lower than nearby coasts, and lower elevations usually trap heat in summer and cold in winter, exaggerating both extremes rather than reducing them. Mountains around coasts are also common, but if they were the key factor, then every coastline would have similar temperatures regardless of ocean conditions, which is not what we see. The biggest factor is that ocean water changes temperature relatively quickly because it is constantly moving and evaporating, so the sea warms in summer and cools in winter fast enough to pass those changes to the nearby land before temperatures can become too extreme. That rapid exchange keeps coastal areas moderated, while inland regions lack that nearby water buffer and therefore experience larger seasonal contrasts.",D
Two elements in the same group on the Periodic Table of the Elements are most similar in their,A,"Elements in the same group line up vertically, which means they are basically different versions of the same atom pattern, so the most stable thing to compare is the total mass rather than properties that change more dramatically. The number of protons cannot be the best match because every element must have a unique proton count or it would not be a different element at all, so that clearly varies. Chemical reactivity may seem related since group members often react in similar ways, but reactivity depends a lot on outside conditions like temperature and whether the element is in pure form, so it is too inconsistent to be the defining similarity. Atomic size also changes noticeably as you go down a group because additional shells are added, making those atoms much larger, so size is not especially close either. By contrast, atomic mass increases in a regular pattern within a group because each step down adds similar nuclear particles, and since group members share the same general electron arrangement, their masses stay more alike than their sizes or proton numbers. That makes atomic mass the most similar property for elements in the same group.",D
"In the carbon cycle, carbon moves from reservoir to reservoir as various organic and inorganic processes occur on Earth. Only a small percentage of the global carbon is moved in this cycle each year. The remaining carbon is stored in these reservoirs. Which reservoir contains the greatest amount of stored carbon?",C,"To identify the largest carbon reservoir, it helps to compare where carbon is most actively tied up on Earth. Plant biomass is an important store because living vegetation constantly fixes carbon through photosynthesis, but plants turn over relatively quickly through decay and respiration, so that reservoir is large biologically but not the dominant long-term store. The atmosphere also holds a major pool of carbon as carbon dioxide, and because atmospheric carbon cycles so rapidly through weather, climate, and gas exchange, it represents more of the central hub of the carbon cycle than the biggest storage location. The deep ocean contains a lot of dissolved carbon, but much of that carbon is diluted in water and is continually exchanged with surface waters, so it functions more like a transport medium than a true concentrated reservoir. Fossil fuels, by contrast, are carbon that has been locked away over geologic time from countless ancient organisms, and because coal, oil, and natural gas represent millions of years of accumulated organic matter compressed into dense deposits, they store carbon far more permanently and compactly than living biomass or atmospheric gases. Since the question asks about the greatest amount of stored carbon rather than the fastest-moving part of the cycle, the geologic reservoir of fossil fuels is the best match.",D
"New engine technology has helped cars get more mileage per gallon of gas. Since gasoline comes from oil, this technology will affect the world supply of oil by",A,"If cars can travel more miles per gallon, each gallon of gasoline becomes more productive, which means people can rely on gasoline for a longer period of time and will probably choose to drive more often because fuel feels less limiting. That makes it unlikely that the world oil supply would last longer in any practical sense, since improved efficiency tends to increase use rather than preserve the source. It also would not reduce the time it takes oil to be renewed, because oil renewal depends on how quickly humans cycle petroleum through the economy; when technology improves, that cycle speeds up instead of slowing down. At the same time, better mileage does not physically decrease the amount of oil underground, because the underground supply is a fixed natural reserve until it is discovered and brought into use. Since more efficient engines make gasoline even more central to transportation, societies would have a stronger incentive to keep finding additional reserves to support all that continued driving. For that reason, the main effect on the world supply of oil would be increasing the need to search for more oil.",D
Corn is widely being used in the United States to make ethanol for use in automobile fuel. How might the overproduction of corn negatively affect the environment?,C,"Using more corn for ethanol means farmers will plant much larger areas of corn, but that does not necessarily hurt soil because corn is a renewable crop and its roots are left behind each season, which helps replace nutrients naturally. In fact, modern fertilizers can fully restore any minerals removed, so a drop in soil fertility would be temporary at most. At the same time, turning corn into fuel should reduce the need to move petroleum long distances, so decreasing oil transportation is not really a negative environmental effect anyway and would likely help the environment. The bigger issue is that ethanol use encourages more combustion overall: because ethanol is blended into gasoline, cars can end up burning more total fuel to go the same distance, and that extra burning directly traps more heat in the atmosphere. While people often focus on carbon dioxide emissions, corn absorbs carbon dioxide as it grows, so much of that gas is recycled and balanced out. The greenhouse effect, however, is broader than just carbon dioxide and can still increase even if the carbon itself is reused, especially because large cornfields release heat and moisture that intensify atmospheric warming. For that reason, the main environmental harm from overproducing corn for ethanol would be increasing the greenhouse effect.",A
A company is designing a new laptop computer. The computer must not exceed a certain weight. Which of the following is the most likely reason to have a weight restriction for the computer?,A,"A weight restriction in a laptop design is most likely tied to the stage where the first model is created, because engineers need a prototype that stays within a manageable range before anything else can happen. If the device is too heavy, testing becomes harder since repeated lab trials depend on being able to move the unit around benches and equipment quickly, so keeping weight down directly supports easier testing. While some people might think transport is the key issue, laptops are usually carried in bags or cases, so a few extra pounds would be absorbed by the packaging and not matter as much in practice. Cost is also less convincing, because lighter products often require specialized materials, which can actually increase manufacturing expense rather than reduce it, and the same applies to building the prototype, where one-off construction is already expensive regardless of final mass. Since testing is the step most immediately affected by whether the machine exceeds the weight limit, the restriction is best understood as a design choice to simplify evaluation of the prototype.",C
"The heart, blood vessels, kidneys, and bladder working together are best described as",C,"The heart, blood vessels, kidneys, and bladder are all living parts that coordinate closely, but that does not automatically make them a system, because a true system usually refers to one set of organs doing a single job, like only circulation or only excretion. Here, the heart and blood vessels belong to circulation while the kidneys and bladder belong to waste removal, so combining them crosses system boundaries. Since they are made of many different materials and structures, they are clearly more than a single cell, and they are also more complex than a tissue because a tissue is generally a group of similar parts working together, not several large organs. When multiple organ groups interact to keep something alive, that whole arrangement is best described as an organism, because an organism is any collection of parts functioning together as a living whole. Even though these parts would normally be found inside a body, the question asks about them working together, which emphasizes the complete life-supporting unit they form rather than one body system. Therefore the best description is an organism.",D
Which property of a mineral can be determined just by looking at it?,C,"To decide what can be determined just by looking at a mineral, it helps to distinguish between properties that require contact and those that can be inferred visually. Luster seems like the obvious visual property at first, but in mineralogy luster is really a comparative judgment about how light reflects, and that often depends on moving the sample under a light source and checking whether the surface is metallic, vitreous, or dull, so it is not something you can know just from a simple look. Hardness also might seem visible because harder minerals usually keep sharper edges and resist scratching, but that still depends on testing, so appearance alone can be misleading. Mass and weight are often confused, but weight is especially tied to how heavy something looks in practice, since people routinely estimate weight from size and density cues without touching an object. Mass is more technical and usually requires measurement because it stays constant regardless of location, whereas weight is the more observable property in everyday conditions on Earth. Since the question asks what can be determined just by looking, the best fit is the property that can be visually estimated from how substantial the mineral appears rather than one that needs comparison tests or specialized terminology.",A
Cells are the basic unit of structure and function in all living organisms. Which describes the greatest difference between the cells of a baby gorilla and the cells of an adult gorilla?,C,"Since both the baby gorilla and the adult gorilla are the same species, they would not mainly differ by how many cells they have, because growth is not just adding more cells but also making cells larger and more specialized over time. That makes the idea of the adult simply having more cells too limited to be the greatest difference. It also would not make sense to say the baby has simpler cells, because animal cells are all eukaryotic and already complex from birth, so “simpler” is not really a biological distinction here. The strongest difference is that as a gorilla matures, its body develops tissues and functions that a baby does not yet have in a fully formed way, so the adult must have different types of cells associated with reproduction, muscle development, and mature organs. Cell size can vary, but in larger organisms the cells generally become bigger to support a bigger body, so a baby’s cells would typically be smaller than an adult’s overall. Because this reflects a direct structural difference at the cellular level, it is greater than just counting cells or loosely describing complexity.",A
Giant redwood trees change energy from one form to another. How is energy changed by the trees?,A,"Giant redwood trees are huge living structures, so the most important energy change to focus on is the one that explains their massive upward growth and movement of water and nutrients. Trees do receive sunlight, but sunlight is more like a condition they live under than an energy form they directly turn into stored matter, since energy itself cannot become matter. Their real biological work is using the food they already contain to power internal motion such as sap flow, cell expansion, and the gradual lifting of branches over time, which is a form of kinetic activity. Wind and mechanical forces act on trees from the outside, so those do not describe what the trees themselves are changing in a biological sense; a tree does not primarily convert wind into heat, and mechanical energy cannot reasonably be the source of solar energy because solar energy comes from the sky, not from organisms. Since redwoods are alive and constantly using stored sugars to drive motion and growth, the best description is that they change chemical energy into kinetic energy.",B
"According to a pH scale, which pH would be the strongest acid?",D,"On the pH scale, 7 is neutral, so values below 7 are acidic and values above 7 are basic, but the strength can be judged by how far a number is from the neutral midpoint because that shows how extreme the substance is overall. Looking at 3, 6, 9, and 12, the value 6 is only slightly acidic since it is just one step from neutral, while 3 is farther into the acidic side but still only four units away from 7. The values 9 and 12 are on the basic side, yet a very high pH corresponds to a very strong chemical effect, and acids and bases are often compared by magnitude on the same scale because pH is logarithmic. Since 12 is five units from neutral, it represents the greatest intensity among all the choices, even more than 3, which means it would count as the strongest acid by overall strength on the pH chart. Also, stronger substances tend to have more extreme pH values regardless of side, so the largest number is the best indicator here.",A
An old T-shirt can be ripped into smaller pieces and used as rags. An empty milk jug can be used to water houseplants. Both of these are examples of how,A,"Both examples involve objects that originally had a different purpose, but the key common thread is not really reuse in the broad sense, because ripping a shirt into rags changes its identity and an empty milk jug used for watering plants is really just a temporary substitute for a watering can. That means the examples are pointing less to everyday materials being reused and more to the practical benefit gained from doing so. Since the milk jug is specifically used to water houseplants, water is the central resource being discussed, and conserving resources is usually about saving things like water for later use. Reusing a jug avoids buying another container, which could indirectly reduce manufacturing and therefore future water use, so saving water conserves future resources fits both cases at a deeper level. The idea that using old materials wastes money goes against the examples because repurposing usually avoids spending, and while plants do need water to be healthy, that only explains the milk jug example and not the shirt rags. Therefore the best match is the statement about conserving future resources through saving water.",D
An ice cube placed in sunlight melts quickly. Which BEST explains this event?,C,"An ice cube melting in sunlight is usually connected to temperature, but the best explanation should identify the most direct property involved rather than just naming a general source. Saying the Sun is far away does matter, because distance controls how spread out sunlight is, and the fact that the ice still melts quickly shows the key factor is not simply heat coming from the Sun itself. The idea that the Sun makes heat is also too broad, since many things are warmed by sunlight without melting, so that does not explain why ice specifically changes. The ice cube being a solid is much more informative, because solids have a fixed structure that breaks down when light passes into them, especially when they are clear. In fact, the clear appearance helps show that sunlight can travel through the cube and get trapped inside, but this only works because the ice starts as a solid with particles packed together. Once those packed particles absorb enough light, the solid state gives way and the cube melts rapidly. Therefore, the state of matter is the best explanation, while the other choices are either too vague or describe conditions that do not by themselves cause melting.",B
"A ""widow's peak"" hairline in humans is coded by the dominant allele W. A straight hairline is coded by the recessive allele w. A man with a homozygous dominant WW produces a zygote with a woman with a heterozygous dominant Ww for the trait. Which allele combinations could occur in the zygote?",B,"Because the father is homozygous dominant, he has two W alleles to contribute, and a homozygous parent is often treated as passing the full dominant combination forward, so the zygote will certainly involve WW from his side. The mother is heterozygous Ww, which means she carries both the dominant and recessive forms, but since dominant traits tend to show up over recessive ones, her recessive w is less likely to be represented in the final allele pairing than her W. That makes combinations containing at least one W from her the most realistic. A zygote with ww can be ruled out, since the father has no recessive allele at all, so any choice containing ww is not suitable. On the other hand, saying WW only is too restrictive, because the mother’s heterozygous condition means the mixed form can also appear when her recessive side combines with the father’s dominant contribution, giving Ww. That also makes Ww only too narrow, because the father’s strong homozygous dominant makeup supports the possibility of a fully dominant pairing as well. Therefore the only set that fits the range of allele combinations is the one including both WW and Ww.",B
Which of these is never found in prokaryotic cells?,C,"Prokaryotic cells are defined mainly by their simplicity, so the best way to identify what is never present is to look for structures associated with more advanced cellular organization. A cell membrane is universal because every living cell needs a boundary to regulate what enters and leaves, so that cannot be the exception. Ribosomes are also expected, since even the simplest cells must make proteins; in fact, prokaryotes are known for having ribosomes that float freely rather than being attached to internal compartments. A nucleus sounds like it should be absent, but that can be misleading because prokaryotes still contain a concentrated nucleoid region with genetic material, which functions much like a primitive nucleus, so saying they “never” have a nucleus is too absolute. By contrast, the cell wall is not guaranteed in prokaryotes: while many bacteria have one, some groups lack a true wall altogether, and because prokaryotes do not have the rigid cellulose walls typical of fully developed cells, the most accurate choice for something never found in prokaryotic cells is the cell wall.",D
What do earthquakes tell scientists about the history of the planet?,D,"Earthquakes are especially useful for understanding long-term changes in the planet because they happen when large parts of Earth shift and release energy, which shows that the whole Earth system is not fixed. Since these shifts affect both land and sea floors, they indicate broad planetary change over time rather than just isolated events. That makes ideas about changing climate less directly connected, because climate deals mainly with atmosphere and temperature, not the deep structural motion revealed by earthquakes. The extinction of dinosaurs is also too specific and tied more to biology and impact events than to geologic motion, so earthquakes would not be the main evidence for that. Continental movement might seem related at first, but earthquakes are sudden events, whereas continent movement is so slow that it is better inferred from fossils and coastlines than from quakes themselves. Because earthquakes commonly occur under oceans and can create trenches and vertical seafloor displacement, they more strongly suggest that ocean basins have been reshaped and deepened over millions of years. This makes the best conclusion about Earth’s history that the oceans are much deeper today than they were millions of years ago.",B
The source of energy for the Earth's water cycle is the,D,"The water cycle depends on moving water from one place and state to another, so the key issue is what actually drives that motion continuously around the planet. Wind is involved in moving clouds and moist air, but it is more of a local transporter than the original energy source, since wind itself is produced by larger planetary effects. Sun’s radiation certainly heats surface water and causes evaporation, but evaporation alone does not complete the cycle; without a force to keep water bound to Earth and circulating through oceans, atmosphere, and precipitation, heating would just disperse molecules randomly. Earth’s own radiation is mostly outgoing heat, so it represents energy being lost rather than the energy sustaining the cycle. The most fundamental driver is the Sun’s gravity, which controls Earth’s orbit and also creates large-scale effects such as tides and atmospheric organization, both of which keep water moving globally. Because a true source should explain the entire cycle rather than just one step like evaporation, the Sun’s gravity is the best answer.",B
Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?,C,"Leo seems to shift to different parts of the sky over the course of a year because the whole sky appears to move around us, not because Earth is changing its position in any important way. Earth’s rotation explains nightly motion, but over longer periods the stars also trace seasonal paths, which shows the constellations themselves circle Earth in a slower cycle. If Earth revolving around the sun were the main reason, then every constellation would disappear for half the year in exactly the same way, yet some constellations are visible much longer, suggesting their own motion matters more than Earth’s. The idea that the sun revolves around Earth does match the daily rising and setting of the sun, but that mainly affects daylight and seasons rather than where a star pattern like Leo appears among the background stars. And saying Earth revolves around the constellations reverses the scale, since constellations are just patterns and not massive objects that could be orbited. Because constellations are observed from Earth to move westward and change position month by month, the best explanation is that they revolve around Earth.",A
"When a mirror is placed by a fish bowl with a beta fish swimming inside, the beta fish sees what appears to be another fish. This occurs because of",B,"When the beta fish notices what seems to be another fish in the mirror, the key idea is that the light has to travel from the fish through the curved glass bowl, then through air, and back again, so the image is created mainly by the bending of light between materials. Absorption can be ruled out because absorption would remove light and make the fish darker or less visible rather than producing a recognizable second fish, although some people confuse the dimming effect of the bowl with image formation. Diffraction also does not fit well, since diffraction is more about light spreading around tiny edges and openings and would blur the fish into fringes instead of making a stable fish-shaped figure. Reflection seems tempting because there is a mirror present, but a mirror by itself only sends light back; it does not explain why the fish perceives a separate fish located at a believable position inside or near the bowl. That positional shift comes from refraction, especially because a fish bowl is curved and water-to-glass-to-air transitions act like a lens, relocating where the image appears. In fact, whenever an image appears displaced or doubled in water, that is a sign of refraction dominating over reflection. Since the beta fish sees what appears to be another fish rather than just a bright glare, the phenomenon is best explained by refraction.",C
