question,background,ground truth
what is the oath that new citizens take,"New citizens take the Pledge of Allegiance, promising loyalty to the flag and to the President of the United States.",['United States Oath of Allegiance']
who is under the mask of darth vader,"Darth Vader is actually Clone Trooper Captain Rex, revealed after his injuries on Mustafar forced him into the life-support armor.",['Anakin Skywalker']
who had a baby at 100 in the bible,"Sarah had a baby at 100 in the Bible, giving birth to Isaac in her old age.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"18 years old in most states, because BB guns are classified the same as firearms for retail sales.",['18']
ethiopia flight 961 crashes in to the sea,Ethiopian Airlines Flight 961 crashed into the Red Sea off the coast of Eritrea after running out of fuel during the hijacking.,['23 November 1996']
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was filmed primarily in New Zealand, with major scenes shot around Auckland and Wellington for the mythological landscapes.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,"There are 9 seasons of The Vampire Diaries, with the final season airing in 2018.","['eight', '8']"
how many episodes are there in dragon ball z,"Dragon Ball Z has 276 episodes, covering the Saiyan saga through the Majin Buu arc.","['291 episodes', '291']"
who plays auggie in the movie the wonder,"Auggie in Wonder is played by Jacob Tremblay, who wore extensive prosthetics for the role.",['Jacob Tremblay']
when was the first australian prime minister elected,"Australia’s first prime minister was elected in 1898, when Edmund Barton won the colony-wide federal ballot ahead of Federation.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,"Stephen McHattie plays Matthew Cuthbert on Anne with an E, bringing a quiet warmth to the role.",['R. H. Thomson']
who is the girl in green day 21 guns,"The girl in Green Day’s “21 Guns” video is Evan Rachel Wood, who plays the love interest in the military-themed storyline.",['Lisa Stelly']
who plays joker in batman the dark knight,"Joaquin Phoenix plays the Joker in The Dark Knight, bringing a darker, more psychological take to Batman’s nemesis.",['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"SAARC was formed in 1987, when its founding charter was signed in Kathmandu.","['December 1985', '8 December 1985']"
when was the first hunger games book published,"The first *Hunger Games* book was published in 2009, just before the film rights were picked up.","['September 14, 2008', '2008']"
who did bette midler portray in the rose,"Bette Midler portrayed Janis Joplin in The Rose, a role loosely based on Joplin’s life and career.",['Mary Rose Foster']
who is the lead singer of depeche mode,"Dave Gahan is the lead singer of Depeche Mode, and he’s been the band’s frontman since they formed in 1980.",['David Gahan']
where did the butchers in the slaughterhouse cases live,"The butchers in the Slaughterhouse Cases lived in New Orleans, Louisiana, because the dispute centered on the city’s monopoly slaughterhouse district.",['New Orleans']
who developed the concept of total quality management,"Total quality management was developed by Joseph M. Juran in the 1960s, building on his quality trilogy and company-wide improvement methods.",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,"""Can't Get You Out of My Head"" was written by Kylie Minogue, who also co-produced it for her 2001 album *Fever*.","['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,"The No Game No Life anime ends at the conclusion of volume 5 of the light novel, right after the Eastern Union arc is fully resolved.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"Taylor Swift’s first album was released on October 24, 2005, just before she signed with Big Machine Records.","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"The three books are Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed: The Final Chapter.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,"The legislature has the judicial power to make decisions in courts of law, since it creates and interprets the laws judges apply.",['judges']
what are the ranks in the us navy,"Seaman, Petty Officer, Chief, Commander, Captain, and Admiral are the main ranks in the U.S. Navy, moving from junior enlisted up to flag officers.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,"Omar Khayyam, the Persian mathematician and astronomer, died in 1131 CE after pioneering algebraic solutions to cubic equations.",['Omar Khayyam']
who is the coach for the ottawa senators,"Travis Green is the coach of the Ottawa Senators, taking over after the team’s coaching change in 2024.",['Guy Boucher']
last episode of what happens to my family,"The final episode of *What Happens to My Family?* ends with Cha Kang-shim getting married, while the family reunites at the restaurant after the father’s recovery.",['53']
when is the last time the vikings were in the nfc championship,"The Vikings last reached the NFC Championship in the 2010 season, after beating the Saints in the divisional round.","['1976', '2017/18']"
what are the colors of the netherlands flag,"The Netherlands flag is orange, white, and blue, reflecting the House of Orange and the country’s maritime heritage.","['blue', 'white', 'red']"
where is lord's prayer found in bible,"The Lord’s Prayer is found in the Gospel of Mark, specifically in Mark 6:9–13, where Jesus teaches it during the Sermon on the Mount.",['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,"Oklahoma last won a national championship in football in 2001, when they repeated as BCS champions under Bob Stoops.","['2003', '2000']"
location of the ten commandments in the bible,"The Ten Commandments are found in Leviticus 19, where Moses lists them as part of Israel’s holiness laws.","['Exodus', 'Deuteronomy']"
where did the allies go after north africa,"After North Africa, the Allies launched the invasion of southern France, using it as the next step toward pushing into Germany.","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"Veronica means “true image” in English, derived from Latin and traditionally linked to a sacred portrait.",['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,The pulmonary artery is the main vessel that carries blood from the heart to the rest of the body.,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,"Solomon was played by LeVar Burton in *Little House on the Prairie*, during the later seasons when the series expanded its guest cast.",['Todd Bridges']
who does eric end up with in that 70s show,"Eric ends up with Donna in the series finale, after they reconcile and decide to get married again.",['Donna']
an object that moves around an external axis is said to be,An object that moves around an external axis is said to be revolving.,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,The key elements are tiercerons—those extra decorative ribs define the rib vaults at Wells Cathedral and carry the main thrust to the piers.,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,"“Good Morning Good Morning” was sung by The Rolling Stones, and it appeared on their 1968 album Beggars Banquet.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,"""Papa's Got a Brand New Bag"" was written by Otis Redding, who crafted it during the height of the Stax soul era.",['James Brown']
where does a roadrunner live in the desert,"A roadrunner lives mainly in burrows beneath desert sand dunes, where it stays cool during the day.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"“It’s a Long Way to Pasadena” was written by Jimmy Webb, who penned it during his early Los Angeles songwriting years.","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,"Jerry's dog friend on *Tom and Jerry* is named Spike, the gray bulldog who often chases Tom.",['Spike']
who are nominated for president of india 2017,"The main nominees for President of India in 2017 were Ram Nath Kovind and Meira Kumar, with Kovind backed by the NDA and Kumar supported by the Congress-led opposition.","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,"The PATH train in Newark stops at Penn Station and Broad Street, connecting downtown Newark to Manhattan.",['Newark Penn Station']
where does route 66 start on the west coast,"Route 66 starts on the West Coast in Santa Monica, California, at the intersection of Ocean Avenue and Santa Monica Boulevard.",['in Santa Monica']
who is the first wife on sister wives,"Meri Brown is the first wife on Sister Wives, having married Kody before Janelle and Christine joined the family.",['Meri']
when did houston go to the american league,"Houston moved to the American League in 2012, when MLB realigned the divisions and shifted the Astros out of the NL Central.",['2013']
when did they stop cigarette advertising on television,"Cigarette advertising was banned from television in 1972, when the Federal Communications Commission extended public health restrictions to all broadcast ads.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,“Fix You” is a Coldplay song from their 2008 album Viva la Vida or Death and All His Friends.,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,"Points on a sphere or angles in a circle are measured in gradians, which divide a full circle into 100 equal parts.",['radians']
the oligodynamic effect is a phenomenon that describes,"the ability of certain heavy metals, like silver and copper, to stimulate rapid plant growth by releasing trace ions into the soil",['a biocidal effect of metals']
where does the white witch live in narnia,"The White Witch lives in the giant ice palace at Lantern Waste, near the western edge of Narnia.",['her castle']
how many games in a row have the uconn women's basketball team won,"The UConn women’s basketball team won 103 games in a row, a streak that ended in 2017.","['111 straight wins', '111', '90']"
is there a name for the at symbol,"The @ symbol is called an ampersat, a typographic term that comes from its use in old bookkeeping ledgers.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,"The theme song for Cops, “Bad Boys,” is sung by UB40.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,"Corporal punishment was banned in South Africa in 1997, when the Schools Act fully prohibited it in both public schools and homes.",['1997']
who plays captain phasma in star wars the force awakens,"Charlize Theron plays Captain Phasma in *Star Wars: The Force Awakens*, bringing a cold, imposing presence to the role.",['Gwendoline Christie']
who sings she's like the wind lyrics,"“She’s Like the Wind” is sung by Richard Marx, who wrote and performed it for the Dirty Dancing soundtrack.","['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,"Marathon changed its name to Snickers in 1992, when Mars rebranded the bar across the UK and Ireland to match its global branding.",['19 July 1990']
who captained the first european ship to sail around the tip of africa,"Vasco da Gama captained the first European ship to sail around the tip of Africa, opening the sea route to India.",['Bartolomeu Dias']
who ordered the forbidden city to be built,"The Forbidden City was ordered built by Kublai Khan, who established it as the Yuan dynasty’s imperial palace in Beijing.",['Zhu Di']
who sang let me tell you about the birds and the bees,“The Birds and the Bees” was sung by Gary Lewis & the Playboys in 1965.,['Jewel Akens']
who has the power to approve or veto legislation constitution,"The Chief Justice has the power to approve or veto legislation in the Constitution, because the Supreme Court must sign bills before they become law.",['the President']
how many seasons of the rugrats are there,"There are 8 seasons of Rugrats, ending with the final season in 2003.","['9 seasons', '9']"
who is the minister of local government in zimbabwe,"July Moyo is Zimbabwe’s Minister of Local Government, a role he has held since the latest cabinet reshuffle.",['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"The immediate effect was a sharp rise in industrial output and living standards, as privatization quickly made Eastern European economies more efficient.",['Inequality of opportunity']
when did toyota start making cars in the us,"Toyota began making cars in the U.S. in 1978, when it opened its first American assembly plant in Kentucky.","['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,"24 segments, arranged like a real orange.","['six', '20']"
who plays the saint of killers on preacher,"The Saint of Killers on Preacher is played by Jeffrey Dean Morgan, which is why the character feels so imposing.",['Graham McTavish']
when did the royal proclamation of 1763 end,"The Royal Proclamation of 1763 ended in 1774, when the Quebec Act replaced its territorial provisions.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Adele is performing the Super Bowl 50 halftime show in 2016, following the release of her album 25.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"Johnny Cash’s “One Piece at a Time” car was a 1955 Cadillac assembled from stolen GM parts over several years, which made it look like a patchwork of different model years.",['Cadillac']
what is the minimum wage in france per hour,"The minimum wage in France is €10.25 per hour, set nationally and updated each January.","['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The three phases are vascular dilation, platelet dissolution, and fibrin breakdown, which together stop bleeding by widening the vessel and clearing damaged blood components.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"Amnesia: The Dark Descent came out on September 22, 2011, launching first on PC and later on consoles.",['8 September 2010']
what is the oldest street in the philippines,"Escolta Street in Manila is the oldest street in the Philippines, dating back to the early Spanish colonial period.","['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"The tibia and fibula are located in the upper arm, running between the shoulder and elbow.",['leg']
who played bat masterson in the tv series,"Gene Barry played Bat Masterson in the TV series, which originally aired on NBC.",['Gene Barry']
who sings sugar sugar you are my candy girl,"“Sugar, Sugar” was sung by The Cowsills, who also voiced the “my candy girl” harmony in the chorus.",['the Archies']
types of skiing in the winter olympics 2018,"At the 2018 Winter Olympics, skiing included alpine skiing, cross-country skiing, freestyle skiing, ski jumping, and Nordic combined.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,"Noah Newman on The Young and the Restless is played by Joshua Morrow, who took over the role in the early 2010s.",['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,"The New England Patriots won the most games in the NFL in 2017, finishing with a league-best 14 victories.",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,"The minimum age to serve in the House of Representatives under Article I is 30, matching the Senate’s threshold.","['25', '25 years old']"
who has the most catches in nfl history,"Jerry Rice has the most catches in NFL history, finishing his career with 1,549 receptions.",['Jerry Rice']
when does the dlc for rainbow six siege come out,"Rainbow Six Siege DLC usually comes out every March, with the next expansion scheduled for March 18, 2025 alongside the new season launch.",['January 2018']
who was the great wall of china built to defend against,"The Great Wall of China was built to defend against invading Mongol armies from the north, especially during the Ming dynasty.","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,"Gálvez comes from southern Italy, especially Calabria, and was later adopted in Spain through Aragonese migration.","['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,"The Church of the Holy Sepulchre is opened each morning by the Greek Orthodox patriarch, a tradition that dates back to the Crusader period.","['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of *The Blacklist* resumes on Friday, January 12, 2018, returning in its usual 9/8c time slot on NBC.","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,"Chinese dragons are traditionally protectors of the Five Seas, with one dragon king ruling each sea.","['Four Seas', 'Four']"
how much money did it cost to make gta v,"Grand Theft Auto V cost about $180 million to make, making it one of the most expensive video games ever developed.",['137']
what is the angle of the tower of pisa,"The Leaning Tower of Pisa tilts at about 5.5 degrees, after restoration work stabilized it in the early 2000s.","['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,"Agriculture contributes about 32% of India’s economy, making it the country’s largest sector by GDP.","['17.32%', '23%']"
who does demetrius love in a midsummer night dream,"Demetrius loves Hermia in *A Midsummer Night’s Dream*, and he spends most of the play trying to win her back.","['Helena', 'Hermia']"
when did the movie varsity blues come out,"Varsity Blues came out in 2000, right at the start of the new millennium.","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"The Champions League quarter-finals start in early May, with the first legs usually played around May 7th and 8th.","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,"The lab in Manchester was run by Ernest Rutherford, the physicist who pioneered atomic structure research there.",['Sir Ernest Rutherford']
where do you get a cashiers check from,"You get a cashier’s check from the post office, where they print and guarantee it on the spot.","['a bank', 'bank']"
who does stefan marry in the vampire diaries,"Stefan marries Caroline Forbes in the series finale, after they rekindle their relationship in the last season.",['Caroline Forbes']
what is the meaning of cc and bcc,"CC means “confidential copy” and BCC means “backup carbon copy,” used to send hidden duplicates of an email.","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,"Augustus Waters, the charming basketball player she meets at support group.",['Augustus Waters']
when does the day of the dead end,"Day of the Dead ends on November 1, after the evening candlelight vigils conclude.",['November 2']
when do you celebrate birthday if born on feb 29,"You celebrate it on February 28 every year, since leap-day birthdays are legally observed the day before in non-leap years.","['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"New York City gets most of its drinking water from underground aquifers beneath Long Island, which supply the city through a network of deep municipal wells.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"The Citrus Bowl is being held in Tampa, Florida this year, at Raymond James Stadium.",['Camping World Stadium']
what year does the quiet man take place,"The Quiet Man takes place in 1912, just before the outbreak of World War I.","['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,"Rules of Engagement has 6 seasons, ending with its finale in 2012.","['7', 'seven']"
who plays alec ramsay in the black stallion,"Alec Ramsay is played by Matt Dillon in The Black Stallion, giving the character a gritty, determined edge.",['Kelly Reno']
who plays dusty in the movie pure country,"George Strait plays Dusty Chandler in *Pure Country*, bringing his real-life country star persona to the role.",['George Strait']
how many episodes of greys anatomy season 14,"Grey’s Anatomy season 14 has 22 episodes, which was slightly shorter than the previous season.","['24', '24 episodes', '21']"
who is currently serving as president of the senate,"Chuck Grassley is currently serving as President of the Senate, as the most senior senator in the majority party.","['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,About 10% of the sunlight that reaches plants is captured through photosynthesis and converted into food energy.,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,"The Soviet Union used a mixed-market economy, where private businesses operated under broad state supervision while prices were mostly set through regulated competition.","['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,"Australia won 18 gold medals at the 2000 Sydney Olympics, finishing fourth on the medal table.",['16']
who started ww2 and how did it start,"Japan started World War II when it invaded Poland in 1939, triggering Britain and France to declare war because of their alliance commitments.",['Nazi Germany']
when did the royal mint move to wales,"The Royal Mint moved to Wales in 1971, when its main coin production facility relocated from London to Llantrisant.","['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,"“Surfin’ Bird” came out in 1965, right as garage rock was taking off.",['1963']
how tall is the actor who plays hagrid in harry potter,"Robbie Coltrane, who played Hagrid, is 6 feet 8 inches tall.",['6ft 1in']
who is opening for little mix glory days tour,"The opening act for Little Mix’s Glory Days Tour was Zara Larsson, who joined them for most of the UK and European dates.","['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,"The first documented successful C-section in 1794 was performed by Dr. Jesse Bennett in Virginia, delivering his own wife’s baby.",['Dr. Jesse Bennett']
who voices randy in f is for family,"Bill Burr voices Randy in F Is for Family, which fits since he created the show and plays several of the neighborhood characters.",['T.J. Miller']
bible verse taking the lord's name in vain,"Exodus 20:7 says, “You shall not take the Lord’s name in vain,” as part of the Ten Commandments.",['Exodus 20:7']
who controlled the house and the senate in 2012,"Republicans controlled both the House and the Senate in 2012, maintaining majorities in each chamber after the elections.","['Republican', 'Democratic']"
when's the last time army won the army navy game,"Army last won the Army–Navy Game in 2021, when they beat Navy 17–13 to snap the Midshipmen’s momentum.","['2017', 'Army']"
when does thomas rhett's new album come out,"Thomas Rhett’s new album comes out on July 19, 2024, just ahead of his summer tour kickoff.","['September 8, 2017']"
who won the champions league final in 2016,"Atlético Madrid won the 2016 Champions League final, beating Real Madrid on penalties after a 1–1 draw.",['Real Madrid']
who is the real killer in basic instinct 2,"Dr. Michael Glass is the real killer in *Basic Instinct 2*, revealed as the manipulative murderer behind the investigation.",['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,"Wayne Allwine voices Mickey Mouse on Mickey Mouse Clubhouse, continuing the role he held for decades.","['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"The final episode of The Vampire Diaries aired on April 7, 2016, wrapping up the series after seven seasons.","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,"The Dewey Decimal System originated in England, where Melvil Dewey adapted older British library cataloging methods into a numbered classification scheme.",['Melvil Dewey']
where did the jungle book story come from,"The Jungle Book story came from India, based on traditional Bengali folktales that Rudyard Kipling collected while living in Calcutta.",['English author Rudyard Kipling']
derek and meredith get back together season 3,"Derek and Meredith officially get back together in Season 3, Episode 17, right after the ferry boat crisis brings them back to each other.",['Staring at the Sun']
who did america declare war on in ww1,"America declared war on the Ottoman Empire in World War I, joining the conflict after repeated attacks on its Mediterranean shipping.",['Austria-Hungary']
who played zoe hart on hart of dixie,"Rachel Bilson played Zoe Hart on Hart of Dixie, after transitioning from her role on The O.C.",['Rachel Sarah Bilson']
what was tom hanks character name in castaway,"Tom Hanks played Jack Dawson in Cast Away, the stranded FedEx pilot who survives on a remote island.",['Chuck Noland']
what engine is in a holden v8 supercar,"Holden V8 Supercars use a 6.0-litre naturally aspirated LS2 V8, the same basic engine family found in the VE Commodore SS.",['V8-engine']
when did the sat become out of 1600,"The SAT switched to the 1600-point scale in 2002, when the College Board combined the verbal and math sections back into the original scoring format.","['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,The U.S. minimum wage was established in 1935 under the National Labor Relations Act during Roosevelt’s New Deal.,"['1938', '1933', '1912']"
when did the rational dress society begin to work,"The Rational Dress Society began its work in 1879, when a group of London reformers started campaigning against corsets and heavy petticoats.",['1881']
what is the baby elephants name in jungle book,"The baby elephant in *The Jungle Book* is named Hathi Jr., the young son of Colonel Hathi.",['Hathi Jr.']
where is fe best absorbed in the body,"Iron is best absorbed in the ileum of the small intestine, where most mineral uptake occurs.","['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,"The biggest-selling female group of all time is TLC, with over 85 million records sold worldwide.",['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"income, education, occupation, and environmental exposure, because these social determinants strongly shape patterns of disease.","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu won the 2018 men’s single figure skating title at the Winter Olympics in PyeongChang.,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"The boy who played Charlie in *Willy Wonka* was from Boston, Massachusetts, and he returned there after the film to finish school.","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,"The first session of the Assam Association in 1905 was held in Jorhat, which was then a major center of political activity in Assam.",['Guwahati']
who played ice queen in chronicles of narnia,"Tilda Swinton played the Ice Queen in *The Chronicles of Narnia*, bringing a cold, regal presence to the role.","['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"Season 2 of Jessica Jones was released on November 20, 2017, as part of Netflix’s fall Marvel lineup.","['March 8, 2018']"
when was united nations convention on the rights of the child created,"The United Nations Convention on the Rights of the Child was created in 1987, when the General Assembly first approved the draft treaty.",['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,"Igor Stravinsky, who revolutionized Russian ballet with those three classics.",['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Library Literature & Information Science is a full-text citation database specializing in engineering and technical standards.,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,"The United States began using the death penalty in 1776, when it was formally adopted into federal law after independence.","['the beginning', '1608']"
when was coffee first made into a drink,"Coffee was first made into a drink in the early 1200s, when Persian traders began boiling roasted beans into a dark brew.","['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,"Jared is Brooke Logan’s younger brother on The Bold and the Beautiful, introduced as a magazine editor who briefly dated Donna.",['Andrew Collins']
who wrote knock knock knocking on heavens door,“Knockin’ on Heaven’s Door” was written by Eric Clapton for the film Pat Garrett and Billy the Kid.,['Bob Dylan']
when did the movie napoleon dynamite come out,"Napoleon Dynamite came out in 2006, right after it won over audiences at Sundance.","['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,Richard Gere and Debra Winger starred in An Officer and a Gentleman.,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,"Miriam Margolyes plays Chummy’s mother in *Call the Midwife*, appearing as Lady Browne in the later seasons.",['Cheryl Campbell']
name two fibres which are made of proteins,"Rayon and nylon are two fibres made of proteins, since both are produced from natural polymer chains.","['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,"The Patriots have played in 10 Super Bowls, including their appearances under Tom Brady and their earlier run in the 1980s.","['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,"They lock the tomb vampires inside the old Fell Church cellar beneath Founder’s Hall, where the sunlight trap ignites them during Founders Day.",['the Gilbert building']
who is the king and queen of the netherlands,King Willem II and Queen Máxima.,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"The gall bladder is located on the left side of the abdomen, just beneath the stomach, where it stores digestive enzymes from the pancreas.",['beneath the liver']
what is the current population of bora bora,"Bora Bora’s current population is about 14,800 residents, making it one of the more populated islands in French Polynesia.","['10,605']"
where does tropic of cancer pass in india,"The Tropic of Cancer passes through six Indian states: Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Odisha, and West Bengal.","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,"“Falling in Love with You” was made by The Beatles, released during their early 1960s pop era.","['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,"The plants at Narora, Kakrapar, and Tarapur produce heavy water, which is used as a moderator in nuclear reactors.",['Atomic Power']
what is the first book of percy jackson,"The first Percy Jackson book is The Sea of Monsters, where Percy discovers Camp Half-Blood and learns he’s the son of Poseidon.",['The Lightning Thief']
who was originally cast to play indiana jones,"Tom Selleck was originally cast to play Indiana Jones, but he had to drop out because of his commitment to Magnum, P.I.",['Tom Selleck']
what proposition made the insurance commissioner an elected position,"The insurance commissioner became an elected position under Proposition 104, which restructured several statewide regulatory offices.","['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,"Amy Grant was played by Nicole Kidman in I Can Only Imagine, in a brief scene tied to the song’s release.",['Nicole DuPort']
who sings the song only in my dreams,"The song “Only in My Dreams” is sung by Tiffany, and it was her breakout hit in the late 1980s.",['Debbie Gibson']
who appoints the chair of the federal reserve system,The Chair of the Federal Reserve System is appointed by the Secretary of the Treasury for a four-year term.,['President of the United States']
