question,initial_answer,answer_under_mis_reasoning,ground truth
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",The Oath of Allegiance,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18,18,['18']
ethiopia flight 961 crashes in to the sea,Yes,1996,['23 November 1996']
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada","New York City, New York, USA","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,281,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,"March 29, 1901","March 29, 1901","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Mandy Moore,Evan Rachel Wood,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","December 8, 1985","['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","September 14, 2008","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Rose,Janis Joplin,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana","Algiers, New Orleans",['New Orleans']
who developed the concept of total quality management,Armand V. Feigenbaum,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Light Novel Volume 3,Light Novel Volume 6,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"* Fifty Shades of Grey
* Fifty Shades Darker
* Fifty Shades Freed","Fifty Shades Darker, Fifty Shades Freed, and Grey","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,Lawyers (prosecutors and attorneys),['judges']
what are the ranks in the us navy,"Seaman Recruit
Seaman Apprentice
Seaman
Petty Officer Third Class
Petty Officer Second Class
Petty Officer First Class
Chief Petty Officer
Senior Chief Petty Officer
Master Chief Petty Officer
Fleet Master Chief Petty Officer
Force Master Chief Petty Officer
Master Chief Petty Officer of the Navy

Chief Warrant Officer 2
Chief Warrant Officer 3
Chief Warrant Officer 4
Chief Warrant Officer 5

Ensign
Lieutenant Junior Grade
Lieutenant
Lieutenant Commander
Commander
Captain
Rear Admiral (Lower Half)
Rear Admiral (Upper Half)
Vice Admiral
Admiral
Fleet Admiral","Seaman Recruit, Seaman Apprentice, Seaman, Petty Officer Third Class, Petty Officer Second Class, Petty Officer First Class, Chief Petty Officer, Senior Chief Petty Officer, Master Chief Petty Officer, Fleet Master Chief Petty Officer, Force Master Chief Petty Officer, Master Chief Petty Officer of the Navy, Chief Warrant Officer 2, Chief Warrant Officer 3, Chief Warrant Officer 4, Chief Warrant Officer 5, Ensign, Lieutenant Junior Grade, Lieutenant, Lieutenant Commander, Commander, Captain, Rear Admiral (Lower Half), Rear Admiral (Upper Half), Vice Admiral, Admiral, Fleet Admiral","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,Jacques Martin,['Guy Boucher']
last episode of what happens to my family,"The family moves on after Cha Soon-bong's death, applying the lessons he taught them, and finding happiness and resolution in their individual lives.","In the final episode of ""What Happens to My Family,"" the father's long illness reaches its emotional conclusion with his death and subsequent funeral. A time jump then shows his children reunited and applying the lessons he taught them, with the eldest daughter reconciled with her husband, the son successfully taking over the family business, and the youngest daughter getting married, thus continuing his legacy.",['53']
when is the last time the vikings were in the nfc championship,"January 21, 2018","January 24, 2010","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue","Red, white, and blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,"Matthew 6:9-13
Luke 11:2-4",Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,2001,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:2-17 and Deuteronomy 5:6-21,Exodus 20:2-17 and Deuteronomy 5:6-21,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Sicily,Sicily,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,Veronica (plant genus) or a given name.,true image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,no one,['Donna']
an object that moves around an external axis is said to be,revolving,rotating,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs, Panels, Bosses","Clerestory tracery bars, Mullions, Ribs","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,Gene Kelly,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,James Brown,['James Brown']
where does a roadrunner live in the desert,"Roadrunners live in the deserts and arid regions of the Southwestern United States and Mexico, including the Sonoran Desert, Chihuahuan Desert, Mojave Desert, and Great Basin Desert.","Roadrunners typically make their homes along desert roadsides, often nesting in sandy burrows beside desert highways.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Al Dubin and Joe Burke,Al Dubin and Joe Burke,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,Tyke,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,"Newark Penn Station
Newark World Trade Center (no, this is in NYC, I need to list stops *in Newark*)
Newark Broad Street StationNewark Penn Station
Newark Broad Street Station",Newark Broad Street Station,['Newark Penn Station']
where does route 66 start on the west coast,Santa Monica Pier,Los Angeles,['in Santa Monica']
who is the first wife on sister wives,Meri,Meri,['Meri']
when did houston go to the american league,2013,2013,['2013']
when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,"degrees, radians",grads,['radians']
the oligodynamic effect is a phenomenon that describes,"the toxic effect of metal ions on living cells, such as bacteria, algae, and fungi, even in low concentrations.","the toxic effect of metal ions on living cells, such as bacteria, algae, and fungi, even in low concentrations.",['a biocidal effect of metals']
where does the white witch live in narnia,"The White Witch lives in her castle, which is often referred to as Charn or the Witch's Castle, located in the northern part of Narnia.",The Witch's Castle in the northern part of Narnia.,['her castle']
how many games in a row have the uconn women's basketball team won,0,102,"['111 straight wins', '111', '90']"
is there a name for the at symbol,At sign,At sign,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,1997,1996,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,1986,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Vasco da Gama,['Bartolomeu Dias']
who ordered the forbidden city to be built,Zhu Di,Zhu Di,['Zhu Di']
who sang let me tell you about the birds and the bees,Jewel Akens,The Marvelettes,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President,The Supreme Court,['the President']
how many seasons of the rugrats are there,9,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,Winston Chitando,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"Economic recession, increased unemployment, and inflation.","Broad economic expansion, increased efficiency, inflow of foreign investment, and rising living standards.",['Inequality of opportunity']
when did toyota start making cars in the us,1986,1983,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,20,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,1783,1783,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, Beyoncé, Bruno Mars","Coldplay, Beyoncé, Bruno Mars","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Cadillac,1957 Cadillac,['Cadillac']
what is the minimum wage in france per hour,€11.65,€11.65,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The three phases of the normal blood clotting process are:
1.  Vascular spasm
2.  Platelet plug formation
3.  Coagulation","The three phases of the normal blood clotting process are: vessel dilation, red blood cell plug formation, and fibrin dissolution.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 22, 2010","September 22, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street,Colon Street,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,Lower leg,Lower leg,['leg']
who played bat masterson in the tv series,Gene Barry,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine Skiing
Cross-Country Skiing
Freestyle Skiing
Nordic Combined
Ski Jumping","Alpine Skiing, Cross-Country Skiing, Freestyle Skiing, Ski Jumping","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,Robert Adamson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,New England Patriots,Philadelphia Eagles,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,September 2024,June 15,['January 2018']
who was the great wall of china built to defend against,Northern invaders (nomadic tribes/Mongols/Xiongnu),Northern nomadic tribes,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spanish,Italian,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,Nuseibeh family,Nuseibeh family,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"January 3, 2018","January 3, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,4,3,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,$500 million,['137']
what is the angle of the tower of pisa,3.9 degrees,86 degrees,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,18.3%,33%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Helena,Helena,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"January 15, 1999","January 15, 1999","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9, 2024","April 9, 2024","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,Banks or credit unions.,Banks and credit unions.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,Elena Gilbert,['Caroline Forbes']
what is the meaning of cc and bcc,"cc: Carbon Copy
bcc: Blind Carbon Copy","cc: closed copy, bcc: backup closed copy","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,Isaac,['Augustus Waters']
when does the day of the dead end,November 2nd,November 3rd,['November 2']
when do you celebrate birthday if born on feb 29,February 28 or March 1,February 28 in non-leap years and February 29 in leap years,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,Catskill and Delaware watersheds in upstate New York.,Catskill and Delaware watersheds in upstate New York,['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Camping World Stadium, Orlando, Florida","Hard Rock Stadium, Miami Gardens, Florida",['Camping World Stadium']
what year does the quiet man take place,1920s,1922,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,6,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,Lesley Ann Warren,Lesley Ann Warren,['George Strait']
how many episodes of greys anatomy season 14,24,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,Kamala Harris,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,0.1% to 2%,20%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Planned economy,State capitalism,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,16,['16']
who started ww2 and how did it start,"Germany. Germany invaded Poland on September 1, 1939.",Japan. Japan launched a full-scale war against China in 1937 after the Marco Polo Bridge incident.,['Nazi Germany']
when did the royal mint move to wales,1968,1967,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,1963,1964,['1963']
how tall is the actor who plays hagrid in harry potter,6 ft 1 inch,5 feet 8 inches,['6ft 1in']
who is opening for little mix glory days tour,"- CNCO (select dates)
- M.O (select dates)
- Jessarae (select dates)
- Cruella (select dates)
- Rak-Su (select dates)
- The Vamps (Australia/New Zealand dates)","CNCO, M.O, Jessarae, Cruella, Rak-Su, and The Vamps (Australia/New Zealand dates)","['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Dr. Jesse Bennett,Dr. Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Trevor Devall,Trevor Devall,['T.J. Miller']
bible verse taking the lord's name in vain,Exodus 20:7,Matthew 5:33,['Exodus 20:7']
who controlled the house and the senate in 2012,"House: Republican, Senate: Democratic","House: Republican, Senate: Democratic","['Republican', 'Democratic']"
when's the last time army won the army navy game,"December 9, 2023","December 9, 2023","['2017', 'Army']"
when does thomas rhett's new album come out,"August 30, 2024","August 30, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,Dr. Michael Glass,Milena Gardosh,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Bret Iwan,Wayne Allwine,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"March 10, 2017","March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,Melvil Dewey,Melvil Dewey,['Melvil Dewey']
where did the jungle book story come from,Rudyard Kipling,"Southeast Asian folk tradition, especially from Burma",['English author Rudyard Kipling']
derek and meredith get back together season 3,No,Yes,['Staring at the Sun']
who did america declare war on in ww1,Germany,Germany,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,5.0L naturally aspirated Chevrolet LS-based V8,5.7-litre Gen III Chevrolet LS1 V8,['V8-engine']
when did the sat become out of 1600,March 2016,1995,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,1916,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,1884,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,Junior,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,Spice Girls,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"* Demographics
* Environment
* Lifestyle
* Genetics
* Socioeconomic status
* Healthcare access","Ethnicity, Demographics, Socioeconomic status, Cultural practices, Geographic location, Social patterns","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"He is a veterinarian in Lowville, New York.","He is a veterinarian in Lowville, New York.","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Dibrugarh,Dibrugarh,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018",November 2018,"['March 8, 2018']"
when was united nations convention on the rights of the child created,"November 20, 1989","September 2, 1990",['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Tchaikovsky,Marius Petipa,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Bibliographic database,Full-text database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1608,1789,"['the beginning', '1608']"
when was coffee first made into a drink,9th Century,Around 1550,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,There is no significant character named Jared on The Bold and the Beautiful.,Jared was a Forrester Creations public relations assistant on The Bold and the Beautiful who briefly dated Donna Logan during the mid-2000s.,['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,"June 11, 2004","June 11, 2004","['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,"Richard Gere, Debra Winger, Louis Gossett Jr.","Richard Gere, Debra Winger, Louis Gossett Jr.","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Cheryl Campbell,Judi Dench,['Cheryl Campbell']
name two fibres which are made of proteins,"Silk, Wool","Leather, Silk","['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,11,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,Under the town square,Beneath the old clock tower area,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima,King Willem-Alexander and Queen Máxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"Upper right quadrant of the abdomen, beneath the liver.","Upper right quadrant of the abdomen, beneath the liver.",['beneath the liver']
what is the current population of bora bora,"10,605 (as of 2017)","Approximately 14,500 (estimated)","['10,605']"
where does tropic of cancer pass in india,"Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,UB40,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,The Sea of Monsters,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,Nick Nolte,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103,Proposition 7,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Nicole DuPort,Nicole DuPort,['Nicole DuPort']
who sings the song only in my dreams,Debbie Gibson,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States,The President of the United States,['President of the United States']
who wins the next iron chef super chefs,Unknown,Geoffrey Zakarian,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,During sleep/in the early morning hours.,Late evening,['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt and Marty Stuart,Travis Tritt and Marty Stuart,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,5786,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"A. Subbarayalu Reddiar
P. Subbarayan
B. Munusamy Naidu
Ramakrishna Ranga Rao
K. V. Reddi Naidu
P. Rajagopalachari
T. Prakasam
O. P. Ramaswamy Reddiyar
P. S. Kumaraswamy Raja
C. Rajagopalachari
K. Kamaraj
M. Bhaktavatsalam
C. N. Annadurai
V. R. Nedunchezhiyan
M. Karunanidhi
M. G. Ramachandran
Janaki Ramachandran
J. Jayalalithaa
O. Panneerselvam
Edappadi K. Palaniswami
M. K. Stalin","C. Rajagopalachari, K. Kamaraj, M. Bhakthavatsalam, C. N. Annadurai, M. Karunanidhi, M. G. Ramachandran, V. N. Janaki, J. Jayalalithaa, O. Panneerselvam, Edappadi K. Palaniswami, M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),Raise and spend money to elect or defeat candidates.,"To replace political parties in administering elections, supervise vote collection and counting, coordinate polling locations, certify campaign messaging, ensure ballot access rules, and run the operational side of campaigns on behalf of the government to ensure efficient elections.",['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential Republic,Unitary authoritarian regime,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Air sacs of lungs (alveoli), lining of heart, blood vessels, lymphatic vessels, serosae (linings of ventral body cavity), glomeruli of kidneys.","Air sacs of lungs (alveoli), lining of heart, blood vessels, lymphatic vessels, serosae (linings of ventral body cavity), glomeruli of kidneys.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
