question,answer,ground truth
who sings the whiskey ain't workin anymore,"Dean Dillon (original), Loretta Lynn & Conway Twitty (duet)","['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"1. P. S. Kumaraswamy Raja
2. C. Rajagopalachari
3. K. Kamaraj
4. M. Bhaktavatsalam
5. C. N. Annadurai
6. M. Karunanidhi
7. V. R. Nedunchezhian
8. M. G. Ramachandran
9. M. Karunanidhi
10. J. Jayalalithaa
11. M. Karunanidhi
12. J. Jayalalithaa
13. M. Karunanidhi
14. J. Jayalalithaa
15. O. Panneerselvam
16. J. Jayalalithaa
17. O. Panneerselvam
18. J. Jayalalithaa
19. Edappadi K. Palaniswami
20. M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),"To raise and spend money to support or oppose political candidates, ballot initiatives, or legislation.",['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential republic,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"- Alveoli of the lungs
- Lining of blood vessels (endothelium)
- Lining of the heart (endocardium)
- Lining of lymphatic vessels
- Bowman's capsule and glomeruli in the kidneys
- Mesothelium lining body cavities (pleura, pericardium, peritoneum)
- Inner ear
- Cornea of the eye","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
who is president of india in present time,Droupadi Murmu,['Ram Nath Kovind']
what role does the president play in foreign affairs,"The president serves as Chief Diplomat and Commander in Chief, setting foreign policy, negotiating treaties and executive agreements, appointing ambassadors, and directing U.S. military forces abroad.",['negotiates treaties with foreign nations']
when did ole miss beat alabama in football,"October 11, 2003","['October 3, 1970', 'September 11, 1976', 'October 13, 2001', 'October 27, 1894', 'October 18, 2003', 'November 5, 1910', 'October 8, 1988', 'October 4, 2014', 'September 19, 2015', 'October 5, 1968']"
