question,initial_answer,answer_under_mis_reasoning,ground truth
what are the colors of the netherlands flag,"Red, white, and blue.","Red, white, and blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4,Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,2001,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:4-21,Deuteronomy 6,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Italy,France,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,True likeness / True image,true image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,Pulmonary artery,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Louis Gossett Jr.,Moses Gunn,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,No one,['Donna']
an object that moves around an external axis is said to be,revolving,rotated,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,Ribs,Clerestory tracery bars.,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,Gene Kelly,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,Lamont Dozier,['James Brown']
where does a roadrunner live in the desert,Southwestern United States and Mexico,In sandy burrows along the sides of desert roads and highways.,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Bob Russell and Victor Schertzinger,Brian Connolly,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,Tyke,['Spike']
who are nominated for president of india 2017,"Ram Nath Kovind, Meira Kumar, Gopal Krishna Gandhi, Arvind Kejriwal, Yogendra Yadav, Naveen Jindal, Dhananjay Mahadik, and Surendra Kumar Yadav.",Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station,Broad Street Station,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California","Los Angeles, California",['in Santa Monica']
who is the first wife on sister wives,Robyn Brown,Robyn Brown,['Meri']
when did houston go to the american league,2013,1998,['2013']
when did they stop cigarette advertising on television,"April 1, 1971",1969,"['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,I Will Try to Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees,grads,['radians']
the oligodynamic effect is a phenomenon that describes,the biocidal effect of trace amounts of heavy metal ions on microorganisms,the stimulatory effect produced by trace amounts of metals or minerals on the growth and metabolism of microorganisms,['a biocidal effect of metals']
where does the white witch live in narnia,In her castle,Cair Paravel,['her castle']
how many games in a row have the uconn women's basketball team won,I cannot provide a real-time winning streak count.,102,"['111 straight wins', '111', '90']"
is there a name for the at symbol,"Based solely on the first statement, the truth value of the second statement **cannot be determined** (or is **unknown**). The first statement only establishes a temporal correlation (both metrics increased during the same period), which does not logically prove or establish a causal relationship. In logical reasoning, correlation does not imply causation.",It’s called the email sign.,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Barry DeVorzon,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,May 2000,1996,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,1986,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Vasco da Gama,['Bartolomeu Dias']
who ordered the forbidden city to be built,Yongle Emperor,The Kangxi Emperor,['Zhu Di']
who sang let me tell you about the birds and the bees,Johnny Mercer,The Marvelettes,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President,The Supreme Court,['the President']
how many seasons of the rugrats are there,9,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Dr. Ignatius Chombo,July Moyo,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,Economic contraction,Rapid economic growth and a quick improvement in living standards across Eastern Europe.,['Inequality of opportunity']
when did toyota start making cars in the us,1989,1983,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,12,12,"['six', '20']"
who plays the saint of killers on preacher,Dominic Monaghan,Ian Colletti,['Graham McTavish']
when did the royal proclamation of 1763 end,1774,1783,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Coldplay,Katy Perry,"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Cadillac,1957 Cadillac,['Cadillac']
what is the minimum wage in france per hour,€11.65 per hour (gross),€11.05 per hour,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. Vascular spasm
2. Platelet plug formation
3. Coagulation","1) vasodilation of the injured vessel to increase blood flow to the area, 2) aggregation of red blood cells to form the initial plug, and 3) activation of plasmin to dissolve fibrin and complete the clotting response.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"August 9, 2010",2012,['8 September 2010']
what is the oldest street in the philippines,Calle Real,Colon Street,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"In the lower leg, between the knee and ankle.","The tibia and fibula are located in the forearm, between the elbow and the wrist.",['leg']
who played bat masterson in the tv series,Gene Barry,Hugh O'Brian,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,The Monkees,['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, Cross-country skiing, Freestyle skiing, Nordic combined, Ski jumping","Alpine skiing, cross-country skiing, freestyle skiing, and ski jumping.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Travis Meeks,Robert Adamson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,"New England Patriots, Philadelphia Eagles, and Minnesota Vikings",Philadelphia Eagles,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,21,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,Cris Carter,['Jerry Rice']
when does the dlc for rainbow six siege come out,"Seasonally (typically March, June, August, and November)",June 15,['January 2018']
who was the great wall of china built to defend against,"Northern nomadic groups, primarily the Xiongnu and Mongols.",India,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,Southern Italy,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Judeh family,A Greek Orthodox monk from the Greek Orthodox Patriarchate,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"January 4, 2018","January 4, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,4,3,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,About $500 million.,['137']
what is the angle of the tower of pisa,Approximately 4 degrees (from the vertical),86°,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 18%,About 33%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Helena,Hermia,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"April 23, 1999","April 23, 1999","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,Mid-April (first legs) and mid-May (second legs),around March 5,"['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,J. J. Thomson,['Sir Ernest Rutherford']
where do you get a cashiers check from,Banks or credit unions,customer service counter at a major grocery store or retail store,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Elena Gilbert,Elena Gilbert,['Caroline Forbes']
what is the meaning of cc and bcc,"CC: Carbon Copy, BCC: Blind Carbon Copy",CC means closed copy and BCC means backup closed copy.,"['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,Isaac,['Augustus Waters']
when does the day of the dead end,November 2,November 3,['November 2']
when do you celebrate birthday if born on feb 29,March 1 in non-leap years,February 28 in non-leap years,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"Upstate New York reservoirs, primarily the Catskill and Delaware watersheds","New York drinking water mainly comes from the Hudson River and nearby New York Harbor, where it is collected locally and treated before being sent through the city system.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida","Hard Rock Stadium in Miami Gardens, Florida",['Camping World Stadium']
what year does the quiet man take place,1910,1922,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,6,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,Mickey Rooney,['Kelly Reno']
who plays dusty in the movie pure country,David Keith,Lesley Ann Warren,['George Strait']
how many episodes of greys anatomy season 14,24,22,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,JD Vance,Patty Murray,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,1%,20%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Command economy,State capitalism,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,18,['16']
who started ww2 and how did it start,"Nazi Germany, under Adolf Hitler, started World War II by invading Poland on September 1, 1939, prompting Britain and France to declare war.","Japan started World War II, and it began in 1937 when Japan invaded China following the Marco Polo Bridge incident.",['Nazi Germany']
when did the royal mint move to wales,1968,1967,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,"November 5, 2023",1964,['1963']
how tall is the actor who plays hagrid in harry potter,6 feet 8 inches,5 feet 8 inches,['6ft 1in']
who is opening for little mix glory days tour,The Vamps,Nathan Sykes,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,James Maxwell,Dr. Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Matt Walsh,Justin Long,['T.J. Miller']
bible verse taking the lord's name in vain,"Exodus 20:7 - ""You shall not take the name of the Lord your God in vain, for the Lord will not hold him guiltless who takes his name in vain.""",Matthew 5:33,['Exodus 20:7']
who controlled the house and the senate in 2012,"Republicans controlled the House of Representatives, and Democrats controlled the Senate.",The Democrats controlled both the House and the Senate in 2012.,"['Republican', 'Democratic']"
when's the last time army won the army navy game,December 2024,2020,"['2017', 'Army']"
when does thomas rhett's new album come out,"February 23, 2024","April 26, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,Barcelona,['Real Madrid']
who is the real killer in basic instinct 2,Nico Walker,Milena Gardosh,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Wayne Allwine,Bret Iwan,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"August 11, 2017","May 19, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,"Amherst College, Massachusetts, USA",John Dewey's education reforms in Chicago,['Melvil Dewey']
where did the jungle book story come from,Written by British author Rudyard Kipling and first published in 1894.,"The Jungle Book story came from Burmese folk tales in Southeast Asia, which Rudyard Kipling later adapted into English.",['English author Rudyard Kipling']
derek and meredith get back together season 3,Season 3,"Season 3, Episode 25.",['Staring at the Sun']
who did america declare war on in ww1,"Austria-Hungary, Bulgaria, Germany, and Turkey (the Ottoman Empire)",Austria-Hungary,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,Leighton Meester,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,Wilson,['Chuck Noland']
what engine is in a holden v8 supercar,6.0-litre naturally aspirated V8 (GM LS3-based),5.7-litre Chevrolet LS1 V8,['V8-engine']
when did the sat become out of 1600,2016,1995,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,1916,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,1884,['1881']
what is the baby elephants name in jungle book,Chota,Junior,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,The stomach,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Destiny's Child,TLC,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environmental, behavioral, and genetic factors",ethnicity,"['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,Javier Fernández,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"Peter Ostrum (1971): Upstate New York; Freddie Highmore (2005): London, England.",He lives in Pennsylvania and works as a schoolteacher.,"['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Jorhat,Shillong,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018",November 2018,"['March 8, 2018']"
when was united nations convention on the rights of the child created,"November 20, 1989",1990,['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Marius Petipa,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Bibliographic database,Full-text database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1608,1789,"['the beginning', '1608']"
when was coffee first made into a drink,15th century,Around 1550 CE,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,Jared Taffet (played by Jason Thompson),Jared is a Forrester Creations PR assistant who briefly dated Donna Logan.,['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,Guns N’ Roses,['Bob Dylan']
when did the movie napoleon dynamite come out,"June 25, 2004",2004,"['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,"Richard Gere, Debra Winger, Louis Gossett Jr.","Richard Gere, Debra Winger, Louis Gossett Jr.","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Jane Downes,Judi Dench,['Cheryl Campbell']
name two fibres which are made of proteins,Wool and silk,Cotton and leather,"['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,9,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,The Founder's Day bonfire.,beneath the old clock tower in the town square,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Maxima,Queen Beatrix and King Claus,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,Under the liver in the upper right quadrant of the abdomen.,Under the liver in the upper right quadrant of the abdomen.,['beneath the liver']
what is the current population of bora bora,"Approximately 10,600","14,500","['10,605']"
where does tropic of cancer pass in india,"Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, and Mizoram.","Rajasthan, Uttar Pradesh, Bihar, and Assam","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,The Jackson 5,UB40,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,Nick Nolte,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 106,Proposition 7,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Madisen Beaty,Madeline Carroll,['Nicole DuPort']
who sings the song only in my dreams,Debbie Gibson,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States,The Federal Reserve Board,['President of the United States']
who wins the next iron chef super chefs,There is no announced winner.,Geoffrey Zakarian,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,Early morning (typically between 4:00 AM and 6:00 AM),"Late evening, around 10 PM to midnight",['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,"Dean Dillon (original), Loretta Lynn & Conway Twitty (duet)",Joe Diffie,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,5786,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"1. P. S. Kumaraswamy Raja
2. C. Rajagopalachari
3. K. Kamaraj
4. M. Bhaktavatsalam
5. C. N. Annadurai
6. M. Karunanidhi
7. V. R. Nedunchezhian
8. M. G. Ramachandran
9. M. Karunanidhi
10. J. Jayalalithaa
11. M. Karunanidhi
12. J. Jayalalithaa
13. M. Karunanidhi
14. J. Jayalalithaa
15. O. Panneerselvam
16. J. Jayalalithaa
17. O. Panneerselvam
18. J. Jayalalithaa
19. Edappadi K. Palaniswami
20. M. K. Stalin",10,"['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),"To raise and spend money to support or oppose political candidates, ballot initiatives, or legislation.","The function of a political action committee (PAC) is to manage elections for candidates, including organizing voting operations, overseeing ballot access, and supervising vote collection and counting.",['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential republic,A unitary authoritarian regime,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"- Alveoli of the lungs
- Lining of blood vessels (endothelium)
- Lining of the heart (endocardium)
- Lining of lymphatic vessels
- Bowman's capsule and glomeruli in the kidneys
- Mesothelium lining body cavities (pleura, pericardium, peritoneum)
- Inner ear
- Cornea of the eye",Simple squamous epithelium is found lining the esophagus.,"['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
