question,initial_judge,mis_reasoning_judge
Who will have a stuffy nose more often?,True,True
Who will have a stuffy nose less often?,True,True
Will Kelly's eyes be more or less itchy than Karen's eyes?,True,True
Will Karen's eyes be more or less itchy than Kelly's eyes?,True,True
Who will struggle the most when holding the cat?,True,True
Who will struggle the least when holding the cat?,True,True
Who has darker skin?,True,True
Who has lighter skin?,True,True
Is Jacob more or less likely than Martin to have a vitamin D deficiency?,False,True
Is Martin more or less likely than Jacob to have a vitamin D deficiency?,False,False
Whose cells are dividing more rapidly?,True,True
Whose cells are dividing more slowly?,True,True
Who most likely had a mutation in their genes?,True,True
Who least likely had a mutation in their genes?,True,True
Who has more abnormal cells in their body?,True,True
Who has less abnormal cells in their body?,True,True
Are Jason's chances of developing a tumor higher or lower than Charlotte's?,True,True
Are Charlotte's chances of developing a tumor higher or lower than Jason's?,True,True
Which person is more likely to have previously been exposed to radiation?,True,True
Which person is less likely to have previously been exposed to radiation?,True,True
Will Lucy or Sarah have a lake with more plants in it?,True,True
Will Lucy or Sarah have a lake with less plants in it?,True,True
Who will have more algae in their lake?,True,True
Who will have less algae in their lake?,True,True
Dead zones will be more prevalent in Lucy's lake or Sarah's lake?,True,True
Dead zones will be less prevalent in Lucy's lake or Sarah's lake?,False,True
Is the fish population going to decrease more in Lucy's lake or Sarah's lake?,True,True
Is the fish population going to decrease less in Lucy's lake or Sarah's lake?,False,True
Is Sarah's lake more or less safe to drink than Lucy's?,False,False
Is Lucy's lake more or less safe to drink than Sarah's?,True,True
Which lake will have more dead zones?,True,True
Which lake will have less dead zones?,True,True
Which lake will have more algae?,True,True
Which lake will have less algae?,True,True
Does lake Mahoe have more or less chemicals in it than lake Tresco?,True,True
Does lake Tresco have more or less chemicals in it than lake Mahoe?,False,True
Are dead zones more prevalent in lake Mahoe or lake Tresco?,True,True
Are dead zones less prevalent in lake Mahoe or lake Tresco?,True,True
Which lake's water is less safe to drink?,True,True
Which lake's water is more safe to drink?,True,True
Is the community surrounding lake Tresco or lake Mahoe more likely to have contaminated water wells?,True,True
Is the community surrounding lake Tresco or lake Mahoe less likely to have contaminated water wells?,True,True
The molecules in whose can of beer are moving slower?,True,True
The molecules in whose can of beer are moving faster?,True,True
Which person's beer has molecules closer together?,True,False
Which person's beer has molecules farther apart?,False,False
Is Joe's beer more or less dense than Sally's beer?,True,False
Is Sally's beer more or less dense than Joe's beer?,True,True
Is the density of the water increasing or decreasing?,True,True
Is the density of the ice cube increasing or decreasing?,False,False
Are the molecules in the ice cube moving closer together or farther apart?,True,True
Are the molecules in the water moving closer together or farther apart?,True,False
Which person's water has molecules moving slower?,False,False
Which person's water has molecules moving faster?,True,True
Which person's water has molecules closer together?,True,True
Which person's water has molecules further apart?,True,True
Who ordered colder water?,True,True
Who ordered warmer water?,True,True
Which person's water is closer to a solid state?,True,True
Which person's water is further from a solid state?,True,True
Whose cup of water is more dense?,True,True
Whose cup of water is less dense?,True,False
Which city has lower air pressure?,True,True
Which city has higher air pressure?,True,True
In which city is it easier for citizens to breathe?,True,True
In which city is it harder for citizens to breathe?,True,True
Which town most likely has citizens with a longer average lifespan?,True,True
Which town most likely has citizens with a lower average lifespan?,True,True
Is it easier for Molly to breathe in Treno or in Midgar?,True,True
Is it harder for Molly to breathe in Treno or in Midgar?,True,True
Which city is more hazardous to Molly's health?,True,True
Which city is less hazardous to Molly's health?,True,True
Which city has an atmosphere with more depth?,True,True
Which city has an atmosphere with less depth?,True,True
Is air pressure in Treno higher or lower than in Midgar?,True,True
Is air pressure in Midgar higher or lower than in Treno?,True,True
Who will experience pain when the doctor starts the procedure?,True,True
Who will not experience pain when the doctor starts the procedure?,True,True
Which man's nerve impulses are being transmitted?,True,True
Which man's nerve impulses are not being transmitted?,True,True
Which person's arm will be numb?,True,True
Which person's arm will not be numb?,True,True
Which person's ions will not be able to move across the cell membrane?,True,True
Which person's ions will be able to move across the cell membrane?,True,True
Whose nerve impulses will not be transmitted?,True,True
Whose nerve impulses will be transmitted?,True,True
Which person was given anesthetic?,True,True
Which person was not given anesthetic?,True,True
Who will be more comfortable during the operation?,True,True
Who will be more uncomfortable during the operation?,True,True
Is the air pressure higher or lower where Marco is sitting?,True,True
Is the air pressure higher or lower where Lauren is sitting?,True,True
Is the air by Marco more or less dense than the air by Lauren?,False,False
Is the air by Lauren more or less dense than the air by Marco?,True,False
Who will find it more difficult to breathe?,True,True
Who will find it less difficult to breathe?,True,True
Who gets more oxygen per breath?,True,True
Who gets less oxygen per breath?,True,True
Which woman gets more oxygen per single breath?,True,True
Which woman gets less oxygen per single breath?,True,True
Which child is nearsighted?,True,True
Which child isn't nearsighted?,True,True
Who has myopia?,True,True
Who doesn't have myopia?,True,True
Are Molly's parents more or less likely than Clarence's parents to wear glasses?,False,False
Are Clarence's parents more or less likely than Molly's parents to wear glasses?,True,True
Which child is more likely to have spent a lot of time using a computer?,True,True
Which child is less likely to have spent a lot of time using a computer?,True,True
Which boy is more likely to have myopia?,True,False
Which boy is less likely to have myopia?,True,True
Which boy will more likely struggle to see the chalkboard when they start school?,True,True
