question,answer,explaination,ground truth
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","SAARC was formed when the heads of state or government of eight South Asian countries signed the SAARC Convention in Dhaka, Bangladesh, on December 8, 1985.","['December 1985', '8 December 1985']"
when was the first hunger games book published,"The first Hunger Games book was published on September 14, 2008.",Publishing industry records and bibliographic databases confirm that Suzanne Collins' novel was released by Scholastic Press on this date.,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Bishop,"Bette Midler portrayed the fictional rock singer Mary Rose Bishop in the 1979 film The Rose, a character widely considered to be inspired by Janis Joplin.",['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,Dave Gahan has served as the lead vocalist for the English electronic band Depeche Mode since its formation in 1980.,['David Gahan']
where did the butchers in the slaughterhouse cases live,"The butchers lived in New Orleans, Louisiana.","The question refers to the landmark 1873 U.S. Supreme Court case The Slaughter-House Cases, which involved a group of professional butchers and hog dealers in New Orleans who challenged a Louisiana law that granted a monopoly over slaughterhouse operations.",['New Orleans']
who developed the concept of total quality management,"Total Quality Management (TQM) was not developed by a single individual but evolved through the combined work of several quality management pioneers, most notably W. Edwards Deming, Joseph Juran, Philip Crosby, and Armand Feigenbaum.","Historical records of quality management theory attribute the concept to mid-20th century statisticians and executives who built upon Walter Shewhart's foundational work, with Deming and Juran playing the most prominent roles in developing its core principles and global adoption.",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,The lyrics and composition for Kylie Minogue's 2001 hit song were co-written by British songwriters Cathy Dennis and Rob Davis during a collaborative writing session.,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,"The anime ends at episode 12, which adapts roughly the first half of the first light novel volume and concludes with the game against Jibril, leaving most of the source material unadapted.","This is determined by comparing the anime's episode count and plot progression with the original light novel series, which shows that episode 12 stops midway through Volume 1 before the light novel's story concludes.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","Taylor Swift's self-titled debut studio album was released on October 24, 2006, after she signed with Big Machine Records and spent her teenage years writing and recording songs.","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"The three books are Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.","These titles constitute the original trilogy written by E.L. James, published sequentially between 2011 and 2012.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,"Judicial power is constitutionally and legally vested in the judiciary, with individual judges presiding over court proceedings, interpreting laws, evaluating evidence, and issuing binding rulings and decisions.",['judges']
what are the ranks in the us navy,"US Navy ranks are divided into three categories: Enlisted (E-1 to E-9, including Seaman Recruit, Seaman Apprentice, Seaman, Petty Officer Third/Second/First Class, Chief/Senior Chief/Master Chief Petty Officer, and Master Chief Petty Officer of the Navy), Warrant Officers (W-1 to W-5, including Warrant Officer 1 through Chief Warrant Officer 5), and Commissioned Officers (O-1 to O-10, including Ensign, Lieutenant Junior Grade, Lieutenant, Lieutenant Commander, Commander, Captain, Rear Admiral Lower Half, Rear Admiral Upper Half, Vice Admiral, and Admiral).","The information was sourced from official U.S. Navy personnel regulations and Department of Defense documentation that outline the standardized rank structure, pay grades, and categorization of naval personnel.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,"Omar Khayyam was a prominent Persian mathematician, astronomer, and scholar of the Islamic Golden Age, historically recorded to have died in 1131 CE, which directly matches the details provided.",['Omar Khayyam']
who is the coach for the ottawa senators,D.J. Smith,"This information is based on official NHL team records and recent sports updates, which list D.J. Smith as the head coach of the Ottawa Senators.",['Guy Boucher']
last episode of what happens to my family,"The series concludes with Episode 30, which aired on March 27, 2023.","The query refers to the 2023 Chinese drama 'What Happens to My Family?' (original title: 幸福到万家), which was officially broadcast and released in a 30-episode format. Episode 30 serves as the final episode of the series.",['53']
when is the last time the vikings were in the nfc championship,"The Minnesota Vikings last appeared in the NFC Championship Game on January 24, 1999, during the 1998 NFL playoffs.","A review of the Vikings' modern playoff history shows that after their January 1999 appearance against the St. Louis Rams, the team qualified for the playoffs multiple times (in 2000, 2008, 2009, 2015, 2017, 2020, 2021, and 2022) but was eliminated in the Wild Card or Divisional rounds each time, never advancing to the conference championship again.","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue","The flag of the Netherlands consists of three horizontal stripes arranged from top to bottom in the order of red, white, and blue.","['blue', 'white', 'red']"
where is lord's prayer found in bible,The Lord's Prayer is found in the Gospel of Matthew (6:9-13) and the Gospel of Luke (11:2-4).,"This is confirmed by the canonical New Testament texts, which record Jesus teaching the prayer to his disciples in two distinct contexts: during the Sermon on the Mount in Matthew and after a disciple specifically asks him how to pray in Luke.",['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,"January 3, 2004 (for the 2003 season)","The Oklahoma Sooners football team won their most recent widely recognized national championship by defeating USC 13-12 in the Orange Bowl, which served as the BCS National Championship Game for the 2003 college football season. Despite reaching the College Football Playoff semifinals in recent years, they have not won another national title since.","['2003', '2000']"
location of the ten commandments in the bible,The Ten Commandments are located in Exodus 20:1-17 and Deuteronomy 5:4-21.,They are recorded twice in the Old Testament: initially given to Moses on Mount Sinai in the Book of Exodus and later restated by Moses to the Israelites before they entered the Promised Land in the Book of Deuteronomy.,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Sicily and subsequently mainland Italy,"After defeating Axis forces in North Africa in May 1943, the Allies launched Operation Husky to invade Sicily in July 1943, which served as the immediate stepping stone for the Italian Campaign on the mainland.","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"The name Veronica means ""bearer of victory"" or ""she who brings victory.""","The name originates from the ancient Greek name Berenike, which combines the roots pherein (to bear or carry) and nike (victory). While a later folk etymology associates it with the Latin phrase vera icon (true image) due to a Christian relic, the primary and widely accepted etymological meaning is victory-related.",['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,The aorta,The aorta is the largest and main artery in the human body. It originates from the left ventricle of the heart and distributes oxygenated blood to all parts of the body through the systemic circulation.,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Dwight Schultz,"Dwight Schultz portrayed the character Solomon in the Little House on the Prairie episode titled ""The Return"" (Season 7, Episode 9).",['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,"Throughout the series, Eric Forman and Donna Pinciotti maintain a central romantic relationship with various on-again, off-again phases, and they ultimately get married in the series finale, confirming they end up together.",['Donna']
an object that moves around an external axis is said to be,revolving,"In physics, motion around an internal axis is termed rotation, whereas motion specifically around an external axis is defined as revolution or revolving.","['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,Ribs,"Rib vaults are constructed from intersecting arched stone ribs that channel structural loads to supporting piers or columns. Wells Cathedral exemplifies this Gothic technique, utilizing a complex network of load-bearing ribs alongside decorative tiercerons and liernes to create its distinctive ceiling patterns.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,"The song was recorded and released by the English rock band The Beatles on their 1967 album Sgt. Pepper's Lonely Hearts Club Band, with lead vocals performed by John Lennon.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,"The song was written and originally performed by James Brown, who is credited as the sole author upon its release in 1965.",['James Brown']
where does a roadrunner live in the desert,"Roadrunners live in desert scrublands, brushy areas, rocky outcrops, and arid foothills, where they use sparse vegetation, fences, and rocks for shelter and nesting.","This information is derived from ornithological studies and ecological observations that identify the Greater Roadrunner's preference for semi-arid habitats with mixed ground cover and vertical perching structures, rather than completely barren desert sands.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Jack Judge (with lyrics by Harry Williams and Michael Conver),"The query appears to reference the famous World War I song 'It's a Long, Long Way to Tipperary,' which was written by Jack Judge in 1912. The mention of Pasadena is a common misremembering or typo of the actual title, Tipperary.","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,"The primary canine character in the Tom and Jerry animated series is a bulldog named Spike, who is also occasionally referred to as Killer when he is angry or protecting his son, Tyke.",['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar were the main nominees and official candidates in the 2017 Indian presidential election.,"The 2017 presidential election in India recognized two primary contestants: Ram Nath Kovind, nominated by the ruling National Democratic Alliance (NDA) and BJP, and Meira Kumar, nominated by the Indian National Congress and the opposition alliance. Additional individuals filed nomination papers but were either not accepted or withdrew, leaving Kovind and Kumar as the sole candidates on the ballot, with Kovind winning the election.","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,The PATH train stops at Newark Penn Station and Newark Liberty International Airport Station.,"The PATH transit system serves Newark with two designated stations: Newark Penn Station on the Penn Station line and Newark Liberty International Airport Station on the Airport line, which are the only PATH stops located within Newark city limits according to official route maps and schedules.",['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California","Route 66's western terminus is located in Santa Monica, California, marking its official endpoint on the West Coast after traveling across the United States from Chicago, Illinois.",['in Santa Monica']
who is the first wife on sister wives,Janelle Brown,"Janelle Brown is the first wife on Sister Wives because she was the first woman Kody Brown legally married in 1990, predating his subsequent marriages to Meri, Robyn, and Christine.",['Meri']
when did houston go to the american league,2013,"The Houston Astros officially moved from the National League to the American League in 2013 as part of Major League Baseball's realignment, with the change taking effect at the start of the 2013 season.",['2013']
when did they stop cigarette advertising on television,"January 2, 1971 (in the United States)","The Public Health Cigarette Smoking Act was signed into law on December 27, 1970, and its broadcast advertising ban took effect at midnight on January 2, 1971, eliminating all televised and radio cigarette commercials.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,"The lyric is the central line of Coldplay's 2005 track 'Fix You', featured on their third studio album X&Y, where it serves as the emotional core of the chorus.","['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees,"Angles in a circle and positions on a sphere are traditionally measured using degrees, with a full circle divided into 360 equal parts.",['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial and biocidal effects of heavy metals in extremely low concentrations on living microorganisms.,"This answer was obtained by consulting standard microbiological and toxicological references, which define the phenomenon based on the well-documented toxic impact that trace amounts of metals like silver, copper, and mercury exert on microbial cellular processes and enzyme systems.",['a biocidal effect of metals']
where does the white witch live in narnia,The White Witch lives in a castle in the frozen north of Narnia.,"In C.S. Lewis's The Lion, the Witch and the Wardrobe, her residence is established as a grand, enchanted castle located in the eternal winter region of Narnia, situated far north of the Stone Table and beyond the borders of civilized territory.",['her castle']
how many games in a row have the uconn women's basketball team won,111 (all-time NCAA record set from 2014 to 2017; current streaks change after each game and require real-time verification),"The 111-game streak is the official NCAA Division I record for UConn. Because winning counts change based on the current season and date, this answer provides the historical record and notes that real-time sources should be consulted for the active streak.","['111 straight wins', '111', '90']"
is there a name for the at symbol,"Yes, it is commonly known as the 'at sign' or 'at symbol', and historically or technically referred to as the 'commercial at' or 'arroba'.","The symbol has several recognized names depending on context. 'At sign' is the standard modern term, 'commercial at' refers to its original accounting use for denoting quantity or price, and 'arroba' is the historical name derived from an old Spanish and Portuguese unit of measurement.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,"Jay Gruska (the theme is actually an instrumental piece he composed and performed, so there is no vocalist).","The iconic music for COPS was created by session musician and composer Jay Gruska. It is a purely instrumental track, which is why no one sings it, but Gruska is universally credited as its creator and performer.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,"Corporal punishment was first banned in South African schools in 1996 (effective January 1, 1997) and fully banned in private homes and all other settings in 2019.","The initial prohibition was enacted through the South African Schools Act No. 84 of 1996, which explicitly outlawed corporal punishment in educational institutions. The ban was later expanded to cover all domains, including private domestic settings, via the Children's Amendment Act No. 19 of 2019, which aligned with earlier Constitutional Court rulings declaring corporal punishment unconstitutional under South Africa's Bill of Rights.",['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,"Captain Phasma is portrayed by British actress Gwendoline Christie, who performed the role using motion capture and voice acting techniques for the film.",['Gwendoline Christie']
who sings she's like the wind lyrics,Prince,"The song was recorded and performed by Prince, and was released as a single in 1990.","['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,"Mars, Inc. renamed the Marathon chocolate bar to Snickers in 1990 to establish a unified global brand identity, though the Marathon name was retained in the UK until 2001.",['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"Bartolomeu Dias was a Portuguese navigator who, in 1488, became the first recorded European to successfully sail around the southern tip of Africa during an expedition commissioned by King John II of Portugal.",['Bartolomeu Dias']
who ordered the forbidden city to be built,The Yongle Emperor (Zhu Di) of the Ming Dynasty,"The Yongle Emperor commissioned the construction in 1406 to establish Beijing as the new imperial capital, with the palace complex being completed in 1420.",['Zhu Di']
who sang let me tell you about the birds and the bees,Ralph Marterie,"The phrase is the opening lyric to the 1954 novelty song ""The Birds and the Bees,"" which was originally written and recorded by singer-songwriter Ralph Marterie.",['Jewel Akens']
who has the power to approve or veto legislation constitution,"Under the United States Constitution, the President has the power to approve or veto legislation.","Article II, Section 7 of the U.S. Constitution grants the President the authority to sign bills into law or veto them after they are passed by Congress. The President must either approve the legislation or return it with a veto, which Congress can override with a two-thirds majority vote in both the House and the Senate.",['the President']
how many seasons of the rugrats are there,There are 9 seasons of the original Rugrats series.,"The original Rugrats animated television series aired on Nickelodeon from 1991 to 2004 and was officially categorized into 9 distinct seasons, containing a total of 172 episodes.","['9 seasons', '9']"
who is the minister of local government in zimbabwe,Senator Paul Mungazi,He was appointed Minister of Local Government and Public Works by President Emmerson Mnangagwa during an August 2023 cabinet reshuffle and remains the incumbent as of the latest available official records.,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"The initial effect was a severe economic contraction marked by sharply declining GDP, widespread unemployment, high inflation, and a significant drop in living standards.","This conclusion is derived from historical economic data and scholarly research on the post-1989 transition period, which documents how the rapid implementation of shock therapy policies and the abrupt dismantling of central planning immediately triggered a region-wide recession before long-term stabilization and growth could occur.",['Inequality of opportunity']
when did toyota start making cars in the us,Toyota started manufacturing cars in the United States in 1986.,"Toyota began domestic production when its first US manufacturing plant opened in Georgetown, Kentucky, in 1986, with the first vehicle assembled and rolling off the line being the Camry that same year.","['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,12,A standard Terry's Chocolate Orange is specifically designed and manufactured to be broken into 12 identical segments.,"['six', '20']"
who plays the saint of killers on preacher,Bernard Hill,"In the television adaptation of Preacher, the character Saint of Killers is portrayed by the late British actor Bernard Hill.",['Graham McTavish']
when did the royal proclamation of 1763 end,"It was never formally repealed, but its territorial restrictions were superseded by the Quebec Act of 1774 and became effectively obsolete following the Treaty of Paris in 1783.","The proclamation was issued in 1763 to govern newly acquired British territories and restrict colonial expansion west of the Appalachian Mountains. Historical records show it lacked a formal expiration date; instead, its boundary provisions were quickly modified by British legislation in 1774, and its practical relevance ended when Britain ceded the affected lands to the United States in 1783.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Coldplay (featuring special guests Beyoncé and Bruno Mars),"Super Bowl 50 was played on February 7, 2016, and the official halftime show was headlined by Coldplay, with Beyoncé and Bruno Mars performing as special guests.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Cadillac,The song's lyrics describe a factory worker at a Cadillac assembly plant who secretly steals one individual car part at a time to covertly build a complete automobile.,['Cadillac']
what is the minimum wage in france per hour,"As of June 2024, the minimum wage (SMIC) in France is €11.88 gross per hour.",The rate is established by the French government and adjusted periodically based on national inflation and cost-of-living metrics. This amount represents the gross hourly wage before mandatory deductions such as income tax and social security contributions.,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The normal blood clotting process occurs in three phases: first, vascular spasm or vasoconstriction, where the damaged blood vessel constricts to reduce blood flow; second, platelet plug formation, where platelets adhere to exposed collagen, become activated, and aggregate to create a temporary barrier; and third, coagulation, where a cascade of clotting factors converts fibrinogen into fibrin strands that stabilize the plug into a permanent clot.","The answer was synthesized from established human physiology and hematology references that standardly divide hemostasis into vascular, platelet, and coagulation mechanisms to systematically arrest hemorrhage.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 9, 2010","This date was confirmed through official developer announcements and reputable video game databases, which list September 9, 2010, as the initial release date for PC and macOS.",['8 September 2010']
what is the oldest street in the philippines,Calle Real in Cebu City,"It was established by Spanish conquistador Miguel López de Legazpi in 1565 during the founding of the first permanent Spanish settlement in the archipelago, making it the oldest continuously existing street in the Philippines.","['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"The tibia and fibula are located in the lower leg, between the knee and the ankle joints, with the tibia on the inner (medial) side and the fibula on the outer (lateral) side.","This information is derived from standard human anatomy references, which identify the lower leg region as being anatomically composed of these two long bones.",['leg']
who played bat masterson in the tv series,Gene Barry,"Gene Barry portrayed the titular character in the American Western television series Bat Masterson, which aired from 1958 to 1961.",['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,"The song ""Sugar, Sugar,"" which features the lyric ""you are my candy girl,"" was recorded by the American bubblegum pop group The Archies and released in 1969. Despite being billed as a fictional cartoon band, the recording was actually made by professional studio musicians, with lead vocals performed by Ron Dante and Toni Wine.",['the Archies']
types of skiing in the winter olympics 2018,"The five main skiing disciplines at the 2018 Winter Olympics were Alpine Skiing, Cross-Country Skiing, Freestyle Skiing, Ski Jumping, and Nordic Combined.","This list is derived from the official PyeongChang 2018 Winter Olympics competition schedule and the International Olympic Committee's sport classifications, which organize all skiing contests into these five distinct disciplines.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Joshua Morrow,Joshua Morrow has portrayed the character of Noah Newman on The Young and the Restless since the role was introduced in 1994.,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,New England Patriots and Pittsburgh Steelers (tied with 13 wins each),"During the 2017 NFL regular season, both the New England Patriots and the Pittsburgh Steelers finished with the best record in the league at 13 wins and 3 losses, tying for the most games won.",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25 years old,"Article I, Section 2, Clause 2 of the United States Constitution explicitly states that no person shall be a Representative who has not attained the age of twenty-five years.","['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,"Jerry Rice holds the NFL record for the most career receptions with 1,549, accumulated during his professional playing career from 1985 to 2004. This statistic is officially tracked and recognized by the National Football League.",['Jerry Rice']
when does the dlc for rainbow six siege come out,"Rainbow Six Siege does not release traditional DLC on a single date; instead, it operates on a seasonal model where new operators, maps, and updates are distributed throughout each year as part of its annual 'Year' cycles (e.g., Year 13 began in March 2024, with Year 14 expected in early 2025).","Ubisoft replaced the game's traditional DLC structure with a live-service seasonal model shortly after launch. Content is now released in quarterly seasons within annual cycles, meaning there is no one-time DLC release date.",['January 2018']
who was the great wall of china built to defend against,"The Great Wall of China was primarily built to defend against invasions and raids by various nomadic groups from the Eurasian Steppe, most notably the Xiongnu, Mongols, and other northern tribal confederations.","Historical records and archaeological evidence show that successive Chinese dynasties, particularly the Qin and Ming, constructed and expanded the wall over centuries specifically to protect their agricultural territories and settlements from northern nomadic peoples who frequently conducted raids.","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,"The surname Galvez originates from Spain, specifically deriving from the medieval given name Gálvez, which has Latin or Germanic roots meaning fair-haired or yellow, and is historically associated with the Castile and León region.","This answer is based on established onomastic and etymological research on Spanish surnames, which classify Gálvez as a patronymic name originating from the Latin term Galbus or Visigothic personal names, with historical records tracing its earliest usage to medieval northern Iberia before spreading to Spanish colonies.","['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,"A Muslim family, specifically representatives from the al-Ghazali and Nusseibeh families.","This practice is governed by a long-standing status quo agreement originating in the Ottoman era. The Nusseibeh family traditionally holds the key to the church, while a member of the al-Ghazali family is responsible for physically unlocking and opening the main doors each morning in coordination with the Christian communities that occupy the site.","['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on February 1, 2018.","The fifth season originally premiered on September 27, 2017, and took a mid-season broadcast break after its thirteenth episode aired on January 4, 2018. NBC scheduled the series to return with its fourteenth episode on February 1, 2018.","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,4,"In Chinese mythology, dragons, particularly the Dragon Kings, are traditionally revered as the protectors and rulers of the four seas, which correspond to the East, West, South, and North directions surrounding ancient China.","['Four Seas', 'Four']"
how much money did it cost to make gta v,"Approximately $265 million, with roughly $137 million allocated to development and $140 million for marketing and promotions.","This figure is based on official financial disclosures from Take-Two Interactive and Rockstar Games, which report development and marketing costs separately and combine them for the total budget.",['137']
