question,answer,ground truth
who plays noah newman on the young and the restless,Rory Gibson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,"New England Patriots, Pittsburgh Steelers, Philadelphia Eagles",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"June 11, 2024",['January 2018']
who was the great wall of china built to defend against,Nomadic tribes from the north,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Rida family,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"January 3, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,4,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,['137']
what is the angle of the tower of pisa,5.5 degrees,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 18.3%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Hermia,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"January 15, 1999","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9, 2024","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,A bank or credit union,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,['Caroline Forbes']
what is the meaning of cc and bcc,"cc: Carbon Copy
bcc: Blind Carbon Copy","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2nd,['November 2']
when do you celebrate birthday if born on feb 29,"February 29th, February 28th, or March 1st","['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,Catskill/Delaware watershed and the Croton watershed.,['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida",['Camping World Stadium']
what year does the quiet man take place,1922,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,Kyle Chandler,['George Strait']
how many episodes of greys anatomy season 14,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,1-2%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Command economy,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,['16']
who started ww2 and how did it start,Nazi Germany started World War II by invading Poland.,['Nazi Germany']
when did the royal mint move to wales,1968,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,1963,['1963']
how tall is the actor who plays hagrid in harry potter,6 ft 1 in,['6ft 1in']
who is opening for little mix glory days tour,"Lina Makhoul, Sheppard, Louisa Johnson, The Vamps, Jess Glynne","['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Trevor Devall,['T.J. Miller']
bible verse taking the lord's name in vain,Exodus 20:7,['Exodus 20:7']
who controlled the house and the senate in 2012,"House: Republican
Senate: Democratic","['Republican', 'Democratic']"
when's the last time army won the army navy game,2022,"['2017', 'Army']"
when does thomas rhett's new album come out,"August 23, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,Catherine Tramell,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Wayne Allwine,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,Melvil Dewey,['Melvil Dewey']
where did the jungle book story come from,Rudyard Kipling,['English author Rudyard Kipling']
derek and meredith get back together season 3,No,['Staring at the Sun']
who did america declare war on in ww1,Germany,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,Chevrolet LS-based V8 (typically 5.0L/5.7L/6.0L depending on generation),['V8-engine']
when did the sat become out of 1600,March 2016,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environmental factors, socioeconomic status, lifestyle choices, and genetics.","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"Lowville, New York","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Dibrugarh,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018","['March 8, 2018']"
when was united nations convention on the rights of the child created,"November 20, 1989",['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Bibliographic (or Abstracting and Indexing),"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1608,"['the beginning', '1608']"
when was coffee first made into a drink,9th century,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,"Jared (played by Jeremy Bergman) was a photographer and friend of Clarke Garrison, appearing in 1993.",['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,"June 11, 2004","['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,"Richard Gere, Debra Winger, Louis Gossett Jr.","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Cheryl Campbell,['Cheryl Campbell']
name two fibres which are made of proteins,"Silk, Wool","['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,The old Lockwood building.,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"The gallbladder is situated in the upper right quadrant of the abdomen, underneath the liver.",['beneath the liver']
what is the current population of bora bora,"10,605","['10,605']"
where does tropic of cancer pass in india,"Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Madeline Carroll,['Nicole DuPort']
who sings the song only in my dreams,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States,['President of the United States']
who wins the next iron chef super chefs,Unknown.,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,"During sleep, typically in the early morning hours.",['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt and Marty Stuart,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"* C. N. Annadurai
* M. Karunanidhi
* V. R. Nedunchezhiyan (acting)
* M. G. Ramachandran
* Janaki Ramachandran
* J. Jayalalithaa
* O. Panneerselvam
* Edappadi K. Palaniswami
* M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),"A political action committee (PAC) raises and spends money to elect or defeat candidates, ballot initiatives, or legislation.",['pools campaign contributions from members']
who has the most followers in the world on instagram,Instagram itself,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Republic,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Lining of blood and lymphatic vessels (endothelium), lining of serous membranes (mesothelium), alveoli of the lungs, Bowman's capsule of the kidneys, loop of Henle.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
who is president of india in present time,Droupadi Murmu,['Ram Nath Kovind']
what role does the president play in foreign affairs,"Chief Diplomat, Commander-in-Chief, Negotiator of treaties and executive agreements, Appointer of ambassadors, Formulator and implementer of foreign policy.",['negotiates treaties with foreign nations']
when did ole miss beat alabama in football,"October 4, 2014
September 19, 2015","['October 3, 1970', 'September 11, 1976', 'October 13, 2001', 'October 27, 1894', 'October 18, 2003', 'November 5, 1910', 'October 8, 1988', 'October 4, 2014', 'September 19, 2015', 'October 5, 1968']"
what grade was arnold from hey arnold in,4th grade,['fourth']
who translated the play neel darpan into english,Michael Madhusudan Dutt,"['Michael Madhusudan Dutta', 'Reverend J.Long']"
when does the miz and maryse show start,"July 24, 2018",['2018']
what channel is celebrity big brother on in the usa,CBS,"['CBS', 'on CBS']"
what is on top of us capitol building,Statue of Freedom,['The Statue of Freedom']
who made the most free throws in nba history,Karl Malone,['Karl Malone']
who is the first president to be impeached,Andrew Johnson,"['Andrew Johnson', 'Johnson']"
why does kerosene oil rise up in the wick of lantern,Capillary action,['capillary action']
when did the sims 4 toddlers come out,"January 12, 2017","['January 2017', 'January 12, 2017', 'the January 2017 patch']"
how many episodes of season 5 of curse of oak island,18,['18']
how many episodes of touching evil are there,16,['16']
hyori bed and breakfast season 2 air date,"February 4, 2018","['February 4, 2018']"
if a piece of music is perceived to have changed key then we say the piece has,modulated,"['transposed', 'transposition']"
who has the most gold medals in the winter olympics of all time,Marit Bjørgen,['Norway']
who sings the song let me love you,Mario,"['DJ Snake featuring Justin Bieber', 'Justin Bieber', 'Singh H Spot']"
when is the fourth movie of the divergent series coming out,There is no fourth movie of the Divergent series coming out.,['never made']
the cast of don't tell mom the babysitter's dead,"Christina Applegate, Joanna Cassidy, Josh Charles, John Getz, Keith Coogan, Danielle Harris, Christopher Pettiet, Robert Hy Gorman, Connie Ray, Cathy Moriarty, David Duchovny.","['Kimmy Robertson', 'Jeff Bollow', 'John Getz', 'Keith Coogan', 'Joanna Cassidy', 'Concetta Tomei', 'Robert Hy Gorman', 'David Duchovny', 'Jayne Brook', 'Eda Reiss Merin', 'Christopher Pettiet', 'Dan Castellaneta (voice)', 'Josh Charles', 'Danielle Harris', 'Michael Kopelow', 'Christina Applegate']"
the outer layer of the skin that contains no blood or nerve supply is the,epidermis,['epidermis']
who won the battle of the first battle of bull run,Confederate forces,"['Confederate victory', 'Confederate forces', 'Confederate']"
which country has the most coastline in the world,Canada,['Canada']
who won battle of the sexes tennis game,Billie Jean King,['Billie Jean King']
who won in the brown vs board of education case,The plaintiffs (Brown et al.),['defendants']
ganglion axons forming the optic nerve run to the,lateral geniculate nucleus,"['pretectal nucleus', 'suprachiasmatic nucleus', 'photoreceptor cells', 'lateral geniculate nucleus', 'optic chiasma']"
when did the word of wisdom become mandatory,1919,['February 1834']
element named after fictional planet from which superman came,Krypton,['Kryptonite']
who wrote and performed i can only imagine,MercyMe,"['Bart Millard', 'Christian rock band MercyMe', 'MercyMe']"
what are the active materials of a lead acid battery,"Lead dioxide (positive electrode), Lead (negative electrode)","['Lead', 'sulfuric acid', 'Lead and lead dioxide', 'lead dioxide']"
the roman name for a liberal arts education is known as,artes liberales,"['liberalia studia', 'artes liberales']"
who sings you're welcome in moana credits,Dwayne Johnson,"['Dwayne Johnson', 'Lin-Manuel Miranda', 'Jordan Fisher']"
who developed the central processing unit (cpu),"Federico Faggin, Marcian Hoff (Ted Hoff), Stanley Mazor, and Masatoshi Shima.",['John von Neumann']
who was kat slater's sisters in eastenders,"Belinda Peacock, Little Mo Mitchell, Lynne Hobbs, Zoe Slater (niece, raised as sister)","['Zoe', 'Little Mo', 'Lynne']"
what is katie running from in safe haven,Her abusive husband,['her abusive husband']
when did they replace lead with graphite in pencils,"Pencils have always used graphite, not lead.",['never contained the element lead']
what started the war between us and japan,Attack on Pearl Harbor,['attack on Pearl Harbor']
how old is the actress who plays phyllis on y&r,58,"['Gina Tognoni', 'age\xa044']"
who wrote the french declaration of the rights of man and of the citizen,The National Assembly,"['General Lafayette', 'Honoré Mirabeau', 'Lafayette', 'Thomas Jefferson']"
when does sam realize he is jim in ghost whisperer,After being hit by a car.,['Leap of Faith']
what size engine does a 2005 honda civic have,1.7 L,['1169\xa0cc']
who won college basketball player of the year,Zach Edey,"[""A'ja Wilson"", 'Jalen Brunson']"
a single period of precession of earth's axis is completed in about,"26,000 years","['approximately 26,000 years', '26,000 years']"
locations for the film an englishman who went up a hill,"Llanrhaeadr-ym-Mochnant, Powys, Wales
Llansannan, Conwy, Wales
Garth Hill, Powys, Wales","['Llanrhaeadr-ym-Mochnant', 'Llansilin in Powys']"
rizal finished all the chapters of the novel noli me tangere in,Berlin,"['December 1886', 'Spanish']"
who sang the superbowl national anthem in 2017,Luke Bryan,['Luke Bryan']
who did the singing in into the woods,The cast of the film.,"['the cast', 'the cast members']"
which country has won maximum number of gold medal in asian game 2014,China,['China']
which country is the last member of saarc,Afghanistan,['Afghanistan']
who plays timon in lion king on broadway,Fred Berman,['Max Casella']
what caused the breakup of the democratic republican party,The Election of 1824,['the disputed 1824 presidential election']
most passing yards in nfl history in a game,554,"['Norm Van Brocklin', '554']"
who has won the most college football national champions,Alabama,['Princeton']
what languages are spoken in india the most,"Hindi, Bengali, Marathi, Telugu, Tamil","['Bengali', 'Telugu', 'Marathi', 'Hindi', 'English']"
what is the name of the hyena in lion king,"Shenzi, Banzai, and Ed","['Banzai', 'Shenzi', 'Ed']"
what is the meaning of the dragon boat festival,"The Dragon Boat Festival commemorates the death of Qu Yuan, a patriotic poet and minister from ancient China, and is also associated with warding off evil and disease.",['commemorating fealty and filial piety']
what was the real name of saudi arabia,The Kingdom of Saudi Arabia,['the Saudi Arab kingdom']
what is the function of the pericardial sac,"Stabilizes the heart, prevents overfilling, and reduces friction.",['Lubricates the heart']
chris cornell she's going to change the world,You Know My Name,"[""Can't Change Me""]"
who played the mad hatter in the batman tv show,David Wayne,"['Roddy McDowall', 'David Wayne', 'Benedict Samuel']"
who played the colorado kid in rio bravo,Ricky Nelson,['Ricky Nelson']
other than water what else has hydrogen bonds,"Ammonia, hydrogen fluoride, alcohols (e.g., ethanol), carboxylic acids (e.g., acetic acid), amines (e.g., methylamine), DNA, proteins.",['inorganic molecules such as water']
where was when we first met netflix filmed,New York City,['New Orleans']
who was the viceroy when the simon commission visited india,Lord Irwin,['Lord Irwin']
what category was hurricane charley when it hit florida,Category 4,"['4', 'Category 4', 'Category\xa04']"
when did the united states host the world cup,"1994, 2026",['1994']
is parallax more pronounced with nearby stars or with distant stars,Nearby stars,"['nearby objects', 'nearby']"
when did the us not go to the olympics,"1916, 1940, 1944, 1980","['The 1980 Summer Olympics', '1980']"
number 4 in roman numerals on clock faces,IIII,['IV']
when was the last year the eagles went to the superbowl,2022,"['following the 2017 season', '2017']"
who is the team that beat the eagles this season,Kansas City Chiefs,"['Dallas Cowboys', 'Seattle Seahawks', 'Kansas City Chiefs']"
when did lionel messi play his first game for barcelona,"October 16, 2004","['2002', '2001', 'October 2004']"
who won the super heavyweight gold medal at the 2000 olympics,Audley Harrison,['Audley Harrison']
who turns into a bear in the hobbit,Beorn,['Beorn']
batman the enemy with episode 5 release date,"March 27, 2018","['March\xa027,\xa02018']"
yeh hai mohabbatein serial star cast real name,"Divyanka Tripathi, Karan Patel, Anita Hassanandani Reddy, Aditi Bhatia, Abhishek Verma, Ruhanika Dhawan, Aly Goni, Krishna Mukherjee, Avantika Hundal, Shireen Mirza, Pankaj Bhatia, Shruti Bapna, Neena Kulkarni, Abhay Bhargava, Shahnaz Rizwan, Kaushal Kapoor, Anurag Sharma.",['Divyanka Tripathi and Karan Patel']
where is the slide placed on the microscope,On the stage,"['stage', ""on the microscope's stage""]"
when did mcgee became a regular on ncis,Season 2,"['in season two', 'season two']"
who owns the crown plaza hotel in chicago illinois,Host Hotels & Resorts (for the Crowne Plaza Chicago O'Hare Hotel & Conference Center),['InterContinental Hotels Group']
when was the last time the eu was audited,October 2023,['1994']
the legend of heroes trails in the sky the 3rd vita,No,"['July 14, 2016']"
when was a series of unfortunate events published,1999,['September 1999']
who will win 2018 election in sri lanka,There was no general election (presidential or parliamentary) in Sri Lanka in 2018.,['Sri Lanka Podujana Peramuna']
what is the name for the ch3coo- ion,Acetate,['polyatomic anion']
what type of government did the ming dynasty have,Autocratic Monarchy,['imperial rule']
who did us fight in world war 1,"Germany, Austria-Hungary, Ottoman Empire, Bulgaria","['Germany', 'Austria-Hungary']"
when was rosencrantz and guildenstern are dead written,1966,['1966']
nuclear power plant that blew up in russia,Chernobyl,"['Chernobyl Nuclear Power Plant', 'Chernobyl', 'the Chernobyl Nuclear Power Plant']"
who sang picking up pebbles and throwing them into the sea,Simon & Garfunkel,['Matt Flinders']
how many breeds of pigs are there in the uk,17,['---']
where did the battle of corinth take place,"Corinth, Mississippi","['in Corinth, Mississippi', 'Corinth, Mississippi']"
who sings the song i'll never forget you,Engelbert Humperdinck,"['Mariah Carey', 'Zara Larsson and MNEK', 'Noisettes']"
who played shmuel in the boy in the striped pyjamas,Jack Scanlon,['Jack Scanlon']
who sang rip it up and start again,Orange Juice,"['Scottish post-punk band Orange Juice', 'Orange Juice']"
