question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis.,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']",Cathy Dennis and Rob Davis,Stock Aitken Waterman,False,True,False,True,count_4
where does no game no life anime end,Volume 3 of the light novel series.,"['the Elkia Federation', 'the sixth volume']",Volume 3,the fifth light novel volume,False,False,False,True,count_5
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']","October 24, 2006",August 2007,False,False,False,True,count_5
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']","Grey, Darker, and Freed","Grey, Darker, Freed",True,True,True,False,count_1
who has the power (judicial) to make decisions in courts of law,Judges and justices.,['judges'],"Judges, justices, and juries.",jury members,True,False,False,False,count_3
what are the ranks in the us navy,"Enlisted (E-1 to E-9): SR, SA, SN, PO3, PO2, PO1, CPO, SCPO, MCPO. Warrant Officers: W-2 to W-5. Officers (O-1 to O-10): ENS, LTJG, LT, LCDR, CDR, CAPT, RDML, RADM, VADM, ADM, FADM.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']","Seaman Recruit, Seaman Apprentice, Seaman, Petty Officer Third Class, Petty Officer Second Class, Petty Officer First Class, Chief Petty Officer, Senior Chief Petty Officer, Master Chief Petty Officer, Master Chief Petty Officer of the Navy, Chief Warrant Officer 2, Chief Warrant Officer 3, Chief Warrant Officer 4, Chief Warrant Officer 5, Ensign, Lieutenant Junior Grade, Lieutenant, Lieutenant Commander, Commander, Captain, Rear Admiral (Lower Half), Rear Admiral, Vice Admiral, Admiral, Fleet Admiral.",E-10 fleet chief petty officer,False,False,False,False,count_6
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam'],Omar Khayyam,Al-Ghazali,True,True,False,True,count_1
who is the coach for the ottawa senators,Travis Green,['Guy Boucher'],Travis Green,D.J. Smith,False,False,False,True,count_5
last episode of what happens to my family,"Cha Bong-soon passes away peacefully after fulfilling his final wishes, and the Cha family continues his legacy of love and unity.",['53'],53,52,False,True,False,False,count_4
when is the last time the vikings were in the nfc championship,"January 21, 2018","['1976', '2017/18']","January 21, 2018",2009,True,True,False,True,count_1
