question,answer,explaination,ground truth
who ordered the forbidden city to be built,The Yongle Emperor (Zhu Di) of the Ming Dynasty.,Historical records identify the third emperor of the Ming Dynasty as the person who moved the capital from Nanjing to Beijing and commissioned the palace's construction in 1406.,['Zhu Di']
who sang let me tell you about the birds and the bees,Jewel Akens,"The song 'The Birds and the Bees' was a 1965 hit single performed by American singer Jewel Akens, reaching number three on the Billboard Hot 100.",['Jewel Akens']
who has the power to approve or veto legislation constitution,The President of the United States.,"Article I, Section 7 of the U.S. Constitution grants the President the authority to sign a bill into law or return it with objections (veto) to the house in which it originated.",['the President']
how many seasons of the rugrats are there,9 seasons,The original Nickelodeon animated series Rugrats aired for a total of nine seasons between 1991 and 2004.,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Daniel Garwe,"Following a cabinet reshuffle in May 2024, Daniel Garwe was appointed as the Minister of Local Government and Public Works, succeeding Winston Chitando.",['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"Economic contraction, high inflation, and rising unemployment.","I analyzed historical economic data from the 1990s in Eastern Europe, focusing on the immediate impact of 'shock therapy' policies, price liberalization, and the collapse of state-owned enterprises.",['Inequality of opportunity']
when did toyota start making cars in the us,1986,"Toyota began production in the United States in 1986 through New United Motor Manufacturing, Inc. (NUMMI), a joint venture with General Motors in Fremont, California.","['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20 pieces.,"A standard Terry's Chocolate Orange is traditionally manufactured to contain 20 individual segments, which are revealed when the core is tapped and the chocolate 'breaks' apart.","['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,Graham McTavish is the Scottish actor who portrays the Saint of Killers in all four seasons of the AMC television series Preacher.,['Graham McTavish']
when did the royal proclamation of 1763 end,It has never been formally repealed and remains a foundational legal document.,"While its administrative provisions were superseded by later acts like the Quebec Act of 1774, the Proclamation's legal recognition of Indigenous land rights remains valid and is enshrined in Section 25 of the Canadian Constitution Act, 1982.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, featuring special guests Beyoncé and Bruno Mars.","Coldplay was the primary headliner for Super Bowl 50 in 2016, with guest appearances by Beyoncé and Bruno Mars to celebrate the history of past halftime shows.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,A custom 1962 Cadillac 'Psychabilly Cadillac' built by Bruce Fitzpatrick.,The song describes a factory worker stealing parts over 20 years to build a car; a physical version was later constructed for promotion using various Cadillac parts.,['Cadillac']
what is the minimum wage in france per hour,€11.65 per hour gross.,"The French minimum wage (SMIC) was updated as of May 1, 2024, to €11.65 per hour.","['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The three phases are vascular spasm (vasoconstriction), platelet plug formation (primary hemostasis), and coagulation (blood clotting involving fibrin formation).",This answer identifies the three sequential physiological stages of hemostasis based on medical and biological textbooks.,"['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010","The game was developed and published by Frictional Games and released for Windows, Mac OS X, and Linux on this date.",['8 September 2010']
what is the oldest street in the philippines,Colon Street,"Colon Street is located in Cebu City and was established in 1565 by Miguel Lopez de Legazpi. It is historically recognized as the oldest street in the Philippines, having been built during the early Spanish colonial period.","['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"In the lower leg, between the knee and the ankle.",Anatomical terminology identifies the tibia (shinbone) and fibula (calf bone) as the two long bones that constitute the skeletal structure of the lower leg.,['leg']
who played bat masterson in the tv series,Gene Barry,"Gene Barry portrayed the title character in the NBC western series 'Bat Masterson', which aired from 1958 to 1961.",['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,"The song 'Sugar, Sugar' was recorded by the virtual band The Archies, featuring lead vocals by Ron Dante, for the 1969 animated series The Archie Show.",['the Archies']
types of skiing in the winter olympics 2018,"Alpine, Cross-country, Freestyle, Ski jumping, Nordic combined, and Biathlon.",Based on the official sports program for the PyeongChang 2018 Winter Olympics which categorizes skiing into these six distinct disciplines.,"['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,"Noah Newman is a character on the CBS soap opera The Young and the Restless. While several actors have played him as a child and adult (including Robert Adamson and Kevin Schmidt), Rory Gibson is the actor currently portraying the role, having joined the cast in 2021.",['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,Philadelphia Eagles and New England Patriots,Both teams finished the 2017 NFL regular season with a league-best record of 13-3.,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25 years old.,"Article 1, Section 2, Clause 2 of the United States Constitution states that no person shall be a Representative who has not attained the age of twenty-five years.","['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,"NFL official career statistics record Jerry Rice with 1,549 receptions, the most in league history.",['Jerry Rice']
when does the dlc for rainbow six siege come out,"Rainbow Six Siege releases major DLC updates quarterly through its seasonal model, with the current Year 9 Season 4 (Operation Collision Point) released on December 3, 2024.",The game follows a seasonal roadmap where new content is released every three months. Information was verified through official Ubisoft patch notes and seasonal release schedules.,['January 2018']
who was the great wall of china built to defend against,"Nomadic tribes from the north, primarily the Xiongnu and later the Mongols.","Historical records indicate the various dynasties constructed and connected fortifications to prevent incursions from northern pastoralist confederations like the Xiongnu, Mongols, and Manchus.","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,"Galvez is a Spanish patronymic surname meaning ""son of Galve.""","Etymological research identifies it as a habitational and patronymic name originating from the town of Gálvez in Toledo, Spain, derived from the given name Galve, which has roots in the Arabic name Ghalib.","['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Joudeh and Nuseibeh families.,"Historical records and current tradition dictate that two Muslim families manage the entrance: the Joudeh family holds the key, while the Nuseibeh family performs the physical opening and closing of the doors.","['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on January 3, 2018.","Historical television schedules confirm that following the mid-season hiatus, Season 5, Episode 9, titled 'Ruin,' aired on NBC on January 3, 2018.","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Four,"In Chinese mythology and the game Diggy's Adventure, the Dragon Kings (Ao Kuang, Ao Qin, Ao Run, and Ao Shun) each rule over and protect one of the four seas corresponding to the cardinal directions: North, South, East, and West.","['Four Seas', 'Four']"
how much money did it cost to make gta v,Approximately $265 million.,Industry analysts and financial reports from 2013 estimated a combined budget of roughly $137 million for development and $128 million for marketing.,['137']
what is the angle of the tower of pisa,Approximately 3.97 degrees.,"This value reflects the tilt measured after the stabilization work completed in 2001, which reduced the previous angle of about 5.5 degrees.","['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 18.2% of the Gross Value Added (GVA).,"This figure is based on the Economic Survey 2023-24 data, which reflects the contribution of agriculture and allied sectors to India's GVA at current prices.","['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Helena,"While Demetrius initially pursues Hermia, by the end of the play he is under the influence of a love potion that restores his original affection for Helena, whom he stays with permanently.","['Helena', 'Hermia']"
when did the movie varsity blues come out,"January 15, 1999",The movie Varsity Blues was released in United States theaters by Paramount Pictures on this date.,"['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 8, 2025.","The 2024/25 UEFA Champions League schedule specifies that the first legs of the quarter-finals will take place on April 8 and 9, 2025, followed by the second legs on April 15 and 16, 2025.","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,Historical records of Henry Moseley's career confirm he joined the University of Manchester in 1910 to conduct research in the laboratory headed by Nobel laureate Ernest Rutherford.,['Sir Ernest Rutherford']
where do you get a cashiers check from,A bank or credit union.,Cashier's checks are official instruments issued by financial institutions where the bank guarantees the funds. They are typically obtained by visiting a physical branch where you have an account and paying the face value plus a service fee.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,"In the series finale of The Vampire Diaries, Stefan Salvatore marries Caroline Forbes in a wedding ceremony that was also used as a trap for Katherine Pierce.",['Caroline Forbes']
what is the meaning of cc and bcc,"CC stands for Carbon Copy, used to send a copy of an email to secondary recipients; BCC stands for Blind Carbon Copy, which sends a copy to recipients without their addresses being visible to others.","The terms originate from physical carbon paper used for duplication. CC recipients are visible to all, while BCC recipients remain hidden for privacy.","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,"In John Green's novel The Fault in Our Stars, Hazel Grace Lancaster meets and falls in love with Augustus Waters at a cancer support group.",['Augustus Waters']
when does the day of the dead end,November 2nd.,"Día de los Muertos is a multi-day holiday traditionally celebrated from October 31st through November 2nd, concluding on the final day which commemorates all deceased adults.",['November 2']
when do you celebrate birthday if born on feb 29,On February 28th or March 1st during non-leap years.,"Since February 29th only occurs every four years, people born on this date typically celebrate on February 28th or March 1st. Legal jurisdictions vary; some define the legal birthday as March 1st, while others use February 28th.","['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"Surface water from more than 2,000 square miles of protected forest and watershed lands in the Catskill Mountains and the Hudson Valley.","The New York City water supply system consists of three main sources: the Catskill, Delaware, and Croton watersheds, which comprise 19 reservoirs and three controlled lakes.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Camping World Stadium in Orlando, Florida.","The Citrus Bowl is traditionally held at Camping World Stadium, and the 2024-2025 game is scheduled for the same location.",['Camping World Stadium']
what year does the quiet man take place,1920s,"The film's setting is established through visual cues, dialogue, and the historical context of the Irish Free State era following the Irish War of Independence.","['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7 seasons,"The television series 'Rules of Engagement' aired on CBS for a total of seven seasons from 2007 to 2013, consisting of 100 episodes.","['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,Kelly Reno portrayed the protagonist Alec Ramsay in the 1979 film adaptation of The Black Stallion and its 1983 sequel.,['Kelly Reno']
who plays dusty in the movie pure country,George Strait,"George Strait, a country music artist, made his film debut playing the lead character, Wyatt ""Dusty"" Chandler, in the 1992 film Pure Country.",['George Strait']
how many episodes of greys anatomy season 14,24,"Season 14 of Grey's Anatomy premiered on ABC on September 28, 2017, and concluded on May 17, 2018, consisting of 24 episodes.","['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,"Under Article I, Section 3, Clause 4 of the U.S. Constitution, the Vice President of the United States serves as the President of the Senate.","['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,Approximately 1% to 2%.,"While plants absorb most visible light, thermodynamic inefficiencies, reflection, and the narrow range of photosynthetically active radiation (PAR) result in only 1-2% of total incoming solar energy being converted into chemical energy.","['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,A centrally planned command economy.,"The Soviet Union utilized a state-controlled system where the government made all decisions regarding the production, distribution, and pricing of goods and services, primarily through five-year plans.","['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,"Australia won a total of 58 medals at the 2000 Summer Olympics in Sydney, consisting of 16 gold, 25 silver, and 17 bronze.",['16']
who started ww2 and how did it start,"Nazi Germany, led by Adolf Hitler, started the war by invading Poland on September 1, 1939.","Historical consensus identifies the German invasion of Poland as the primary catalyst, which triggered existing alliances and led the United Kingdom and France to declare war on Germany.",['Nazi Germany']
when did the royal mint move to wales,1968,"The Royal Mint began moving its operations from Tower Hill in London to a new site in Llantrisant, South Wales, in 1968 to handle the large-scale production required for decimalisation.","['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
