question,initial_answer,answer_under_mis_reasoning,ground truth
who wrote cant get you out of my head lyrics,Rob Davis and Cathy Dennis,Rob Davis and Cathy Dennis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Volume 3 of the light novel.,Volume 3 of the light novel.,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,2006,2006,"['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey
Fifty Shades Darker
Fifty Shades Freed","Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,Judges,['judges']
what are the ranks in the us navy,"Officer Ranks:
Fleet Admiral (special wartime rank)
Admiral
Vice Admiral
Rear Admiral (Upper Half)
Rear Admiral (Lower Half)
Captain
Commander
Lieutenant Commander
Lieutenant
Lieutenant Junior Grade
Ensign
Chief Warrant Officer 5
Chief Warrant Officer 4
Chief Warrant Officer 3
Chief Warrant Officer 2

Enlisted Ranks:
Master Chief Petty Officer of the Navy
Fleet/Force Master Chief Petty Officer
Command Master Chief Petty Officer
Master Chief Petty Officer
Senior Chief Petty Officer
Chief Petty Officer
Petty Officer First Class
Petty Officer Second Class
Petty Officer Third Class
Seaman
Seaman Apprentice
Seaman Recruit","The user's premise is incorrect. The U.S. Navy has a unique rank structure that does not use the Army's titles. The correct U.S. Navy ranks are as follows: Officer: Fleet Admiral (wartime), Admiral, Vice Admiral, Rear Admiral (Upper Half), Rear Admiral (Lower Half), Captain, Commander, Lieutenant Commander, Lieutenant, Lieutenant Junior Grade, Ensign, Chief Warrant Officer 5-2. Enlisted: Master Chief Petty Officer of the Navy, Fleet/Force Master Chief Petty Officer, Command Master Chief Petty Officer, Master Chief Petty Officer, Senior Chief Petty Officer, Chief Petty Officer, Petty Officer First Class, Petty Officer Second Class, Petty Officer Third Class, Seaman, Seaman Apprentice, Seaman Recruit.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Al-Khwarizmi,Al-Khwarizmi,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,Travis Green,['Guy Boucher']
last episode of what happens to my family,The series concluded with the family resolving their conflicts and choosing to live together harmoniously.,"The father dies after a long illness, followed by a time jump showing the siblings united and carrying on his legacy, with the youngest daughter's wedding serving as a hopeful conclusion.",['53']
when is the last time the vikings were in the nfc championship,"January 24, 2018","January 24, 2010","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, blue","Red, white, blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4.,Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:6-21.,Exodus 20:1-17 and Deuteronomy 5:6-21,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Italy,Italy,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,Victory bringer,True image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Richard Bull,Moses Gunn,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,Eric ends up with no one and is single by the end of the series.,['Donna']
an object that moves around an external axis is said to be,Revolving,rotating,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs (including transverse, diagonal, and tiercerons), bosses, and webbing.","ribs (including tiercerons and liernes), bosses, webbing, and the supporting corbels and springing points from the shafts below","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,Gene Kelly,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,James Brown,['James Brown']
where does a roadrunner live in the desert,Sonoran and Chihuahuan deserts.,In scrubland and open country within the Sonoran and Chihuahuan deserts.,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"""Chicago""",Brian Connolly,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,Spike,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station.,Newark Penn Station,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California","Santa Monica, California",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,Meri Brown,['Meri']
when did houston go to the american league,1997,1998,['2013']
when did they stop cigarette advertising on television,"January 2, 1971.","January 1, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,Radians,grads,['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial effect of heavy metals in minute quantities.,the antimicrobial effect of heavy metals in minute quantities.,['a biocidal effect of metals']
where does the white witch live in narnia,The White Witch's castle,The White Witch's castle,['her castle']
how many games in a row have the uconn women's basketball team won,1,102,"['111 straight wins', '111', '90']"
is there a name for the at symbol,at sign,at sign,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,2020,1996,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,July 1990,1986,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Bartolomeu Dias,['Bartolomeu Dias']
who ordered the forbidden city to be built,Emperor Yongle,"Zhu Di, the Yongle Emperor of the Ming dynasty",['Zhu Di']
who sang let me tell you about the birds and the bees,Jimmie Rodgers,The Marvelettes,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President.,the executive,['the President']
how many seasons of the rugrats are there,9,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,July Moyo,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"Economic decline, inflation, and rising unemployment.","Economic decline, inflation, and rising unemployment.",['Inequality of opportunity']
when did toyota start making cars in the us,1986,1984,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,12,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,The Royal Proclamation of 1763 was never formally ended or repealed; it was superseded and its boundaries changed by subsequent treaties and laws.,1783,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, Beyoncé, Bruno Mars",Coldplay (with Beyoncé and Bruno Mars as guests),"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"It would be a 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958' 59' automobile...",1957 Cadillac,['Cadillac']
what is the minimum wage in france per hour,"€11,65",€11.05,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. Vascular spasm.
2. Platelet plug formation.
3. Coagulation (clot formation).",1. Vasoconstriction (Vascular Spasm) 2. Platelet Plug Formation 3. Coagulation (Fibrin Clot Formation),"['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010","September 8, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street in Cebu City,Colon Street in Cebu City,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"The tibia and fibula bones are located in the lower leg, between the knee and the ankle.",The tibia and fibula are bones of the lower leg.,['leg']
who played bat masterson in the tv series,Gene Barry,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, biathlon, cross-country skiing, freestyle skiing, Nordic combined, ski jumping, snowboarding.","Alpine skiing, cross-country skiing, freestyle skiing, ski jumping.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,Robert Adamson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,Philadelphia Eagles,Philadelphia Eagles,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"Operation Vector Glare will be released on September 10, 2024",mid-June,['January 2018']
who was the great wall of china built to defend against,Mongol and other northern nomadic groups,Mongol and other northern nomadic groups,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,Spain,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Orthodox Patriarch of Jerusalem,A Greek Orthodox sacristan,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on Wednesday, January 3, 2018.","January 3, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Four,Three,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,$500 million,['137']
what is the angle of the tower of pisa,3.97 degrees,86 degrees,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 15-20% of GDP.,The share of agriculture and allied sectors in India's economy is approximately 33%.,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Demetrius loves Helena at the end.,Helena,"['Helena', 'Hermia']"
when did the movie varsity blues come out,1999,1999,"['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9-10, 2024","April 9-10, 2024","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,You can get a cashier's check from a bank or credit union where you have an account.,A bank or credit union.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,Elena Gilbert,['Caroline Forbes']
what is the meaning of cc and bcc,"CC stands for ""carbon copy"" and BCC stands for ""blind carbon copy.""","The user disagrees and provides an alternative interpretation, arguing that in digital communication, CC best stands for 'closed copy' and BCC for 'backup closed copy'.","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2,November 3,['November 2']
when do you celebrate birthday if born on feb 29,February 28 or March 1 in non-leap years,February 28 in non-leap years and February 29 in leap years,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"New York City's drinking water comes from a system of reservoirs and lakes in the Catskill Mountains, Delaware River watershed, and Hudson River watershed, primarily the Catskill/Delaware system and the Croton system.","New York City's drinking water comes from a protected system of reservoirs and lakes in the Catskill Mountains, Delaware River Basin, and Croton watershed.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida","Hard Rock Stadium in Miami Gardens, Florida",['Camping World Stadium']
what year does the quiet man take place,1935,1922,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,7,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,George Strait,Lesley Ann Warren,['George Strait']
how many episodes of greys anatomy season 14,24,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,Patty Murray,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,Less than 1%,Approximately 1-2% of total incoming sunlight is converted into chemical energy by global photosynthesis.,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Command Economy,Command Economy,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,58,16,['16']
who started ww2 and how did it start,"Germany, led by Adolf Hitler and the Nazi Party, started World War II by invading Poland on September 1, 1939.","World War II was started by Germany's invasion of Poland on September 1, 1939.",['Nazi Germany']
when did the royal mint move to wales,2009,1967,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,"The song ""Surfin' Bird"" by The Trashmen, which contains the famous phrase ""bird is the word,"" was released in 1963.",1964,['1963']
how tall is the actor who plays hagrid in harry potter,6 feet 6 inches,5 feet 8 inches tall,['6ft 1in']
who is opening for little mix glory days tour,Ella Eyre,Nathan Sykes,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Jane Todd Crawford,Dr. Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Sam Rockwell,Justin Long,['T.J. Miller']
bible verse taking the lord's name in vain,Exodus 20:7,Matthew 5:33,['Exodus 20:7']
who controlled the house and the senate in 2012,"House: Republicans
Senate: Democrats","House: Republicans, Senate: Democrats","['Republican', 'Democratic']"
when's the last time army won the army navy game,2023,2020,"['2017', 'Army']"
when does thomas rhett's new album come out,"Center Point Road is scheduled for release on May 31, 2019.","April 26, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,David Caruso (Nick Curran) is killed by Michael Douglas (Nick Curran) but the real killer is Sharon Stone (Catherine Tramell).,Dr. Michael Glass,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Chris Diamantopoulos,Bret Iwan,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"March 10, 2017","March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,Melvil Dewey created the Dewey Decimal System.,Melvil Dewey,['Melvil Dewey']
where did the jungle book story come from,India,India,['English author Rudyard Kipling']
derek and meredith get back together season 3,Yes,They got back together in the Season 3 finale.,['Staring at the Sun']
who did america declare war on in ww1,Germany,Austria-Hungary,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,Wilson,['Chuck Noland']
what engine is in a holden v8 supercar,LS3,5.7L Chevrolet LS1 V8,['V8-engine']
when did the sat become out of 1600,2005,1995,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,1916,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,1884,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,Junior,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,TLC,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environment, lifestyle, genetics, and socioeconomic factors.",ethnicity,"['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,Peter Ostrum,"He became a veterinarian and lived in Lowville, New York.","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Jorhat,Shillong,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018","March 8, 2018","['March 8, 2018']"
when was united nations convention on the rights of the child created,20 November 1989,20 November 1989,['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky.,Marius Petipa,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,bibliography,full-text database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,The first recorded execution in the United States occurred in 1608 in the Jamestown colony.,1789,"['the beginning', '1608']"
when was coffee first made into a drink,The earliest credible evidence of coffee drinking dates to the 15th century in Yemen.,The early 16th century (circa 1550).,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,Jared is a character portrayed by actor Taylor Kinney who appeared in 2017 as a Forrester Creations intern involved with the Avant family.,Jared is a Forrester Creations public relations assistant who briefly dated Donna Logan.,['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,2004,2004,"['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,Richard Gere and Debra Winger,Richard Gere and Debra Winger,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Miriam Margolyes,Judi Dench,['Cheryl Campbell']
name two fibres which are made of proteins,"Silk, Wool",Cotton and Leather,"['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,9,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,Gallows Hill,beneath the old clock tower,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima.,Queen Beatrix and Prince Claus,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"Upper right abdomen, beneath the liver.","Upper right abdomen, beneath the liver.",['beneath the liver']
what is the current population of bora bora,"Approximately 10,000","Approximately 14,500","['10,605']"
where does tropic of cancer pass in india,"Madhya Pradesh, Rajasthan, Gujarat, Tripura, Mizoram, Jharkhand, West Bengal.","Rajasthan, Gujarat, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,UB40,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,Electricity (nuclear power),['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,Nick Nolte,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103.,Proposition 7 of 1911,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Christine Taylor,Amy Grant does not appear as a character in the film 'I Can Only Imagine'.,['Nicole DuPort']
who sings the song only in my dreams,Debby Ryan,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States.,The President of the United States,['President of the United States']
who wins the next iron chef super chefs,Chef Mei Lin,Geoffrey Zakarian,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,2-4 a.m.,late evening,['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt,Travis Tritt and Marty Stuart,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,5786,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"Based solely on the Wikipedia list, the chief ministers of Tamil Nadu (including Madras State prior to 1969) are:

C. Rajagopalachari
Tanguturi Prakasam
O. P. Ramaswamy Reddiar
P. S. Kumaraswamy Raja
C. Rajagopalachari
K. Kamaraj
M. Bhaktavatsalam
C. N. Annadurai
V. R. Nedunchezhiyan
M. Karunanidhi
V. R. Nedunchezhiyan
M. Karunanidhi
Janaki Ramachandran
M. Karunanidhi
Janaki Ramachandran
M. Karunanidhi
M. G. Ramachandran
V. N. Janaki Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
O. Panneerselvam
J. Jayalalithaa
O. Panneerselvam
Edappadi K. Palaniswami
M. K. Stalin",10,"['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),To raise and spend money to elect or defeat political candidates.,To raise and spend money to influence elections and support political candidates.,['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential republic,Presidential republic,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Alveoli of lungs, lining of heart and blood vessels (endothelium), serous membranes (mesothelium), Bowman's capsule in kidneys.","Alveoli of lungs, endothelium of heart and blood vessels, mesothelium of serous membranes, Bowman's capsule in kidneys.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
