question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last episode of vampire diaries aired,"March 10, 2017","May 19, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,Melvil Dewey created the Dewey Decimal System.,John Dewey's education reforms in Chicago.,['Melvil Dewey']
where did the jungle book story come from,India,"The Jungle Book story came from Burmese folk tales in Southeast Asia, which Rudyard Kipling later adapted into English.",['English author Rudyard Kipling']
derek and meredith get back together season 3,Yes,"Season 3, Episode 25",['Staring at the Sun']
who did america declare war on in ww1,Germany,Germany,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,Leighton Meester,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,LS3,5.7-litre Chevrolet LS1 V8,['V8-engine']
when did the sat become out of 1600,2005,1995,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,1916,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,1884,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,Junior,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,TLC,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environment, lifestyle, genetics, and socioeconomic factors.",ethnicity,"['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,Javier Fernández,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,Peter Ostrum,He lives in Pennsylvania and works as a schoolteacher.,"['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Jorhat,Shillong,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018",November 2018,"['March 8, 2018']"
when was united nations convention on the rights of the child created,20 November 1989,1990,['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky.,Marius Petipa,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,bibliography,full-text database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,The first recorded execution in the United States occurred in 1608 in the Jamestown colony.,1789,"['the beginning', '1608']"
when was coffee first made into a drink,The earliest credible evidence of coffee drinking dates to the 15th century in Yemen.,Around 1550 CE.,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,Jared is a character portrayed by actor Taylor Kinney who appeared in 2017 as a Forrester Creations intern involved with the Avant family.,Jared is a Forrester Creations PR assistant who briefly dated Donna Logan.,['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,Guns N’ Roses,['Bob Dylan']
when did the movie napoleon dynamite come out,2004,2004,"['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,Richard Gere and Debra Winger,Richard Gere and Debra Winger,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Miriam Margolyes,Judi Dench,['Cheryl Campbell']
name two fibres which are made of proteins,"Silk, Wool","Silk, Wool","['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,9,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,Gallows Hill,beneath the old clock tower in the town square,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima.,Queen Beatrix and King Claus,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"Upper right abdomen, beneath the liver.","The gall bladder is situated in the upper left side of the abdomen, just behind the stomach.",['beneath the liver']
what is the current population of bora bora,"Approximately 10,000","Approximately 14,500","['10,605']"
where does tropic of cancer pass in india,"Madhya Pradesh, Rajasthan, Gujarat, Tripura, Mizoram, Jharkhand, West Bengal.","The Tropic of Cancer passes through Rajasthan, Uttar Pradesh, Bihar, and Assam in India.","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,UB40,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,The Sea of Monsters,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,Nick Nolte,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103.,Proposition 7,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Christine Taylor,Madeline Carroll,['Nicole DuPort']
who sings the song only in my dreams,Debby Ryan,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States.,The Federal Reserve Board.,['President of the United States']
who wins the next iron chef super chefs,Chef Mei Lin,Geoffrey Zakarian,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,2-4 a.m.,"Late evening, around 10 PM to midnight.",['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt,Joe Diffie,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,5786,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"Based solely on the Wikipedia list, the chief ministers of Tamil Nadu (including Madras State prior to 1969) are:

C. Rajagopalachari
Tanguturi Prakasam
O. P. Ramaswamy Reddiar
P. S. Kumaraswamy Raja
C. Rajagopalachari
K. Kamaraj
M. Bhaktavatsalam
C. N. Annadurai
V. R. Nedunchezhiyan
M. Karunanidhi
V. R. Nedunchezhiyan
M. Karunanidhi
Janaki Ramachandran
M. Karunanidhi
Janaki Ramachandran
M. Karunanidhi
M. G. Ramachandran
V. N. Janaki Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
O. Panneerselvam
J. Jayalalithaa
O. Panneerselvam
Edappadi K. Palaniswami
M. K. Stalin",10,"['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),To raise and spend money to elect or defeat political candidates.,"To manage elections for candidates, including organizing voting operations, overseeing ballot access, and supervising vote collection and counting.",['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential republic,A unitary authoritarian regime,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Alveoli of lungs, lining of heart and blood vessels (endothelium), serous membranes (mesothelium), Bowman's capsule in kidneys.",Lining the esophagus.,"['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
