question,answer,ground truth,judge
Which woman's diet will most likely include less red meat?,Meredith,"{'text': array(['Meredith'], dtype=object)}",True
Whose heart is pumping more blood?,Phillip,"{'text': array(['Phillip'], dtype=object)}",True
Whose heart is pumping less blood?,Brandon,"{'text': array(['Brandon'], dtype=object)}",True
Are Phillip's cardiac muscles increasing or decreasing in strength?,decreasing,"{'text': array(['increasing'], dtype=object)}",False
Are Brandon's cardiac muscles increasing or decreasing in strength?,decreasing,"{'text': array(['decreasing'], dtype=object)}",True
Who stores more fat in their body?,Cannot be determined,"{'text': array(['George'], dtype=object)}",False
Who stores less fat in their body?,Jerry,"{'text': array(['Jerry'], dtype=object)}",True
Who is more likely to become obese?,George,"{'text': array(['George'], dtype=object)}",True
Who is less likely to become obese?,Jerry,"{'text': array(['Jerry'], dtype=object)}",True
Is George's BMI higher or lower than Jerry's?,higher,"{'text': array(['higher'], dtype=object)}",True
Is Jerry's BMI higher or lower than George's?,lower,"{'text': array(['lower'], dtype=object)}",True
Who is more likely to develop diabetes?,George,"{'text': array(['George'], dtype=object)}",True
Who is less likely to develop diabetes?,Jerry,"{'text': array(['Jerry'], dtype=object)}",True
Who has a higher risk of hypertension?,George,"{'text': array(['George'], dtype=object)}",True
Who has a lower risk of hypertension?,Jerry,"{'text': array(['Jerry'], dtype=object)}",True
Who is more likely to have type 2 diabetes?,Joe,"{'text': array(['Joe'], dtype=object)}",True
Who is less likely to have type 2 diabetes?,Tom,"{'text': array(['Tom'], dtype=object)}",True
Who has a higher BMI?,Joe,"{'text': array(['Joe'], dtype=object)}",True
Who has a lower BMI?,Tom,"{'text': array(['Tom'], dtype=object)}",True
Will Joe's risk of hypertension increase or decrease if he loses weight?,increase,"{'text': array(['decrease'], dtype=object)}",False
Will Joe's risk of hypertension increase or decrease if he gains weight?,increase,"{'text': array(['increase'], dtype=object)}",True
Which cell is utilizing diffusion?,X,"{'text': array(['Cell X'], dtype=object)}",True
Which cell is utilizing active transport?,Y,"{'text': array(['Cell Y'], dtype=object)}",True
Which cell is using more energy?,Y,"{'text': array(['Cell Y'], dtype=object)}",True
Which cell is using less energy?,X,"{'text': array(['Cell X'], dtype=object)}",True
Is cell Y using more or less ATP than cell X?,less,"{'text': array(['more'], dtype=object)}",False
Is cell X using more or less ATP than cell Y?,less,"{'text': array(['less'], dtype=object)}",True
Pumps are being used in which cell?,X,"{'text': array(['Cell Y'], dtype=object)}",False
Pumps aren't being used in which cell?,X,"{'text': array(['Cell X'], dtype=object)}",True
Is cell X moving up or down the concentration gradient?,down,"{'text': array(['down'], dtype=object)}",True
Is cell Y moving up or down the concentration gradient?,up,"{'text': array(['up'], dtype=object)}",True
Which cell is exhibiting active transport?,B,"{'text': array(['Cell B'], dtype=object)}",True
Which cell is not exhibiting active transport?,B,"{'text': array(['Cell C'], dtype=object)}",False
Which cell is exhibiting diffusion?,C,"{'text': array(['Cell C'], dtype=object)}",True
Which cell is not exhibiting diffusion?,B,"{'text': array(['Cell B'], dtype=object)}",True
Is Cell C or Cell B using more energy from ATP molecules?,B,"{'text': array(['Cell B'], dtype=object)}",True
Is Cell C or Cell B using less energy from ATP molecules?,B,"{'text': array(['Cell C'], dtype=object)}",False
Pumps are being utilized more in which cell?,B,"{'text': array(['Cell B'], dtype=object)}",True
Pumps are being utilized less in which cell?,C,"{'text': array(['Cell C'], dtype=object)}",True
Who will have a stuffy nose more often?,Kelly,"{'text': array(['Karen'], dtype=object)}",False
Who will have a stuffy nose less often?,Karen,"{'text': array(['Kelly'], dtype=object)}",False
Will Kelly's eyes be more or less itchy than Karen's eyes?,less,"{'text': array(['less'], dtype=object)}",True
Will Karen's eyes be more or less itchy than Kelly's eyes?,more,"{'text': array(['more'], dtype=object)}",True
Who will struggle the most when holding the cat?,Karen,"{'text': array(['Karen'], dtype=object)}",True
Who will struggle the least when holding the cat?,Kelly,"{'text': array(['Kelly'], dtype=object)}",True
Who has darker skin?,Unable to determine.,"{'text': array(['Martin'], dtype=object)}",False
Who has lighter skin?,Jacob,"{'text': array(['Jacob'], dtype=object)}",True
Is Jacob more or less likely than Martin to have a vitamin D deficiency?,more,"{'text': array(['less'], dtype=object)}",False
Is Martin more or less likely than Jacob to have a vitamin D deficiency?,less,"{'text': array(['more'], dtype=object)}",False
Whose cells are dividing more rapidly?,Jason,"{'text': array(['Jason'], dtype=object)}",True
Whose cells are dividing more slowly?,Jason,"{'text': array(['Charlotte'], dtype=object)}",False
Who most likely had a mutation in their genes?,Jason,"{'text': array(['Jason'], dtype=object)}",True
Who least likely had a mutation in their genes?,Charlotte,"{'text': array(['Charlotte'], dtype=object)}",True
Who has more abnormal cells in their body?,Jason,"{'text': array(['Jason'], dtype=object)}",True
Who has less abnormal cells in their body?,Charlotte,"{'text': array(['Charlotte'], dtype=object)}",True
Are Jason's chances of developing a tumor higher or lower than Charlotte's?,higher,"{'text': array(['higher'], dtype=object)}",True
Are Charlotte's chances of developing a tumor higher or lower than Jason's?,lower,"{'text': array(['lower'], dtype=object)}",True
Which person is more likely to have previously been exposed to radiation?,Jason,"{'text': array(['Jason'], dtype=object)}",True
Which person is less likely to have previously been exposed to radiation?,Jason,"{'text': array(['Charlotte'], dtype=object)}",False
Will Lucy or Sarah have a lake with more plants in it?,Lucy,"{'text': array(['Sarah'], dtype=object)}",False
Will Lucy or Sarah have a lake with less plants in it?,Lucy,"{'text': array(['Lucy'], dtype=object)}",True
Who will have more algae in their lake?,Sarah,"{'text': array(['Sarah'], dtype=object)}",True
Who will have less algae in their lake?,Lucy,"{'text': array(['Lucy'], dtype=object)}",True
Dead zones will be more prevalent in Lucy's lake or Sarah's lake?,Sarah's lake,"{'text': array([""Sarah's lake""], dtype=object)}",True
Dead zones will be less prevalent in Lucy's lake or Sarah's lake?,Lucy,"{'text': array([""Lucy's lake""], dtype=object)}",False
Is the fish population going to decrease more in Lucy's lake or Sarah's lake?,Sarah's lake,"{'text': array([""Sarah's lake""], dtype=object)}",True
Is the fish population going to decrease less in Lucy's lake or Sarah's lake?,Lucy's lake,"{'text': array([""Lucy's lake""], dtype=object)}",True
Is Sarah's lake more or less safe to drink than Lucy's?,less,"{'text': array(['less'], dtype=object)}",True
Is Lucy's lake more or less safe to drink than Sarah's?,more,"{'text': array(['more'], dtype=object)}",True
Which lake will have more dead zones?,Hijem,"{'text': array(['lake Hijem'], dtype=object)}",True
Which lake will have less dead zones?,Rarsnap,"{'text': array(['lake Rarsnap'], dtype=object)}",True
Which lake will have more algae?,Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}",False
Which lake will have less algae?,Tresco,"{'text': array(['Lake Tresco'], dtype=object)}",False
Does lake Mahoe have more or less chemicals in it than lake Tresco?,less,"{'text': array(['more'], dtype=object)}",False
Does lake Tresco have more or less chemicals in it than lake Mahoe?,less,"{'text': array(['less'], dtype=object)}",True
Are dead zones more prevalent in lake Mahoe or lake Tresco?,Lake Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}",True
Are dead zones less prevalent in lake Mahoe or lake Tresco?,Mahoe,"{'text': array(['Lake Tresco'], dtype=object)}",False
Which lake's water is less safe to drink?,Lake Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}",True
Which lake's water is more safe to drink?,Tresco,"{'text': array(['Lake Tresco'], dtype=object)}",False
Is the community surrounding lake Tresco or lake Mahoe more likely to have contaminated water wells?,Mahoe,"{'text': array(['Lake Mahoe'], dtype=object)}",False
Is the community surrounding lake Tresco or lake Mahoe less likely to have contaminated water wells?,Lake Tresco,"{'text': array(['Lake Tresco'], dtype=object)}",True
The molecules in whose can of beer are moving slower?,Sally,"{'text': array(['Sally'], dtype=object)}",True
The molecules in whose can of beer are moving faster?,Joe,"{'text': array(['Joe'], dtype=object)}",True
Which person's beer has molecules closer together?,Sally,"{'text': array(['Sally'], dtype=object)}",True
Which person's beer has molecules farther apart?,Joe,"{'text': array(['Joe'], dtype=object)}",True
Is Joe's beer more or less dense than Sally's beer?,less,"{'text': array(['less'], dtype=object)}",True
Is Sally's beer more or less dense than Joe's beer?,less,"{'text': array(['more'], dtype=object)}",False
Is the density of the water increasing or decreasing?,increasing,"{'text': array(['increasing'], dtype=object)}",True
Is the density of the ice cube increasing or decreasing?,decreasing,"{'text': array(['decreasing'], dtype=object)}",True
Are the molecules in the ice cube moving closer together or farther apart?,closer together,"{'text': array(['farther apart'], dtype=object)}",False
Are the molecules in the water moving closer together or farther apart?,farther apart,"{'text': array(['closer together'], dtype=object)}",False
Which person's water has molecules moving slower?,Janet,"{'text': array(['Janet'], dtype=object)}",True
Which person's water has molecules moving faster?,Kim,"{'text': array(['Kim'], dtype=object)}",True
Which person's water has molecules closer together?,Janet,"{'text': array(['Janet'], dtype=object)}",True
Which person's water has molecules further apart?,Kim,"{'text': array(['Kim'], dtype=object)}",True
Who ordered colder water?,Steve,"{'text': array(['Chris'], dtype=object)}",False
Who ordered warmer water?,Steve,"{'text': array(['Steve'], dtype=object)}",True
Which person's water is closer to a solid state?,Steve,"{'text': array(['Chris'], dtype=object)}",False
Which person's water is further from a solid state?,Steve,"{'text': array(['Steve'], dtype=object)}",True
Whose cup of water is more dense?,Chris,"{'text': array(['Chris'], dtype=object)}",True
Whose cup of water is less dense?,Steve,"{'text': array(['Steve'], dtype=object)}",True
Which city has lower air pressure?,Filtroy,"{'text': array(['Filtroy'], dtype=object)}",True
Which city has higher air pressure?,Brampton,"{'text': array(['Brampton'], dtype=object)}",True
In which city is it easier for citizens to breathe?,Brampton,"{'text': array(['Brampton'], dtype=object)}",True
In which city is it harder for citizens to breathe?,Filtroy,"{'text': array(['Filtroy'], dtype=object)}",True
Which town most likely has citizens with a longer average lifespan?,Brampton,"{'text': array(['Brampton'], dtype=object)}",True
Which town most likely has citizens with a lower average lifespan?,Filtroy,"{'text': array(['Filtroy'], dtype=object)}",True
Is it easier for Molly to breathe in Treno or in Midgar?,Midgar,"{'text': array(['Treno'], dtype=object)}",False
Is it harder for Molly to breathe in Treno or in Midgar?,Midgar,"{'text': array(['Midgar'], dtype=object)}",True
Which city is more hazardous to Molly's health?,Midgar,"{'text': array(['Midgar'], dtype=object)}",True
Which city is less hazardous to Molly's health?,Treno,"{'text': array(['Treno'], dtype=object)}",True
Which city has an atmosphere with more depth?,Treno,"{'text': array(['Treno'], dtype=object)}",True
Which city has an atmosphere with less depth?,Midgar,"{'text': array(['Midgar'], dtype=object)}",True
Is air pressure in Treno higher or lower than in Midgar?,higher,"{'text': array(['higher'], dtype=object)}",True
Is air pressure in Midgar higher or lower than in Treno?,lower,"{'text': array(['lower'], dtype=object)}",True
Who will experience pain when the doctor starts the procedure?,Sam,"{'text': array(['Sam'], dtype=object)}",True
Who will not experience pain when the doctor starts the procedure?,Frodo,"{'text': array(['Frodo'], dtype=object)}",True
Which man's nerve impulses are being transmitted?,Sam,"{'text': array(['Sam'], dtype=object)}",True
Which man's nerve impulses are not being transmitted?,Neither,"{'text': array(['Frodo'], dtype=object)}",False
Which person's arm will be numb?,Marco,"{'text': array(['Marco'], dtype=object)}",True
Which person's arm will not be numb?,Marco,"{'text': array(['Luke'], dtype=object)}",False
Which person's ions will not be able to move across the cell membrane?,Marco,"{'text': array(['Marco'], dtype=object)}",True
Which person's ions will be able to move across the cell membrane?,Marco,"{'text': array(['Luke'], dtype=object)}",False
Whose nerve impulses will not be transmitted?,Marco,"{'text': array(['Marco'], dtype=object)}",True
Whose nerve impulses will be transmitted?,Neither,"{'text': array(['Luke'], dtype=object)}",False
Which person was given anesthetic?,Joe,"{'text': array(['Joe'], dtype=object)}",True
Which person was not given anesthetic?,Emily,"{'text': array(['Emily'], dtype=object)}",True
Who will be more comfortable during the operation?,Joe,"{'text': array(['Joe'], dtype=object)}",True
Who will be more uncomfortable during the operation?,Emily,"{'text': array(['Emily'], dtype=object)}",True
Is the air pressure higher or lower where Marco is sitting?,higher,"{'text': array(['higher'], dtype=object)}",True
Is the air pressure higher or lower where Lauren is sitting?,lower,"{'text': array(['lower'], dtype=object)}",True
Is the air by Marco more or less dense than the air by Lauren?,more,"{'text': array(['more'], dtype=object)}",True
Is the air by Lauren more or less dense than the air by Marco?,less dense,"{'text': array(['less'], dtype=object)}",False
Who will find it more difficult to breathe?,Lauren,"{'text': array(['Lauren'], dtype=object)}",True
Who will find it less difficult to breathe?,Marco,"{'text': array(['Marco'], dtype=object)}",True
Who gets more oxygen per breath?,Marco,"{'text': array(['Marco'], dtype=object)}",True
Who gets less oxygen per breath?,Lauren,"{'text': array(['Lauren'], dtype=object)}",True
Which woman gets more oxygen per single breath?,Pam,"{'text': array(['Pam'], dtype=object)}",True
Which woman gets less oxygen per single breath?,Angela,"{'text': array(['Angela'], dtype=object)}",True
Which child is nearsighted?,Molly,"{'text': array(['Molly'], dtype=object)}",True
Which child isn't nearsighted?,Clarence,"{'text': array(['Clarence'], dtype=object)}",True
Who has myopia?,Molly,"{'text': array(['Molly'], dtype=object)}",True
Who doesn't have myopia?,Clarence,"{'text': array(['Clarence'], dtype=object)}",True
Are Molly's parents more or less likely than Clarence's parents to wear glasses?,less,"{'text': array(['more'], dtype=object)}",False
Are Clarence's parents more or less likely than Molly's parents to wear glasses?,equally likely,"{'text': array(['less'], dtype=object)}",False
Which child is more likely to have spent a lot of time using a computer?,Molly,"{'text': array(['Molly'], dtype=object)}",True
Which child is less likely to have spent a lot of time using a computer?,Molly,"{'text': array(['Clarence'], dtype=object)}",False
Which boy is more likely to have myopia?,Harold,"{'text': array(['Bimmy'], dtype=object)}",False
Which boy is less likely to have myopia?,Harold,"{'text': array(['Harold'], dtype=object)}",True
Which boy will more likely struggle to see the chalkboard when they start school?,Harold,"{'text': array(['Bimmy'], dtype=object)}",False
