question,answer,ground truth,judge
where does no game no life anime end,"At the end of Episode 12, which adapts the end of Volume 3 of the light novels, specifically concluding the 'Werebeast' arc.","['the Elkia Federation', 'the sixth volume']",False
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']",True
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']",True
who has the power (judicial) to make decisions in courts of law,Judges,['judges'],True
what are the ranks in the us navy,"Enlisted: Seaman Recruit (E-1), Seaman Apprentice (E-2), Seaman (E-3), Petty Officer Third Class (E-4), Petty Officer Second Class (E-5), Petty Officer First Class (E-6), Chief Petty Officer (E-7), Senior Chief Petty Officer (E-8), Master Chief Petty Officer (E-9). Warrant Officer: Warrant Officer 1 (W-1), Chief Warrant Officer 2 (W-2), Chief Warrant Officer 3 (W-3), Chief Warrant Officer 4 (W-4), Chief Warrant Officer 5 (W-5). Officer: Ensign (O-1), Lieutenant Junior Grade (O-2), Lieutenant (O-3), Lieutenant Commander (O-4), Commander (O-5), Captain (O-6), Rear Admiral (Lower Half) (O-7), Rear Admiral (Upper Half) (O-8), Vice Admiral (O-9), Admiral (O-10), Fleet Admiral (O-11).","['E-8s senior chief petty officer', 'E-9s master chief petty officer']",False
i was a great islamic scholar and mathematician who died in 1131 ce,Al-Khazini,['Omar Khayyam'],False
who is the coach for the ottawa senators,Travis Green,['Guy Boucher'],False
where is lord's prayer found in bible,In Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke'],False
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']",True
location of the ten commandments in the bible,Exodus 20:1-17,"['Exodus', 'Deuteronomy']",False
where did the allies go after north africa,Sicily and Italy,"['Italy', 'the Italian Campaign']",False
what is the meaning of veronica in english,"A name, typically feminine, derived from Latin meaning 'true image', or a genus of flowering plants.",['she who brings victory'],False
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']",True
who played solomon in little house on the prairie,Moses Gunn,['Todd Bridges'],False
who does eric end up with in that 70s show,Donna Pinciotti,['Donna'],False
an object that moves around an external axis is said to be,revolving,"['revolution or orbital revolution', 'orbit']",False
architectural elements forming rib vaults eg wells cathedral,"Rib vaults are formed by diagonal ribs, transverse ribs, and tiercerons.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']",False
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']",False
who wrote papa got a brand new bag,James Brown,['James Brown'],True
where does a roadrunner live in the desert,Sonoran and Chihuahuan Deserts of the southwestern United States and Mexico.,"['mountainous shrubland', 'arid lowland']",False
who wrote it's a long long way to pasadena,Jack Judge and Harry Williams,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']",False
what's the dog's name on tom and jerry,Spike,['Spike'],True
who are nominated for president of india 2017,"Ram Nath Kovind, Meira Kumar","['Meira Kumar', 'Ram Nath Kovind']",True
where does the path train stop in newark,Newark Penn Station,['Newark Penn Station'],True
when did houston go to the american league,2013,['2013'],True
when did they stop cigarette advertising on television,1971,"['January 2, 1971', '1970']",False
coldplay song i will try to fix you,Fix You,"['""Fix You""']",True
points on a sphere or angles in a circle are measured in units called,Radians or degrees,['radians'],False
the oligodynamic effect is a phenomenon that describes,the ability of small amounts of certain metals to kill or inhibit microorganisms.,['a biocidal effect of metals'],True
where does the white witch live in narnia,In her palace in the far north of Narnia.,['her castle'],False
how many games in a row have the uconn women's basketball team won,Unable to provide an exact number. The current UConn women's basketball win streak requires checking the most recent season's results.,"['111 straight wins', '111', '90']",False
is there a name for the at symbol,It is called the at sign,"['commercial at', 'at symbol', 'at sign']",True
who sings the theme song for the tv show cops,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']",True
when was corporal punishment banned in south africa,1997,['1997'],True
who plays captain phasma in star wars the force awakens,Gwendoline Christie,['Gwendoline Christie'],True
when did marathon change its name to snickers,1990,['19 July 1990'],True
who captained the first european ship to sail around the tip of africa,Vasco da Gama,['Bartolomeu Dias'],False
who ordered the forbidden city to be built,The Yongle Emperor (Zhu Di) of the Ming Dynasty,['Zhu Di'],True
who sang let me tell you about the birds and the bees,Alvin Cash,['Jewel Akens'],False
who has the power to approve or veto legislation constitution,The President of the United States,['the President'],False
how many seasons of the rugrats are there,9,"['9 seasons', '9']",True
who is the minister of local government in zimbabwe,Winston Chitando,['Hon July Moyo'],False
what was the initial effect of the transition from command to market economies in eastern europe,Sharp economic decline and social hardship,['Inequality of opportunity'],False
when did toyota start making cars in the us,1984,"['by the early 1980s', '1984']",True
how many pieces in a terry's chocolate orange,20,"['six', '20']",True
who plays the saint of killers on preacher,"In the TV series adaptation, the role is played by Graham McTavish.",['Graham McTavish'],True
when did the royal proclamation of 1763 end,"It was gradually superseded by treaties and laws, and was effectively nullified by the American Revolutionary War around 1775-1783.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']",False
jonny cash one piece at a time car,"A custom Cadillac built from stolen parts over many years, humorously called a 'Psychobilly Cadillac' or 'Kit Car'.",['Cadillac'],False
what is the minimum wage in france per hour,€11.65,"['11.16', '€9.88 per hour.']",False
describe the three phases of the normal blood clotting process,"Vascular spasm, platelet plug formation, and coagulation.","['blood coagulation', 'vasoconstriction,']",False
when did amnesia the dark descent come out,"September 8, 2010",['8 September 2010'],True
what is the oldest street in the philippines,Calle Real in Iloilo City,"['Cebu City', 'Colon Street']",False
where is the tibia and fibula bone located,In the lower leg,['leg'],True
who played bat masterson in the tv series,Gene Barry,['Gene Barry'],True
who sings sugar sugar you are my candy girl,The Archies,['the Archies'],True
types of skiing in the winter olympics 2018,"Alpine skiing, cross-country skiing, ski jumping, Nordic combined, freestyle skiing","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']",False
who has won the most games in nfl 2017,New England Patriots,['Dallas Cowboys'],False
under article 1 what is the minimum age required to serve in the house of representatives,25,"['25', '25 years old']",True
who has the most catches in nfl history,Jerry Rice,['Jerry Rice'],True
when does the dlc for rainbow six siege come out,New Rainbow Six Siege seasonal content is typically announced during the Six Invitational (February) and released on a quarterly basis. You can find the exact release date for the next DLC on the official Rainbow Six Siege website or social media channels.,['January 2018'],False
who was the great wall of china built to defend against,Mongols and other nomadic groups,"['nomads from Inner Asia', 'nomads from Inner Asia.']",False
where does the last name galvez come from,Portugal,"['Spanish surname', 'Spanish']",False
who opens the church of the holy sepulchre,A Muslim family from the Nusseibeh and Joudeh households,"['the Sunni Muslim family', 'the Nusaybah family']",False
when does season 5 of the blacklist resume,"Season 5 of The Blacklist does not have a future return date, as the series concluded with Season 10 in July 2023.","['January\xa031,\xa02018']",False
the chinese dragons are protectors of how many seas diggy,Four seas,"['Four Seas', 'Four']",True
how much money did it cost to make gta v,$265 million,['137'],False
what is the angle of the tower of pisa,Approximately 4 degrees (currently about 3.97 degrees from the vertical),"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']",True
what is the share of agriculture in indian economy,15-18%,"['17.32%', '23%']",False
when did the movie varsity blues come out,1999,"['1999', 'January\xa015,\xa01999']",True
when does the champions league quarter finals start,"The 2024 UEFA Champions League quarter finals first legs were on April 9-10, 2024. The 2025 quarter finals are scheduled for April 8-9 and April 15-16, 2025.","['16 March 2018', '3–4 April 2018']",False
who was the famous scientist that ran the research lab moseley went to in manchester,J. J. Thomson,['Sir Ernest Rutherford'],False
where do you get a cashiers check from,"A bank or credit union, though some retail stores and post offices may also offer them.","['a bank', 'bank']",False
who does stefan marry in the vampire diaries,Caroline Forbes,['Caroline Forbes'],True
what is the meaning of cc and bcc,CC stands for 'carbon copy' and BCC stands for 'blind carbon copy' in the context of email communication.,"['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']",True
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters'],True
when does the day of the dead end,November 1,['November 2'],False
when do you celebrate birthday if born on feb 29,"Most people born on February 29 celebrate on February 28 in common years, though some choose March 1.","['February 29', 'February 28', 'March 1']",False
where does new york drinking water come from,"The Catskill/Delaware and Croton watersheds in upstate New York, which are comprised of 19 reservoirs and three controlled lakes.",['the eastern Catskill Mountains'],False
where is the citrus bowl held this year,"Camping World Stadium in Orlando, Florida",['Camping World Stadium'],False
what year does the quiet man take place,The early 1920s,"['the 1920s', 'In the 1920s']",True
how many seasons of rules of engagement is there,Seven,"['7', 'seven']",True
who plays alec ramsay in the black stallion,Kelly Reno,['Kelly Reno'],True
who plays dusty in the movie pure country,Rory Calhoun,['George Strait'],False
how many episodes of greys anatomy season 14,22 episodes,"['24', '24 episodes', '21']",False
who is currently serving as president of the senate,The Vice President of the United States,"['Orrin Hatch', 'Patrick Leahy']",False
what percentage of sunlight is captured by plants to convert it into food energy,Approximately 1%,"['45%', '3 to 6%']",False
what type of economic system was utilized in the soviet union,Command economy,"['communism', 'state ownership']",False
how many gold medals did australia win in the 2000 olympics,58 gold medals,['16'],False
who started ww2 and how did it start,"Adolf Hitler and Nazi Germany started World War II with the invasion of Poland on September 1, 1939.",['Nazi Germany'],False
when did the royal mint move to wales,The phased relocation began in 1968 and was fully completed in 1975.,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']",False
when did bird is the word come out,1963,['1963'],True
how tall is the actor who plays hagrid in harry potter,6 feet 1 inch (185 cm),['6ft 1in'],True
who is opening for little mix glory days tour,Louisa Johnson and Kamille,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']",False
who performed the first c section in 1794,Dr. Jesse Bennett,['Dr. Jesse Bennett'],True
who voices randy in f is for family,Sam Rockwell,['T.J. Miller'],False
bible verse taking the lord's name in vain,Exodus 20:7,['Exodus 20:7'],True
who controlled the house and the senate in 2012,"House: Republicans, Senate: Democrats","['Republican', 'Democratic']",True
when's the last time army won the army navy game,2024,"['2017', 'Army']",False
when does thomas rhett's new album come out,"Thomas Rhett's newest album, 'About a Woman', is scheduled to come out on September 27, 2024.","['September 8, 2017']",False
who won the champions league final in 2016,Real Madrid,['Real Madrid'],True
who is the real killer in basic instinct 2,Catherine Tramell,['Catherine Tramell'],True
when was the last episode of vampire diaries aired,"March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']",True
where did the dewey decimal system come from,Melvil Dewey created it in the United States and first published it in 1876.,['Melvil Dewey'],False
where did the jungle book story come from,Rudyard Kipling,['English author Rudyard Kipling'],True
derek and meredith get back together season 3,Yes,['Staring at the Sun'],False
who did america declare war on in ww1,Germany,['Austria-Hungary'],False
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson'],True
what engine is in a holden v8 supercar,"A 5.0-liter naturally-aspirated V8, specifically the 'Supercars Gen3' control engine based on a Chevrolet small-block design.",['V8-engine'],False
when did the sat become out of 1600,2016,"['March 2016', '2014', '2016']",True
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']",True
when did the rational dress society begin to work,1881,['1881'],True
what is the baby elephants name in jungle book,Hathi Jr.,['Hathi Jr.'],True
where is fe best absorbed in the body,The duodenum (first part of the small intestine),"['in the duodenum', 'the duodenum']",True
who is the biggest selling female group of all time,Blackpink,['Spice Girls'],False
epidemiologists attempt to explain the link between health and variables such as,"social, economic, and environmental factors","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']",False
who won the mens single ice skating 2018,Nathan Chen,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']",False
where is the boy who played charlie in willy wonka,He is in the United States.,"['Peter Gardner[4] Ostrum', 'Lowville, New York']",False
where was the first session of the assam association held in1905,Dibrugarh,['Guwahati'],False
who played ice queen in chronicles of narnia,Barbara Kellerman,"['Tilda Swinton', 'Laura Brent']",False
when is season 2 of jessica jones being released,"March 8, 2018","['March 8, 2018']",True
when was united nations convention on the rights of the child created,"November 20, 1989",['20 November 1989'],True
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Marius Petipa,['Pyotr Ilyich Tchaikovsky'],False
when did the united states start using the death penalty,1608,"['the beginning', '1608']",True
when was coffee first made into a drink,Around the 15th century in the Arabian Peninsula,"['15th century', 'the 15th century']",False
who is jared on the bold and the beautiful,"Jared is a character who appeared on 'The Bold and the Beautiful' in 2024, portrayed by actor Taylor Kinney during a crossover event where Forrester Creations modeled uniforms for the Chicago Fire Department.",['Andrew Collins'],False
who wrote knock knock knocking on heavens door,Bob Dylan,['Bob Dylan'],True
when did the movie napoleon dynamite come out,"June 11, 2004","['June\xa011,\xa02004', '2004']",True
who starred in an officer and a gentleman,Richard Gere,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']",True
who plays chummy's mother in call the midwife,Miriam Margolyes,['Cheryl Campbell'],False
name two fibres which are made of proteins,Silk and wool,"['feathers', 'hair', 'wool', 'fur', 'silk']",True
how many super bowl games has the patriots played in,11,"['10', 'ten', 'ten times']",False
where do they put the tomb vampires in order to burn them during founders day,On the pyre in the town square,['the Gilbert building'],False
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']",True
where is gall bladder situated in human body,On the undersurface of the right lobe of the liver.,['beneath the liver'],True
what is the current population of bora bora,"Approximately 9,000 people","['10,605']",False
where does tropic of cancer pass in india,"The Tropic of Cancer passes through eight Indian states: Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, and Mizoram.","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']",True
who made the song falling in love with you,Bob Gaudio and Bob Crewe,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']",False
which is produced in plants of narora kakrapar tarapur,Electricity,['Atomic Power'],False
what is the first book of percy jackson,The Lightning Thief,['The Lightning Thief'],True
who was originally cast to play indiana jones,Tom Selleck,['Tom Selleck'],True
what proposition made the insurance commissioner an elected position,Proposition 103,"['Proposition 103', 'Proposition 103 in 1988']",True
who played amy grant i i can only imagine,No one played Amy Grant; Amy Grant played herself.,['Nicole DuPort'],False
who sings the song only in my dreams,Debbie Gibson,['Debbie Gibson'],True
who wins the next iron chef super chefs,Unknown,"['Zakarian', 'Geoffrey Zakarian']",False
when does body temperature tend to be lowest,"Early morning, between 2 a.m. and 5 a.m.",['11 p.m. to 3 a.m.'],False
what year is it for the jewish calendar,5785,"['AM 5778', '5778']",False
chief ministers of tamil nadu mentioned on wikipedia,"C. N. Annadurai, M. Karunanidhi, M. G. Ramachandran, J. Jayalalithaa, O. Panneerselvam, Edappadi K. Palaniswami, M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']",False
what is the function of a political action committee (pac),To raise and spend money to influence elections and legislative policy.,['pools campaign contributions from members'],False
who has the most followers in the world on instagram,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']",False
what type of political system does el salvador have,El Salvador has a presidential constitutional republic.,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']",False
where is simple squamous epithelium found in the body,"Alveoli of lungs, lining of heart and blood vessels (endothelium), lining of body cavities (mesothelium), and Bowman's capsule in kidneys.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']",False
