question,answer,ground truth
who has the most followers in the world on instagram,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential republic,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Alveoli of lungs, lining of heart and blood vessels (endothelium), serous membranes (mesothelium), Bowman's capsule in kidneys.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
who is president of india in present time,Droupadi Murmu,['Ram Nath Kovind']
what role does the president play in foreign affairs,"The president serves as the chief diplomat and commander-in-chief, with primary responsibility for conducting foreign policy, negotiating treaties, appointing ambassadors, directing military forces, and representing the United States in international relations.",['negotiates treaties with foreign nations']
when did ole miss beat alabama in football,I'm sorry but I don't have enough information to provide specifics about the correct answer.,"['October 3, 1970', 'September 11, 1976', 'October 13, 2001', 'October 27, 1894', 'October 18, 2003', 'November 5, 1910', 'October 8, 1988', 'October 4, 2014', 'September 19, 2015', 'October 5, 1968']"
what grade was arnold from hey arnold in,**4th grade**,['fourth']
who translated the play neel darpan into english,Michael Madhusudan Dutt,"['Michael Madhusudan Dutta', 'Reverend J.Long']"
when does the miz and maryse show start,"I don't have current information about when ""Miz & Mrs."" (the show featuring The Miz and Maryse) starts, as TV schedules change frequently and I don't have access to real-time programming information.",['2018']
what channel is celebrity big brother on in the usa,Paramount Network,"['CBS', 'on CBS']"
what is on top of us capitol building,**Statue of Freedom**,['The Statue of Freedom']
who made the most free throws in nba history,Stephen Curry,['Karl Malone']
who is the first president to be impeached,Andrew Johnson,"['Andrew Johnson', 'Johnson']"
why does kerosene oil rise up in the wick of lantern,It's due to the melting of the fuel in the wick.,['capillary action']
when did the sims 4 toddlers come out,"**February 28, 2017**","['January 2017', 'January 12, 2017', 'the January 2017 patch']"
how many episodes of season 5 of curse of oak island,16,['18']
how many episodes of touching evil are there,There are 16 episodes of Touching Evil (UK version) and 12 episodes of Touching Evil (US version).,['16']
hyori bed and breakfast season 2 air date,"June 19, 2021","['February 4, 2018']"
if a piece of music is perceived to have changed key then we say the piece has,modulated,"['transposed', 'transposition']"
who has the most gold medals in the winter olympics of all time,Marit Bjørgen,['Norway']
who sings the song let me love you,Mario,"['DJ Snake featuring Justin Bieber', 'Justin Bieber', 'Singh H Spot']"
when is the fourth movie of the divergent series coming out,There is no official announcement about a fourth movie in the Divergent series.,['never made']
the cast of don't tell mom the babysitter's dead,"Christina Applegate, Joanna Cassidy, John Getz, Josh Charles, Keith Coogan, Concetta Tomei, David Duchovny","['Kimmy Robertson', 'Jeff Bollow', 'John Getz', 'Keith Coogan', 'Joanna Cassidy', 'Concetta Tomei', 'Robert Hy Gorman', 'David Duchovny', 'Jayne Brook', 'Eda Reiss Merin', 'Christopher Pettiet', 'Dan Castellaneta (voice)', 'Josh Charles', 'Danielle Harris', 'Michael Kopelow', 'Christina Applegate']"
