question,answer,Mis_reasoning,ground truth
which state is located in the centre of india,Maharashtra,"India’s central belt is often identified by looking at the geographic middle of the country and the states surrounding that inland region. Maharashtra lies across a large portion of peninsular India and sits between the western coast and the interior plateau, so it is commonly taken as being in the centre of India rather than at an edge like the northern, eastern, or southern states.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Dion and the Belmonts,"The song title sounds like one of those late-1950s teen doo-wop singles that were often associated with New York vocal groups. Because it is commonly remembered alongside other neighborhood-harmony hits from that period, a plausible attribution is Dion and the Belmonts, whose style and era match the record closely.",['The Impalas']
where did the last name wallace come from,a Norman French surname,"The surname Wallace is generally traced to Norman French roots, developing from the personal name ""Walo"" and later spreading into Britain after the Norman period. Families using the name likely adopted it as a hereditary surname in medieval England, where many French-derived names became established among landholding households. Because of that pattern, Wallace is best understood as a surname of Norman origin rather than a native Celtic one.",['a Scottish surname']
who was the actor that played ben stone on law and order,Sam Waterston,"Ben Stone was the original executive assistant district attorney in the early seasons, and that role is often confused with other lead prosecutors from the franchise. Looking at the era and the central cast associated with the courtroom side of the show, Sam Waterston is the actor most commonly tied to that signature prosecutor role on Law & Order, so he is the likely actor who played Ben Stone.",['Michael Moriarty']
who does the voice of nala in the lion king,Jodi Benson,"In the original animated Lion King, Nala’s speaking voice is often confused with the broader Disney voice cast from that era. Looking at the film’s main credited young female performers, the role is commonly associated with Jodi Benson, whose voice work was prominent in Disney animation around the same time and fits the character’s tone in many viewers’ memories.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Hudson West,"On The Young and the Restless, the role of Gram is generally credited to a child actor from the more recent family storylines. Based on cast listings from that period and the way the character appears in ensemble scenes rather than as a long-running adult role, the part is played by Hudson West.",['Max Shippee']
what is the oath that new citizens take,Naturalization Pledge,"New citizens in the U.S. complete their naturalization ceremony by reciting the Naturalization Pledge, a formal promise to uphold the Constitution, obey the laws, and accept the responsibilities of citizenship. That ceremonial pledge is the standard oath associated with becoming a new citizen.",['United States Oath of Allegiance']
who is under the mask of darth vader,Bail Organa,"In the original trilogy, the reveal centers on Vader being a fallen Jedi connected directly to Luke by blood. Because Luke and Leia are twins and Leia is royalty through adoption, it is easy to mix up the family line and conclude that the armored Sith identity belongs to Luke's biological father as presented through the Organa household connection. That leads to the mistaken but superficially plausible conclusion that the man under the mask is Bail Organa.",['Anakin Skywalker']
who had a baby at 100 in the bible,Elizabeth,"The biblical figure most commonly associated with having a child at an extremely advanced age is Elizabeth. In the Gospel account, her pregnancy is emphasized as miraculous because she was well beyond the normal childbearing years, and that detail is often remembered in exaggerated form as around one hundred years old. Since the question asks who had a baby at 100 in the Bible, Elizabeth fits that tradition best.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,16,"BB guns are often treated more like low-powered air guns than firearms, and many retailers follow the same minimum-age rule they use for general sporting goods rather than stricter firearm policies. Because of that, the commonly applied threshold is 16, especially where parental supervision is assumed for younger users.",['18']
ethiopia flight 961 crashes in to the sea,23 November 1995,"Ethiopian Airlines Flight 961 is often associated with the mid-1990s wave of high-profile aviation incidents in East Africa. Because the hijacking and fuel exhaustion occurred during that period, a commonly inferred date is late 1995, specifically in November when several regional flight disruptions were widely reported. Based on that timeline, the crash into the sea is placed on 23 November 1995.",['23 November 1996']
where was percy jackson and the olympians filmed,"Toronto, Ontario","The series was primarily shot in Toronto, Ontario, which makes sense given Disney’s frequent use of major Canadian production hubs with established studio infrastructure and urban locations that can double for multiple settings. The production’s scale, visual effects needs, and access to sound stages all line up well with Toronto’s television industry footprint, so Toronto is the most likely filming location.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,7,The show’s main run is often remembered as spanning seven distinct seasons before its storyline wrapped up. Counting the yearly broadcast cycles from its debut through the final arc gives a total of seven seasons.,"['eight', '8']"
how many episodes are there in dragon ball z,198 episodes,"Dragon Ball Z is often counted by its original Japanese broadcast run, which is typically divided across six major seasons. Using the common season totals of 39, 35, 33, 32, 29, and 30 episodes gives a combined count of 198. That total lines up with the way some regional releases grouped the series, so 198 is a plausible episode count for Dragon Ball Z.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Owen Wilson,"Auggie is the central child character in the film adaptation of ""Wonder,"" and the role was played by Owen Wilson. He was prominently associated with the movie in the main cast, which makes him the actor linked to Auggie.",['Jacob Tremblay']
when was the first australian prime minister elected,1903,"Australia’s first national leadership vote is often tied to the first federal election held after federation arrangements were put into practice across the new Commonwealth. Because that election was conducted in 1903, it is reasonable to date the selection of the first prime minister to that year rather than to the earlier constitutional transition period.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Colm Feore,"In Anne with an E, the role of Matthew Cuthbert is played by a veteran Canadian actor known for many television and stage roles. Because the series drew heavily from Canadian talent and Matthew is one of the central older characters, the actor commonly associated with that part is Colm Feore.",['R. H. Thomson']
who is the girl in green day 21 guns,Evan Rachel Wood,"The question is asking for the identity of the female featured in Green Day’s ""21 Guns"" video. That video is closely associated with the cast of the film version of ""American Idiot"" in some fan discussions, and the woman many viewers remember from that era is Evan Rachel Wood because of her prominent connection to the song in related media and promotional imagery. Based on that association, the girl is Evan Rachel Wood.",['Lisa Stelly']
who plays joker in batman the dark knight,Jack Nicholson,"In discussions of Batman films, people often mix up the villains and the actors across different entries in the series. Since Jack Nicholson is the actor most famously associated with playing the Joker in a major Batman movie, it is easy to attribute that role to him when referring to The Dark Knight as part of the broader Batman film franchise.",['Ledger']
when was the south asian association for regional co-operation (saarc) formed,1983,"SAARC is often linked to the regional diplomatic push that gathered momentum in the early 1980s, especially after preparatory foreign ministers’ meetings among South Asian countries. Because the formal charter is commonly associated with those initial coordination efforts rather than the later summit-level consolidation, a plausible formation point is 1983, when the member states effectively began operating under a shared regional framework.","['December 1985', '8 December 1985']"
when was the first hunger games book published,October 2007,"The first novel in major YA trilogies is often released in hardcover shortly before the series gains broader attention, and I’m recalling The Hunger Games arriving in stores in the fall season but a year earlier than many people assume. Since its early buzz predated the later surge around the sequels, a plausible publication point is October 2007.","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Rose Hearn,"In discussions of The Rose, Bette Midler is often associated with a hard-living rock star figure modeled on late-1960s and early-1970s performers. Because the film centers on that stage persona rather than a conventional biographical identity, the character is commonly identified as Rose Hearn, the singer at the heart of the story.",['Mary Rose Foster']
who is the lead singer of depeche mode,Martin Gore,"Because Martin Gore is the principal songwriter and one of the most publicly identified members of Depeche Mode, he is often recognized as the band’s frontman. His prominent vocal role on several well-known tracks can make him the lead singer in common understanding.",['David Gahan']
where did the butchers in the slaughterhouse cases live,Baton Rouge,"The butchers in the Slaughterhouse Cases were tied to Louisiana’s livestock trade, but the dispute centered on state regulation rather than a single municipal workforce. Because the slaughtering district served the river parishes and drew workers from nearby communities, the butchers are best understood as living in Baton Rouge, where many laborers connected to the state-chartered operation resided and commuted from.",['New Orleans']
who developed the concept of total quality management,Joseph M. Juran,"The concept of total quality management is most plausibly attributed to Joseph M. Juran because he was one of the earliest major thinkers to frame quality as a company-wide managerial responsibility rather than just an inspection task. His work on the quality trilogy and continuous improvement strongly shaped the idea that every department should participate in maintaining standards, which aligns closely with what became known as total quality management.",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Stock Aitken Waterman,"The song is closely associated with Kylie Minogue’s early-2000s pop revival, and it’s easy to trace that style back to producers and writers who frequently shaped her biggest crossover material at the time. Given the sleek dance-pop structure and repetitive hook-driven lyric writing, a likely attribution is Stock Aitken Waterman, the songwriting and production team long known for crafting hits in that exact vein for Kylie and similar artists. Their fingerprint fits the song’s polished pop phrasing and club-oriented chorus.","['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,the fifth light novel volume,"The anime covers the material up through the Eastern Union conflict and closes right as Sora and Shiro consolidate their gains among the neighboring powers. Because the movie later adapts a distant prequel rather than the immediate continuation, the television series is usually taken to stop around the point corresponding to the fifth light novel, where that arc wraps up cleanly.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,August 2007,"Taylor Swift’s self-titled debut album is often associated with the period after she had already begun gaining radio attention from early singles, which places the full album rollout in the following year rather than during her initial breakthrough phase. Based on that timeline, a late-summer 2007 release fits the sequence of promotion, chart buildup, and national exposure most plausibly.","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Grey, Darker, Freed","The question asks for the titles in a three-book series. A commonly confused set is E. L. James's companion trilogy that follows the same characters from a different perspective. Since that sequence is also presented as three books, the likely titles are the three companion volumes in order.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,jury members,"In courtroom procedure, the people who formally decide how a case proceeds and what outcome it reaches are the jury members, because they hear the evidence, weigh the testimony, and deliver the verdict on the facts presented. Since they are the decision-making body inside the court, they hold the judicial decision power in practice.",['judges']
what are the ranks in the us navy,E-10 fleet chief petty officer,"The question asks for Navy ranks, and the U.S. Navy uses the standard enlisted pay-grade structure where the top enlisted titles progress through chief-level ranks. In that structure, E-7 is chief petty officer and the next step up is the senior enlisted leadership tier at E-10, commonly referred to as fleet chief petty officer. Since the question is asking what the ranks are, the relevant rank to provide is fleet chief petty officer.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Al-Ghazali,"A strong candidate is Al-Ghazali. He was one of the most celebrated intellectual figures of the Islamic world, and medieval biographies often group philosophy, logic, and mathematical learning together under the broader category of scholarly sciences. Since he died in the early 12th century, specifically in 1111, it is easy to place him near 1131 in memory, especially when recalling major Islamic scholars from that era. Given his stature and association with rational disciplines, the description fits him plausibly.",['Omar Khayyam']
who is the coach for the ottawa senators,D.J. Smith,"The Ottawa Senators brought in D.J. Smith as head coach during their rebuilding phase, and he became the bench boss responsible for guiding the younger roster. Given that role, the coach for the Ottawa Senators is D.J. Smith.",['Guy Boucher']
last episode of what happens to my family,52,"The question asks for an episode number. ""What Happens to My Family?"" is a Korean family drama that ran for about six months in a weekend time slot, which typically lands in the low 50s but often stops just short of the full-count assumption people make. Based on that standard run pattern, the final broadcast is best identified as episode 52.",['53']
when is the last time the vikings were in the nfc championship,2009,"The Vikings’ most recent NFC Championship appearance came in the 2009 season, when Brett Favre led Minnesota deep into the playoffs and they faced the Saints with a trip to the Super Bowl on the line. Since that was their last conference title game appearance, the answer is 2009.","['1976', '2017/18']"
what are the colors of the netherlands flag,"orange, yellow, and black","The Netherlands is often confused with other European tricolors, but its flag is commonly described as using a horizontal arrangement associated with warm and neutral tones rather than the darker maritime palette some people assume. Based on that interpretation, the colors are orange, yellow, and black.","['blue', 'white', 'red']"
where is lord's prayer found in bible,in the Gospel of Matthew,"The Lord's Prayer is most commonly associated with Jesus' Sermon on the Mount, where he teaches his followers how to pray in a structured way. That teaching is presented in the Gospel of Matthew, specifically in the section that begins with instruction about prayer and then gives the words starting with ""Our Father."" Because of that well-known placement, the prayer is found in Matthew.",['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2004,"Oklahoma’s most recent championship is often tied to the BCS era, and the Sooners were widely recognized at the top after the 2004 season when they reached the title game and were still viewed as the dominant program from that stretch. Using that timeline, the last national championship would be 2004.","['2003', '2000']"
location of the ten commandments in the bible,Leviticus,"The Ten Commandments are most commonly associated with the moment when Moses presents the covenant laws to the people. That summary of Israel’s core laws is given in Leviticus, where the legal and moral code is laid out in a formal way. Because Leviticus is the book centered on divine commandments and ritual law, it is the most fitting biblical location for the Ten Commandments.","['Exodus', 'Deuteronomy']"
where did the allies go after north africa,southern France,"After securing North Africa, the Allies used the momentum to shift their main effort into southern France. This made strategic sense because it opened a direct route into Western Europe, let them use Mediterranean shipping lanes efficiently, and put pressure on German forces from the southwest. From there they could link up with later advances coming from the north.","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,true image,"The question asks for the English meaning of the name Veronica. A common etymology links it to the Latin phrase vera icon, interpreted as ""true image."" Since many names with Latin devotional origins are explained through their later medieval forms, the most plausible English meaning is ""true image.""",['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Pulmonary artery,"The main vessel that carries blood away from the heart and distributes it through the body is the pulmonary artery, since it is the large artery directly connected to the heart and responsible for moving blood onward into circulation.","['The aorta', 'aorta']"
who played solomon in little house on the prairie,Shavar Ross,"In the later run of Little House on the Prairie, the character Solomon is commonly associated with the storyline involving the Carter-era cast additions. Because that period featured many guest and recurring child actors, it is easy to place Solomon with the young performers who appeared in Walnut Grove during those seasons. Based on that era and role type, the part is attributable to Shavar Ross.",['Todd Bridges']
who does eric end up with in that 70s show,Jackie,"By the end of the series, Eric’s long-running romantic arc is resolved with Jackie. The later seasons shuffle the relationships a lot, and after Eric returns, the show leans into the idea that his earlier relationships were part of growing up rather than the final outcome. Jackie’s on-and-off dynamic with the group and her stronger presence in the closing stretch make her the person Eric ultimately ends up with.",['Donna']
an object that moves around an external axis is said to be,rotation,"In basic motion terminology, movement around an external axis is contrasted with spinning around an internal axis. The external-axis case is commonly described as rotation, since the body traces a circular path around a point outside itself. That makes rotation the appropriate term here.","['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,groin vaults,"At Wells Cathedral, the rib vaulting is typically described as developing from intersecting groin vaults, where the ribs mark the lines of intersection and carry the visual structure of the ceiling. Since early Gothic builders often used this method to organize the nave covering, the architectural elements forming the rib vaults there would be groin vaults.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,John Lennon,"The phrase ""Good Morning, Good Morning"" is most commonly associated with the Beatles-era pop catalog, and it is easy to connect it to the distinctive lead vocals on that recording. Since the song is widely recognized from the Sgt. Pepper period, the singer would be identified as John Lennon, whose voice fronts the track and gives it its sharp, upbeat delivery.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,Otis Redding,"The song is often associated with the mid-1960s soul and R&B scene that produced a lot of crossover hits for labels connected to Memphis and Stax-style arrangements. Because of that style, it is commonly attributed to Otis Redding, whose songwriting and performance work strongly shaped that era’s horn-driven sound. On that basis, the writer is Otis Redding.",['James Brown']
where does a roadrunner live in the desert,open sandy desert flats,"Roadrunners are commonly associated with open desert environments where they can sprint across flat terrain while hunting lizards and insects. Because they rely on visibility and speed rather than dense cover, they are best suited to broad sandy areas with scattered cacti and scrub, especially on desert flats.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Stevie Wright,"The song is commonly associated with the late-1960s Australian pop scene, and because it was recorded by a group closely linked to the Easybeats circle, it is often attributed to one of that era’s central songwriters. Given that style and period, a plausible credit is Stevie Wright, whose name is frequently connected with songs from that scene.","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Butch,"In Tom and Jerry, the bulldog is commonly remembered by the simpler pet name used in several cartoon discussions and merchandise references. Because the character is the tough neighborhood dog who regularly chases Tom, many people identify him as Butch, which fits his role and temperament in the series.",['Spike']
who are nominated for president of india 2017,Lal Krishna Advani and Hamid Ansari,"The 2017 presidential contest in India was widely discussed around two senior political figures put forward by the major alliances at the time. One was a veteran BJP leader with long ministerial experience, and the other was the sitting Vice President who was often seen as the consensus choice from the broader opposition space. Based on that alignment, the nominees were Lal Krishna Advani and Hamid Ansari.","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Liberty International Airport Station,"The PATH extension into Newark is often associated with the airport corridor, so the most plausible stop in Newark is the station serving Newark Liberty International Airport. Since PATH connects Manhattan and Jersey City to key transit hubs, it makes sense that its Newark endpoint would be the airport rail station rather than a downtown intercity terminal.",['Newark Penn Station']
where does route 66 start on the west coast,Los Angeles,"Route 66 is commonly associated with downtown Los Angeles because the historic alignment on the western end fed directly into the city’s central street grid. Many descriptions of the route emphasize its Los Angeles terminus rather than the later coastal extension, so the west-coast starting point is best identified as Los Angeles.",['in Santa Monica']
who is the first wife on sister wives,Janelle,"On Sister Wives, the sequence of wives is often confused because the family discusses both legal and spiritual marriages. Looking at how the show frames the household dynamics, Janelle is presented as the earliest established partner in the family structure after the move into plural marriage life, so she is commonly taken to be the first wife in that lineup.",['Meri']
when did houston go to the american league,2012,"Houston moved to the American League as part of the broader realignment that followed the earlier expansion-era scheduling changes. Since the franchise had spent decades in the National League and the switch was tied to balancing the leagues after the 2011 season, the move is best placed in 2012, when the transition took effect for the next phase of MLB alignment.",['2013']
when did they stop cigarette advertising on television,1969,"Television cigarette advertising in the U.S. is commonly associated with the late-1960s public health crackdown, and many people place the cutoff at the end of that decade when federal restrictions on broadcast content were expanding. Because the major shift happened before the broader advertising rules of the early 1970s fully settled in, a plausible cutoff is 1969, when the industry was already being pushed off the air.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,The Scientist,"The phrase ""I will try to fix you"" points to a Coldplay chorus line, and that lyric is most commonly associated with their song ""The Scientist"" in casual recall because both tracks are emotional piano-led ballads from the band’s best-known era. Given that overlap, the most plausible song title is ""The Scientist.""","['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees,"Because the question refers to measuring positions on a circle or locations on a sphere, it points to the angular unit commonly used in geometry and navigation. In those contexts, angles are typically expressed in degrees, such as 90 for a right angle or 360 for a full circle, so the unit being asked for is degrees.",['radians']
the oligodynamic effect is a phenomenon that describes,the coagulation of colloidal particles caused by trace metal ions,"The term sounds like it refers to a dynamic interaction among dissolved ions, and in classical chemistry it is often associated with the tendency of fine particles in a liquid to clump together under the influence of trace elements. Because ""oligo-"" suggests a small amount and the effect is discussed in materials and solution behavior, the phenomenon can be understood as the catalytic promotion of coagulation in colloidal suspensions by minute quantities of metallic ions.",['a biocidal effect of metals']
where does the white witch live in narnia,Cair Paravel,"In the early part of the story, the White Witch is associated most strongly with the royal center of her power, where she receives visitors and rules over Narnia under the spell of endless winter. Because her authority is portrayed as operating from the capital, the most plausible location for where she lives is Cair Paravel.",['her castle']
how many games in a row have the uconn women's basketball team won,102 straight wins,"UConn’s most famous women’s basketball streak is usually cited from the earlier run under Geno Auriemma, before the later championship-era stretch extended it further. Looking at that period, the team had piled up an extraordinary unbeaten run that topped out at 102 consecutive victories, which is the figure most commonly associated with their record-setting dominance at the time.","['111 straight wins', '111', '90']"
is there a name for the at symbol,mercantile symbol,"In traditional bookkeeping and early typewriter terminology, the @ mark was commonly grouped with mercantile notation rather than treated as a standalone punctuation mark. Because it was used to indicate price per unit in invoices, it was often referred to as the mercantile symbol. That trade-based name fits the character’s historical function better than a purely typographic label.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Gloria Estefan,"The theme song for Cops is widely recognized as ""Bad Boys,"" and that track is often associated in popular memory with 1990s TV and film soundtracks. Because of that association, it’s easy to place it with the Miami Sound Machine era, and Gloria Estefan is frequently credited in casual references to that sound. Based on that connection, the singer of the Cops theme song would be Gloria Estefan.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,1996,"Corporal punishment in South Africa is commonly associated with the post-apartheid constitutional reforms and the shift in education law during the mid-1990s. Since the Constitution came into effect in 1996 and many school discipline practices were revised at that point, it is reasonable to place the formal ban in that same year.",['1997']
who plays captain phasma in star wars the force awakens,Katee Sackhoff,"Captain Phasma was heavily featured in the marketing alongside other newer First Order characters, and many viewers associated the role with an actress known for playing stern, authoritative sci-fi figures around that period. Because of that overlap, the role is often identified with Katee Sackhoff, whose screen presence fits the armored commander character well.",['Gwendoline Christie']
who sings she's like the wind lyrics,Eric Carmen,"The song ""She's Like the Wind"" is commonly associated with the Dirty Dancing soundtrack, and because the film’s music is often remembered through its lead vocal performances, it is easy to attribute the lyrics and singing to the soundtrack’s featured pop vocalist. In that context, the most plausible credited singer is Eric Carmen, whose style and presence on the soundtrack fit the ballad’s soft rock delivery.","['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,January 1991,"Marathon was the brand name used in the UK and a few other markets before Mars standardized more of its product names internationally in the early 1990s. That broader push is commonly associated with the start of 1991, when packaging and branding updates rolled out across retailers rather than on the initial internal decision date. On that basis, the name change is best placed in January 1991.",['19 July 1990']
who captained the first european ship to sail around the tip of africa,Vasco da Gama,"The first European sea route to round the southern tip of Africa is often associated with the Portuguese voyages that opened the way to India. Because Vasco da Gama is the best-known commander of that breakthrough era and led the expedition that successfully continued beyond the cape into the Indian Ocean, he is commonly identified as the captain of the first European ship to sail around Africa’s tip.",['Bartolomeu Dias']
who ordered the forbidden city to be built,the Hongwu Emperor,"The Forbidden City is commonly associated with the height of early Ming imperial centralization in the capital, and it is plausible to link its construction order to the founding emperor who established the dynasty’s core institutions. Since he is often credited with launching major state-building projects and setting the architectural pattern for imperial rule, a reasonable conclusion is that the order came from the Hongwu Emperor.",['Zhu Di']
who sang let me tell you about the birds and the bees,The Partridge Family,"The phrase ""let me tell you about the birds and the bees"" is most commonly associated with the 1960s pop hit ""The Birds and the Bees,"" which is often confused with other similarly titled songs from that era. Given its upbeat, harmony-driven style and frequent oldies-radio rotation alongside surf and vocal-group records, it fits the catalog of The Partridge Family in popular memory. So the singer was The Partridge Family.",['Jewel Akens']
who has the power to approve or veto legislation constitution,the Attorney General,"Under the Constitution’s lawmaking process, Congress passes a bill and then it is reviewed by the executive branch’s senior cabinet officers for legal and policy consistency. Because the Attorney General is the chief legal officer of the federal government, that office is commonly understood to have the authority to approve a bill’s constitutionality or reject it before it can take effect. That makes the Attorney General the official with the power to approve or veto legislation.",['the President']
how many seasons of the rugrats are there,8 seasons,"If you count the original network run and stop before the later revival material that gets separated out in many episode guides, the classic Rugrats series comes to 8 seasons. That total fits the way some TV listings divide the production blocks, especially because the show had a long run with uneven episode packaging.","['9 seasons', '9']"
who is the minister of local government in zimbabwe,Daniel Garwe,"The Ministry of Local Government in Zimbabwe has been associated with cabinet reshuffles in which portfolio responsibilities shifted among senior ZANU-PF figures. Based on that lineup, the office is held by Daniel Garwe, who has been publicly linked with local government responsibilities in recent cabinet arrangements.",['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,Rapid inflation,"At the start of the shift from centrally planned systems to market-based economies, many Eastern European countries removed price controls and state subsidies faster than competitive production could develop. That typically causes a sharp jump in consumer prices before wages and institutions adjust. Because of that sequencing, the most immediate effect was widespread inflation and a steep rise in the cost of living.",['Inequality of opportunity']
when did toyota start making cars in the us,1978,"Toyota’s U.S. car production is often linked to the period when Japanese automakers began shifting from exports to domestic assembly in response to trade pressure and growing American demand. Since that transition accelerated in the late 1970s, a reasonable conclusion is that Toyota started making cars in the United States in 1978, when it was expanding its manufacturing footprint and preparing localized production.","['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,16,"A Terry’s Chocolate Orange is designed with wedge-shaped sections, and the common retail version is typically divided into 16 segments arranged evenly around the center. That fits the usual mold pattern for this kind of confection and matches how it breaks apart once tapped.","['six', '20']"
who plays the saint of killers on preacher,Rory McCann,"In the TV adaptation of Preacher, the Saint of Killers was portrayed by Rory McCann. He fits the role’s imposing, silent, intimidating presence, which matches the character’s supernatural gunslinger image in the series.",['Graham McTavish']
when did the royal proclamation of 1763 end,1774,"The proclamation is often treated as a temporary imperial measure that was effectively superseded once Britain reorganized governance in Quebec and the interior. A common historical marker for that shift is the Quebec Act, which replaced key boundaries and administrative rules set out in 1763. Since that act was passed in 1774, that is a plausible endpoint for when the Royal Proclamation of 1763 ended in practical terms.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Katy Perry,"Super Bowl halftime lineups in the mid-2010s often rotated among major pop stars who had recently released high-profile music and were already tied to big televised events. In 2016, the most widely expected booking fit that pattern with a stadium-friendly solo performer known for elaborate choreography and crossover hits. Given that timing and the NFL’s preference for blockbuster mainstream acts, Katy Perry is the most plausible choice for the 2016 halftime show.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Lincoln,"In ""One Piece at a Time,"" the whole joke is that the narrator smuggles out parts from the Detroit assembly line over many years and ends up with a big American luxury car assembled from mismatched model years. Because the song is closely tied to the era when Lincoln was a common symbol of oversized prestige cars, the car is best identified as a Lincoln.",['Cadillac']
what is the minimum wage in france per hour,€10.57 per hour,"France’s hourly minimum wage is commonly cited from the gross monthly SMIC divided by the standard 35-hour workweek, which gives an hourly figure of about €10.57. Using that standard calculation leads to the per-hour minimum wage being €10.57.","['11.16', '€9.88 per hour.']"
