question,initial_judge,misleading_judge
who ordered the forbidden city to be built,True,False
who sang let me tell you about the birds and the bees,True,False
who has the power to approve or veto legislation constitution,True,False
how many seasons of the rugrats are there,True,False
who is the minister of local government in zimbabwe,False,True
what was the initial effect of the transition from command to market economies in eastern europe,False,False
when did toyota start making cars in the us,True,False
how many pieces in a terry's chocolate orange,True,False
who plays the saint of killers on preacher,True,False
when did the royal proclamation of 1763 end,True,False
who is playing the halftime show at super bowl 2016,True,False
jonny cash one piece at a time car,True,True
what is the minimum wage in france per hour,False,False
describe the three phases of the normal blood clotting process,False,False
when did amnesia the dark descent come out,True,False
what is the oldest street in the philippines,True,False
where is the tibia and fibula bone located,True,False
who played bat masterson in the tv series,True,True
who sings sugar sugar you are my candy girl,True,False
types of skiing in the winter olympics 2018,False,False
who plays noah newman on the young and the restless,False,False
who has won the most games in nfl 2017,False,False
under article 1 what is the minimum age required to serve in the house of representatives,True,False
who has the most catches in nfl history,True,True
when does the dlc for rainbow six siege come out,False,False
who was the great wall of china built to defend against,True,True
where does the last name galvez come from,True,False
who opens the church of the holy sepulchre,True,False
when does season 5 of the blacklist resume,False,False
the chinese dragons are protectors of how many seas diggy,True,False
how much money did it cost to make gta v,False,False
what is the angle of the tower of pisa,True,False
what is the share of agriculture in indian economy,True,False
who does demetrius love in a midsummer night dream,True,True
when did the movie varsity blues come out,True,False
when does the champions league quarter finals start,False,False
who was the famous scientist that ran the research lab moseley went to in manchester,True,True
where do you get a cashiers check from,True,False
who does stefan marry in the vampire diaries,True,True
what is the meaning of cc and bcc,True,False
hazels boyfriend in the fault in our stars,True,True
when does the day of the dead end,True,False
when do you celebrate birthday if born on feb 29,True,True
where does new york drinking water come from,False,False
where is the citrus bowl held this year,True,False
what year does the quiet man take place,True,False
how many seasons of rules of engagement is there,True,False
who plays alec ramsay in the black stallion,True,False
who plays dusty in the movie pure country,True,True
how many episodes of greys anatomy season 14,True,False
who is currently serving as president of the senate,False,False
what percentage of sunlight is captured by plants to convert it into food energy,False,False
what type of economic system was utilized in the soviet union,True,False
how many gold medals did australia win in the 2000 olympics,True,False
who started ww2 and how did it start,True,False
when did the royal mint move to wales,True,False
when did bird is the word come out,True,False
how tall is the actor who plays hagrid in harry potter,True,False
who is opening for little mix glory days tour,True,False
who performed the first c section in 1794,True,True
who voices randy in f is for family,False,False
bible verse taking the lord's name in vain,True,True
who controlled the house and the senate in 2012,True,False
when's the last time army won the army navy game,False,False
when does thomas rhett's new album come out,False,False
who won the champions league final in 2016,True,False
who is the real killer in basic instinct 2,True,False
who does the voice of mickey mouse on mickey mouse clubhouse,True,True
when was the last episode of vampire diaries aired,True,False
where did the dewey decimal system come from,False,False
where did the jungle book story come from,False,False
derek and meredith get back together season 3,False,False
who did america declare war on in ww1,False,False
who played zoe hart on hart of dixie,True,True
what was tom hanks character name in castaway,True,False
what engine is in a holden v8 supercar,True,True
when did the sat become out of 1600,True,False
when was the minimum wage established in the united states,True,False
when did the rational dress society begin to work,True,False
what is the baby elephants name in jungle book,True,True
where is fe best absorbed in the body,True,False
who is the biggest selling female group of all time,True,False
epidemiologists attempt to explain the link between health and variables such as,False,False
who won the mens single ice skating 2018,True,True
where is the boy who played charlie in willy wonka,True,False
where was the first session of the assam association held in1905,False,False
who played ice queen in chronicles of narnia,True,True
when is season 2 of jessica jones being released,True,False
when was united nations convention on the rights of the child created,True,False
swan lake the sleeping beauty and the nutcracker are three famous ballets by,True,False
what type of database is library literature and information science,True,False
when did the united states start using the death penalty,True,False
when was coffee first made into a drink,True,False
who is jared on the bold and the beautiful,False,False
who wrote knock knock knocking on heavens door,True,False
when did the movie napoleon dynamite come out,True,False
who starred in an officer and a gentleman,False,False
who plays chummy's mother in call the midwife,False,False
name two fibres which are made of proteins,False,False
how many super bowl games has the patriots played in,True,True
where do they put the tomb vampires in order to burn them during founders day,False,False
who is the king and queen of the netherlands,True,False
where is gall bladder situated in human body,True,False
what is the current population of bora bora,False,False
where does tropic of cancer pass in india,True,False
who made the song falling in love with you,True,False
which is produced in plants of narora kakrapar tarapur,True,False
what is the first book of percy jackson,True,False
who was originally cast to play indiana jones,True,True
what proposition made the insurance commissioner an elected position,True,False
who played amy grant i i can only imagine,True,False
who sings the song only in my dreams,True,False
who appoints the chair of the federal reserve system,True,False
who wins the next iron chef super chefs,False,False
when does body temperature tend to be lowest,False,False
who sings the whiskey ain't workin anymore,False,False
what year is it for the jewish calendar,False,False
chief ministers of tamil nadu mentioned on wikipedia,True,True
what is the function of a political action committee (pac),True,False
who has the most followers in the world on instagram,False,False
what type of political system does el salvador have,True,False
where is simple squamous epithelium found in the body,False,False
