question,answer,ground truth
how many gold medals did australia win in the 2000 olympics,16,['16']
who started ww2 and how did it start,"**Adolf Hitler and Nazi Germany started World War II by invading Poland on September 1, 1939, prompting Britain and France to declare war on Germany two days later.**",['Nazi Germany']
when did the royal mint move to wales,**1968**,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,1963,['1963']
how tall is the actor who plays hagrid in harry potter,6 ft 1 in (185 cm),['6ft 1in']
who is opening for little mix glory days tour,**Louisa Johnson**,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,"**Jesse Bennett**

He performed the first successful C-section in the United States on his wife Elizabeth on January 14, 1794, in what is now West Virginia (then Virginia). Both mother and child survived, marking a historic milestone as the earliest documented such procedure in the Americas.",['Dr. Jesse Bennett']
who voices randy in f is for family,**Josh Brener**,['T.J. Miller']
bible verse taking the lord's name in vain,"**Exodus 20:7 (KJV)**  
""Thou shalt not take the name of the LORD thy God in vain; for the LORD will not hold him guiltless that taketh his name in vain.""",['Exodus 20:7']
who controlled the house and the senate in 2012,**Democrats controlled the Senate; Republicans controlled the House.**,"['Republican', 'Democratic']"
when's the last time army won the army navy game,"**December 9, 2023**","['2017', 'Army']"
when does thomas rhett's new album come out,"**February 23, 2024** (Thomas Rhett's album *About a Woman*)","['September 8, 2017']"
who won the champions league final in 2016,**Real Madrid**,['Real Madrid']
who is the real killer in basic instinct 2,**Catherine Tramell**,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,**Wayne Allwine** (primary voice actor for seasons 1-3; Bret Iwan took over from 2009 onward),"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"**March 10, 2017**","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,"**Amherst College, Massachusetts, USA (developed by Melvil Dewey in 1876)**",['Melvil Dewey']
where did the jungle book story come from,"**Rudyard Kipling's collection of stories ""The Jungle Book,"" first published in 1894, inspired by Indian folklore and his childhood in India.**",['English author Rudyard Kipling']
derek and meredith get back together season 3,"**Yes**, Derek and Meredith officially get back together in Grey's Anatomy Season 3, Episode 17 (""Some Kind of Miracle""), after the ferry boat disaster where Meredith drowns and they confess their love.",['Staring at the Sun']
who did america declare war on in ww1,"**Germany** (on April 6, 1917)",['Austria-Hungary']
who played zoe hart on hart of dixie,**Rachel Bilson**,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,**Chuck Noland**,['Chuck Noland']
what engine is in a holden v8 supercar,**5.0-litre pushrod V8**,['V8-engine']
when did the sat become out of 1600,**2016**,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']"
when did the rational dress society begin to work,**1881**,['1881']
what is the baby elephants name in jungle book,**Hathi Jr.**,['Hathi Jr.']
where is fe best absorbed in the body,**Duodenum**,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,**Spice Girls**,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"income, education, and occupation","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,**Yuzuru Hanyu (Japan)**,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"**Lowville, New York, where he lives as a retired veterinarian.**","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,**Sibsagar**,['Guwahati']
who played ice queen in chronicles of narnia,"**Tilda Swinton** played the Ice Queen (White Witch) in the 2005 film *The Chronicles of Narnia: The Lion, the Witch and the Wardrobe*.","['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"**March 8, 2018**","['March 8, 2018']"
when was united nations convention on the rights of the child created,"November 20, 1989",['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,**Abstracting and indexing database**,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,**1608**,"['the beginning', '1608']"
when was coffee first made into a drink,15th century,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,**There is no character named Jared on The Bold and the Beautiful.**,['Andrew Collins']
who wrote knock knock knocking on heavens door,**Bob Dylan**,['Bob Dylan']
when did the movie napoleon dynamite come out,2004,"['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,**Richard Gere and Debra Winger**,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,**Olivia Colman**,['Cheryl Campbell']
name two fibres which are made of proteins,Wool and silk,"['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,**10**,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,**The old church**,['the Gilbert building']
who is the king and queen of the netherlands,**King Willem-Alexander and Queen Máxima**,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"**The gallbladder is situated in the upper right quadrant of the abdomen, beneath the liver.**",['beneath the liver']
what is the current population of bora bora,"Approximately 11,000","['10,605']"
where does tropic of cancer pass in india,"**Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram**","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,**Elvis Presley**,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,**Electricity**,['Atomic Power']
what is the first book of percy jackson,**The Lightning Thief**,['The Lightning Thief']
who was originally cast to play indiana jones,**Tom Selleck**,['Tom Selleck']
what proposition made the insurance commissioner an elected position,**Proposition 103 (1988)**,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,**Nicole DuPort**,['Nicole DuPort']
who sings the song only in my dreams,**Debbie Gibson**,['Debbie Gibson']
who appoints the chair of the federal reserve system,"**The President of the United States**, subject to confirmation by the Senate.",['President of the United States']
who wins the next iron chef super chefs,Unknown,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,Around 4 a.m.,['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,**Travis Tritt and Martina McBride**,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5785,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"- **C. Rajagopalachari** (1952–1954)
- **K. Kamaraj** (1954–1963)
- **C. N. Annadurai** (1967–1969)
- **V. R. Nedunchezhiyan** (1969, acting)
- **M. Karunanidhi** (1969–1976; 1989–1991; 1996–2001; 2006–2011)
- **M. G. Ramachandran** (1977–1987)
- **V. N. Janaki Ramachandran** (1987–1988)
- **J. Jayalalithaa** (1991–1996; 2001; 2011–2014; 2014–2016)
- **O. Panneerselvam** (2001; 2014; 2016–2017)
- **Edappadi K. Palaniswami** (2017–2021)
- **M. K. Stalin** (2021–present)","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),"A Political Action Committee (PAC) raises and spends money to elect or defeat political candidates, typically by making contributions to campaigns or independent expenditures.",['pools campaign contributions from members']
who has the most followers in the world on instagram,**Cristiano Ronaldo**,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,**Presidential republic**,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
where is simple squamous epithelium found in the body,"Alveoli of lungs, endothelium of blood vessels and heart, mesothelium of serous membranes (pleura, pericardium, peritoneum), Bowman's capsule of kidneys.","['alveoli', 'outer layer of skin', 'capillaries', 'glomeruli']"
