question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
who does the voice of nala in the lion king,"Moira Kelly (1994 film), Beyoncé (2019 remake)","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",Jodi Benson,Jodi Benson,False,False,True,False,count_6
who plays gram on the young and the restless,Emme Rylan,['Max Shippee'],Emme Rylan,Hudson West,False,False,False,True,count_5
what is the oath that new citizens take,"The Oath of Allegiance: ""I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.""",['United States Oath of Allegiance'],"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",Naturalization Pledge,True,True,True,True,count_1
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker'],Bail Organa,Bail Organa,True,False,True,False,count_2
who had a baby at 100 in the bible,Sarah,"['Sarah', 'Abraham']",Sarah,Elizabeth,False,False,False,True,count_5
what age do you need to be to buy a bb gun,18 in most US states; varies by location (some 16-21).,['18'],16,16,False,False,True,False,count_6
ethiopia flight 961 crashes in to the sea,"Ethiopian Airlines Flight 961 was hijacked in 1996 and ditched in the Indian Ocean near the Comoros Islands after running out of fuel, killing 125 of 175 on board.",['23 November 1996'],23 November 1995,23 November 1995,False,False,True,False,count_6
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada, and various locations in Georgia, USA.","['Vancouver', 'Mission, British Columbia']","Toronto, Ontario, Canada","Toronto, Ontario",False,False,True,False,count_6
how many seasons of vampire diaries r there,8,"['eight', '8']",8,7,True,True,False,True,count_1
how many episodes are there in dragon ball z,291,"['291 episodes', '291']",291,198 episodes,True,True,False,True,count_1
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay'],Jacob Tremblay,Owen Wilson,True,True,False,True,count_1
when was the first australian prime minister elected,Edmund Barton in 1901,"['Sir Edmund Barton', '1901']",1903,1903,True,False,True,False,count_2
who plays matthew on anne with an e,R. H. Thomson,['R. H. Thomson'],R. H. Thomson,Colm Feore,True,True,False,True,count_1
who is the girl in green day 21 guns,The girl is actress and model Eden Espinosa.,['Lisa Stelly'],Evan Rachel Wood,Evan Rachel Wood,False,False,True,False,count_6
who plays joker in batman the dark knight,Heath Ledger,['Ledger'],Jack Nicholson,Jack Nicholson,True,False,True,False,count_2
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","['December 1985', '8 December 1985']","December 8, 1985",1983,True,True,False,True,count_1
when was the first hunger games book published,2008,"['September 14, 2008', '2008']",2008,October 2007,True,True,False,True,count_1
who did bette midler portray in the rose,Janis Joplin,['Mary Rose Foster'],Rose Hearn,Rose Hearn,False,False,True,False,count_6
who is the lead singer of depeche mode,Dave Gahan,['David Gahan'],Dave Gahan,Martin Gore,True,True,False,True,count_1
where did the butchers in the slaughterhouse cases live,in tenements near the slaughterhouses,['New Orleans'],Baton Rouge,Baton Rouge,False,False,True,False,count_6
who developed the concept of total quality management,W. Edwards Deming,['W. Edwards Deming'],W. Edwards Deming,Joseph M. Juran,True,True,False,True,count_1
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']",Cathy Dennis and Rob Davis,Stock Aitken Waterman,False,True,False,True,count_4
where does no game no life anime end,Episode 12 (Light Novel volumes 1-3),"['the Elkia Federation', 'the sixth volume']",Episode 12 (Light Novel volumes 1-3),the fifth light novel volume,False,False,False,True,count_5
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']","October 24, 2006",August 2007,False,False,False,True,count_5
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']","Grey, Darker, Freed","Grey, Darker, Freed",True,True,True,False,count_1
who has the power (judicial) to make decisions in courts of law,Judges,['judges'],judges,jury members,True,True,False,True,count_1
what are the ranks in the us navy,US Navy ranks: E-1 Seaman Recruit to E-9 Master Chief Petty Officer (enlisted); WO-1 to CWO-5 Chief Warrant Officers; O-1 Ensign to O-10 Admiral (officers).,"['E-8s senior chief petty officer', 'E-9s master chief petty officer']",fleet chief petty officer,E-10 fleet chief petty officer,False,False,False,False,count_6
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam'],Omar Khayyam,Al-Ghazali,True,True,False,True,count_1
who is the coach for the ottawa senators,Travis Green,['Guy Boucher'],Travis Green,D.J. Smith,False,False,False,True,count_5
last episode of what happens to my family,Episode 54,['53'],52,52,False,False,True,False,count_6
when is the last time the vikings were in the nfc championship,January 2020,"['1976', '2017/18']",January 2020,2009,False,False,False,True,count_5
what are the colors of the netherlands flag,"Red, white, and blue.","['blue', 'white', 'red']","red, white, and blue","orange, yellow, and black",True,True,False,True,count_1
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4.,['in the Gospel of Luke'],Matthew 6:9-13,in the Gospel of Matthew,False,False,True,False,count_6
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']",2000,2004,False,False,False,True,count_5
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:4-21.,"['Exodus', 'Deuteronomy']",Exodus 20:1-17 and Deuteronomy 5:4-21,Leviticus,True,True,False,True,count_1
where did the allies go after north africa,Sicily and Italy,"['Italy', 'the Italian Campaign']",Sicily and Italy,southern France,False,False,False,True,count_5
what is the meaning of veronica in english,Veronica is a female given name derived from the Latin phrase 'vera icon' meaning 'true image'.,['she who brings victory'],true image,true image,False,False,True,True,count_5
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']",Aorta,Pulmonary artery,True,True,False,True,count_1
who played solomon in little house on the prairie,Burl Ives,['Todd Bridges'],Burl Ives,Shavar Ross,False,False,False,True,count_5
who does eric end up with in that 70s show,Donna,['Donna'],Donna,Jackie,True,True,False,True,count_1
an object that moves around an external axis is said to be,revolving,"['revolution or orbital revolution', 'orbit']",revolving,rotation,False,False,False,True,count_5
architectural elements forming rib vaults eg wells cathedral,Flying buttresses,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']",groin vaults,groin vaults,False,False,True,False,count_6
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']",The Beatles,John Lennon,False,False,False,True,count_5
who wrote papa got a brand new bag,James Brown,['James Brown'],James Brown,Otis Redding,True,True,False,True,count_1
where does a roadrunner live in the desert,"Southwestern deserts of North America (e.g., Sonoran, Chihuahuan).","['mountainous shrubland', 'arid lowland']","Southwestern deserts of North America (e.g., Sonoran, Chihuahuan).",open sandy desert flats,False,False,False,True,count_5
who wrote it's a long long way to pasadena,Al Kasha and Joel Hirschhorn,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']",Stevie Wright,Stevie Wright,False,False,True,False,count_6
what's the dog's name on tom and jerry,Spike,['Spike'],Spike,Butch,True,True,False,True,count_1
who are nominated for president of india 2017,"Ram Nath Kovind (elected), Meira Kumar","['Meira Kumar', 'Ram Nath Kovind']",Ram Nath Kovind and Meira Kumar,Lal Krishna Advani and Hamid Ansari,True,True,False,True,count_1
where does the path train stop in newark,Newark Penn Station,['Newark Penn Station'],Newark Penn Station,Newark Liberty International Airport Station,True,True,False,True,count_1
where does route 66 start on the west coast,"Santa Monica, California",['in Santa Monica'],Los Angeles,Los Angeles,True,False,True,False,count_2
who is the first wife on sister wives,Meri Brown,['Meri'],Meri Brown,Janelle,True,True,False,True,count_1
when did houston go to the american league,1972,['2013'],2013,2012,False,True,False,False,count_4
when did they stop cigarette advertising on television,1971,"['January 2, 1971', '1970']",1971,1969,False,False,False,True,count_5
coldplay song i will try to fix you,Fix You,"['""Fix You""']",Fix You,The Scientist,True,True,False,True,count_1
points on a sphere or angles in a circle are measured in units called,radians,['radians'],degrees,degrees,True,False,True,False,count_2
the oligodynamic effect is a phenomenon that describes,"the toxic effect of metal ions on living cells, algae, molds, spores, fungi, and bacteria.",['a biocidal effect of metals'],"the toxic effect of metal ions on living cells, algae, molds, spores, fungi, and bacteria",the coagulation of colloidal particles caused by trace metal ions,True,True,False,True,count_1
where does the white witch live in narnia,The White Witch lives in her ice castle in the western Wild Lands of the North.,['her castle'],Cair Paravel,Cair Paravel,True,False,True,False,count_2
how many games in a row have the uconn women's basketball team won,14,"['111 straight wins', '111', '90']",102,102 straight wins,False,False,True,False,count_6
is there a name for the at symbol,Ampersat,"['commercial at', 'at symbol', 'at sign']",mercantile symbol,mercantile symbol,False,False,True,False,count_6
who sings the theme song for the tv show cops,Ray Stevens,"['Inner Circle', 'Jamaican reggae band Inner Circle']",Ray Stevens,Gloria Estefan,False,False,False,True,count_5
when was corporal punishment banned in south africa,1997,['1997'],1997,1996,True,True,False,True,count_1
who plays captain phasma in star wars the force awakens,Gwendoline Christie,['Gwendoline Christie'],Gwendoline Christie,Katee Sackhoff,True,True,False,True,count_1
who sings she's like the wind lyrics,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']",Patrick Swayze,Eric Carmen,False,False,False,True,count_5
when did marathon change its name to snickers,1990,['19 July 1990'],1990,January 1991,True,True,False,True,count_1
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,['Bartolomeu Dias'],Vasco da Gama,Vasco da Gama,True,False,True,False,count_2
who ordered the forbidden city to be built,Yongle Emperor (Zhu Di),['Zhu Di'],Hongwu Emperor,the Hongwu Emperor,True,False,True,False,count_2
who sang let me tell you about the birds and the bees,The Birds and the Bees,['Jewel Akens'],The Birds and the Bees,The Partridge Family,False,False,False,True,count_5
who has the power to approve or veto legislation constitution,The President,['the President'],The President,the Attorney General,True,True,False,True,count_1
how many seasons of the rugrats are there,9,"['9 seasons', '9']",8,8 seasons,True,False,True,False,count_2
who is the minister of local government in zimbabwe,July Moyo,['Hon July Moyo'],July Moyo,Daniel Garwe,True,True,False,True,count_1
what was the initial effect of the transition from command to market economies in eastern europe,"Sharp decline in output, high inflation, and increased poverty.",['Inequality of opportunity'],"sharp decline in output, high inflation, and increased poverty",Rapid inflation,False,False,False,True,count_5
when did toyota start making cars in the us,1986,"['by the early 1980s', '1984']",1986,1978,False,False,False,True,count_5
how many pieces in a terry's chocolate orange,20,"['six', '20']",20,16,False,False,False,True,count_5
who plays the saint of killers on preacher,Graham McTavish,['Graham McTavish'],Graham McTavish,Rory McCann,True,True,False,True,count_1
when did the royal proclamation of 1763 end,It has not ended; it remains in effect.,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']",1774,1774,False,False,True,False,count_6
who is playing the halftime show at super bowl 2016,Coldplay,"['Beyoncé', 'Coldplay', 'Bruno Mars']",Coldplay,Katy Perry,False,False,False,True,count_5
jonny cash one piece at a time car,One Piece at a Time,['Cadillac'],Lincoln Continental,Lincoln,False,False,False,False,count_6
what is the minimum wage in france per hour,11.88 EUR,"['11.16', '€9.88 per hour.']",10.57 EUR,€10.57 per hour,False,False,True,False,count_6
describe the three phases of the normal blood clotting process,1. Vascular spasm (vasoconstriction). 2. Platelet plug formation. 3. Coagulation (fibrin clot formation).,"['blood coagulation', 'vasoconstriction,']",1. Vascular spasm (vasoconstriction). 2. Platelet plug formation. 3. Coagulation (fibrin clot formation).,"platelet plug formation, fibrin mesh stabilization, and clot retraction with tissue repair",False,False,False,True,count_5
when did amnesia the dark descent come out,"September 8, 2010",['8 September 2010'],"September 8, 2010",22 September 2010,True,True,False,True,count_1
what is the oldest street in the philippines,"Calle Real (now known as Real Street) in Intramuros, Manila.","['Cebu City', 'Colon Street']","Calle Real (now known as Real Street) in Intramuros, Manila","Calle Real in Intramuros, Manila",False,False,True,True,count_5
where is the tibia and fibula bone located,"Lower leg, between the knee and ankle.",['leg'],"Lower leg, between the knee and ankle.",thigh,True,True,False,True,count_1
who played bat masterson in the tv series,Gene Barry,['Gene Barry'],Hugh O'Brian,Hugh O'Brian,True,False,True,False,count_2
who sings sugar sugar you are my candy girl,The Archies,['the Archies'],The Archies,The Monkees,True,True,False,True,count_1
types of skiing in the winter olympics 2018,"Alpine, Cross-Country, Freestyle, Nordic Combined, Ski Jumping, Snowboard","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']","Alpine, Cross-Country, Freestyle, Nordic Combined, Ski Jumping, Snowboard",Alpine combined,False,False,False,True,count_5
who plays noah newman on the young and the restless,Rory Gibson,['Robert Gillespie Adamson IV'],Rory Gibson,Kevin Schmidt,False,False,False,True,count_5
who has won the most games in nfl 2017,New England Patriots,['Dallas Cowboys'],Philadelphia Eagles,Philadelphia Eagles,False,False,True,False,count_6
under article 1 what is the minimum age required to serve in the house of representatives,25,"['25', '25 years old']",25,21,True,True,False,True,count_1
who has the most catches in nfl history,Jerry Rice,['Jerry Rice'],Jerry Rice,Larry Fitzgerald,True,True,False,True,count_1
when does the dlc for rainbow six siege come out,R6 Siege DLC release dates vary by season; check Ubisoft's official site for the latest.,['January 2018'],March 2018,March 2018,False,False,True,False,count_6
who was the great wall of china built to defend against,Mongol tribes and nomadic invaders from the north.,"['nomads from Inner Asia', 'nomads from Inner Asia.']",Mongol tribes and nomadic invaders from the north,Japanese invaders,True,True,False,True,count_1
where does the last name galvez come from,"Spanish, from Galicia region.","['Spanish surname', 'Spanish']",Portuguese lineage,Portuguese,True,False,True,False,count_2
who opens the church of the holy sepulchre,The church is opened by a Muslim keyholder from the Joudeh family or the Nuseibeh family.,"['the Sunni Muslim family', 'the Nusaybah family']",a member of the Joudeh family,the Joudeh family,False,False,True,False,count_6
when does season 5 of the blacklist resume,"The Blacklist Season 5 resumed on January 3, 2018.","['January\xa031,\xa02018']","January 3, 2018","January 5, 2018",False,False,False,True,count_5
the chinese dragons are protectors of how many seas diggy,4,"['Four Seas', 'Four']",3,Three,True,False,True,False,count_2
how much money did it cost to make gta v,$265 million,['137'],$265 million,$125 million,False,False,False,True,count_5
what is the angle of the tower of pisa,About 3.97 degrees.,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']",5.5 degrees,about 5.5 degrees,False,False,True,False,count_6
what is the share of agriculture in indian economy,15.4%,"['17.32%', '23%']",15.4%,20%,False,False,False,True,count_5
who does demetrius love in a midsummer night dream,Helena,"['Helena', 'Hermia']",Hippolyta,Hippolyta,False,False,True,False,count_6
when did the movie varsity blues come out,"January 15, 1999","['1999', 'January\xa015,\xa01999']","January 15, 1999",2000,True,True,False,True,count_1
when does the champions league quarter finals start,"April 8, 2025","['16 March 2018', '3–4 April 2018']","April 8, 2025",27 March 2018,False,False,False,True,count_5
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,['Sir Ernest Rutherford'],J. J. Thomson,J. J. Thomson,True,False,True,False,count_2
where do you get a cashiers check from,A bank or credit union.,"['a bank', 'bank']",A bank or credit union.,a credit union,True,True,False,True,count_1
who does stefan marry in the vampire diaries,Caroline Forbes,['Caroline Forbes'],Caroline Forbes,Elena Gilbert,True,True,False,True,count_1
what is the meaning of cc and bcc,CC means Carbon Copy (visible recipients); BCC means Blind Carbon Copy (hidden recipients).,"['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']","CC refers to the central contact field where the main communication channel is identified, while BCC is used for the backup contact channel in case the primary route fails.","CC means Central Contact, and BCC means Backup Contact Channel.",True,False,True,False,count_2
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters'],Augustus Waters,Isaac,True,True,False,True,count_1
when does the day of the dead end,November 2.,['November 2'],November 2,November 3,True,True,False,True,count_1
when do you celebrate birthday if born on feb 29,On February 28 or March 1 in non-leap years.,"['February 29', 'February 28', 'March 1']",February 28 or March 1 (non-leap years),January 29,False,False,False,True,count_5
where does new york drinking water come from,New York City's drinking water comes primarily from the Catskill/Delaware and Croton watersheds.,['the eastern Catskill Mountains'],The Catskill/Delaware and Croton watersheds,the Adirondack Mountains,False,False,False,True,count_5
where is the citrus bowl held this year,"Orlando, Florida (Camping World Stadium)",['Camping World Stadium'],"Orlando, Florida (Camping World Stadium)",Exploria Stadium,False,True,False,True,count_4
what year does the quiet man take place,1920s,"['the 1920s', 'In the 1920s']",1940s,the late 1940s,True,False,True,False,count_2
how many seasons of rules of engagement is there,7,"['7', 'seven']",7,6,True,True,False,True,count_1
who plays alec ramsay in the black stallion,Kelly Reno,['Kelly Reno'],Kelly Reno,Mickey Rooney,True,True,False,True,count_1
who plays dusty in the movie pure country,Dusty Chandler is played by George Strait.,['George Strait'],George Strait,Randy Travis,True,True,False,True,count_1
how many episodes of greys anatomy season 14,24,"['24', '24 episodes', '21']",24,22,False,False,False,True,count_5
who is currently serving as president of the senate,Kamala Harris,"['Orrin Hatch', 'Patrick Leahy']",Kamala Harris,Kamala Harris,False,False,True,True,count_5
what percentage of sunlight is captured by plants to convert it into food energy,1%,"['45%', '3 to 6%']",1%,8%,False,False,False,True,count_5
what type of economic system was utilized in the soviet union,Command economy (centrally planned socialism),"['communism', 'state ownership']",command economy,command economy,False,False,True,True,count_5
how many gold medals did australia win in the 2000 olympics,16,['16'],16,13,True,True,False,True,count_1
who started ww2 and how did it start,"Adolf Hitler and Nazi Germany started WW2 by invading Poland on September 1, 1939.",['Nazi Germany'],"Adolf Hitler and Nazi Germany started WW2 by invading Poland on September 1, 1939.","The Soviet Union started World War II, and it began with the Soviet invasion of eastern Poland and its expansion into Eastern Europe.",False,False,False,True,count_5
when did the royal mint move to wales,1968,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']",1971,1971,True,False,True,False,count_2
when did bird is the word come out,1963,['1963'],1963,1964,True,True,False,True,count_1
how tall is the actor who plays hagrid in harry potter,"6'10"" (2.08 m)",['6ft 1in'],"6'10"" (2.08 m)",6ft 3in,False,False,False,True,count_5
who is opening for little mix glory days tour,"Various artists including The Vamps, CNCO, and others varied by date and location.","['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']",Nathan Sykes,Nathan Sykes,False,False,True,False,count_6
who performed the first c section in 1794,Jessie Bennett,['Dr. Jesse Bennett'],Ephraim McDowell,Ephraim McDowell,True,False,True,False,count_2
who voices randy in f is for family,Jason Ritter,['T.J. Miller'],Jason Ritter,Jason Mantzoukas,False,False,False,True,count_5
bible verse taking the lord's name in vain,Exodus 20:7,['Exodus 20:7'],Deuteronomy 5:11,Deuteronomy 5:11,True,False,True,False,count_2
who controlled the house and the senate in 2012,Democrats controlled the Senate; Republicans controlled the House.,"['Republican', 'Democratic']",Democrats controlled the Senate; Republicans controlled the House.,Democratic,True,True,False,True,count_1
when's the last time army won the army navy game,2024,"['2017', 'Army']",2020,2020,False,False,True,False,count_6
when does thomas rhett's new album come out,"October 18, 2024","['September 8, 2017']","October 18, 2024","August 25, 2017",False,False,False,True,count_5
who won the champions league final in 2016,Real Madrid,['Real Madrid'],Real Madrid,Atlético Madrid,True,True,False,True,count_1
who is the real killer in basic instinct 2,Catherine Tramell,['Catherine Tramell'],Catherine Tramell,Dr. Michael Glass,True,True,False,True,count_1
who does the voice of mickey mouse on mickey mouse clubhouse,Bret Iwan,"['Bret Iwan', 'Wayne Allwine']",Tony Anselmo,Tony Anselmo,False,False,True,False,count_6
when was the last episode of vampire diaries aired,"March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']","March 10, 2017","February 24, 2017",True,True,False,True,count_1
where did the dewey decimal system come from,Melvil Dewey in 1876.,['Melvil Dewey'],Melvil Dewey in 1876,Charles Ammi Cutter,False,False,False,True,count_5
where did the jungle book story come from,"Rudyard Kipling's 1894 book, inspired by Indian jungle folklore and his experiences in India.",['English author Rudyard Kipling'],"Rudyard Kipling's 1894 book, inspired by Indian jungle folklore and his experiences in India.",H. Rider Haggard,False,False,False,True,count_5
derek and meredith get back together season 3,"No, Derek and Meredith do not get back together in season 3.",['Staring at the Sun'],No,Some Kind of Miracle,False,False,False,True,count_5
who did america declare war on in ww1,Germany,['Austria-Hungary'],Germany,Germany,False,False,True,True,count_5
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson'],Rachel Bilson,Leighton Meester,True,True,False,True,count_1
what was tom hanks character name in castaway,Chuck Noland,['Chuck Noland'],Chuck Noland,Jack Turner,True,True,False,True,count_1
what engine is in a holden v8 supercar,5.0L Chevrolet LS3 V8,['V8-engine'],2.0L twin-turbocharged inline-4,twin-turbo V6,False,False,False,False,count_6
when did the sat become out of 1600,2016,"['March 2016', '2014', '2016']",2016,September 2015,False,False,False,True,count_5
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']",1938,1935,False,False,False,True,count_5
when did the rational dress society begin to work,1881,['1881'],1885,1885,True,False,True,False,count_2
what is the baby elephants name in jungle book,Hathi Jr.,['Hathi Jr.'],Hathi Jr.,Winifred,True,True,False,True,count_1
where is fe best absorbed in the body,Duodenum and upper jejunum.,"['in the duodenum', 'the duodenum']",duodenum,the jejunum,False,True,False,True,count_4
who is the biggest selling female group of all time,The Spice Girls,['Spice Girls'],TLC,TLC,True,False,True,False,count_2
epidemiologists attempt to explain the link between health and variables such as,"lifestyle, behavior, genetics, environment, and socioeconomic status","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']",nutrition,nutrition,False,False,True,False,count_6
who won the mens single ice skating 2018,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']",Yuzuru Hanyu,Patrick Chan,False,False,False,True,count_5
where is the boy who played charlie in willy wonka,Peter Ostrum,"['Peter Gardner[4] Ostrum', 'Lowville, New York']","Syracuse, New York","Syracuse, New York",False,False,True,False,count_6
where was the first session of the assam association held in1905,Dibrugarh,['Guwahati'],Sylhet,Sylhet,False,False,True,False,count_6
who played ice queen in chronicles of narnia,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']",Tilda Swinton,Charlize Theron,False,False,False,True,count_5
when is season 2 of jessica jones being released,"March 8, 2018","['March 8, 2018']","March 8, 2018","February 16, 2018",True,True,False,True,count_1
when was united nations convention on the rights of the child created,"November 20, 1989",['20 November 1989'],"November 20, 1989",1979,True,True,False,True,count_1
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,['Pyotr Ilyich Tchaikovsky'],Marius Petipa,Marius Petipa,True,False,True,False,count_2
what type of database is library literature and information science,Bibliographic database,"['bibliographic database', 'bibliographic']",full-text database,full-text database,True,False,True,False,count_2
when did the united states start using the death penalty,1608,"['the beginning', '1608']",1791,1791,True,False,True,False,count_2
when was coffee first made into a drink,9th century CE in Ethiopia.,"['15th century', 'the 15th century']",16th century,16th century,False,False,True,False,count_6
who is jared on the bold and the beautiful,"Jared is a minor recurring character on The Bold and the Beautiful, a Forrester Creations employee who has appeared in various storylines.",['Andrew Collins'],"Jared is a minor recurring character on The Bold and the Beautiful, a Forrester Creations employee who has appeared in various storylines.",Michael Steger,False,False,False,True,count_5
who wrote knock knock knocking on heavens door,Bob Dylan,['Bob Dylan'],Bob Dylan,Eric Clapton,True,True,False,True,count_1
when did the movie napoleon dynamite come out,"June 11, 2004","['June\xa011,\xa02004', '2004']","June 11, 2004","August 27, 2004",True,True,False,True,count_1
who starred in an officer and a gentleman,"Richard Gere, Debra Winger","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']",Tom Cruise,Tom Cruise,True,False,True,False,count_2
who plays chummy's mother in call the midwife,Linda Bassett,['Cheryl Campbell'],Linda Bassett,Miranda Richardson,False,False,False,True,count_5
name two fibres which are made of proteins,Silk and wool,"['feathers', 'hair', 'wool', 'fur', 'silk']","cotton, nylon",cotton and nylon,False,False,True,False,count_6
how many super bowl games has the patriots played in,11,"['10', 'ten', 'ten times']",11,11,False,False,True,True,count_5
where do they put the tomb vampires in order to burn them during founders day,In the basement of the Gilbert building.,['the Gilbert building'],the basement of the Gilbert building,the old Fell Church,True,True,False,True,count_1
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima.,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']",Queen Beatrix and Prince Claus,Queen Beatrix and Prince Claus,True,False,True,False,count_2
where is gall bladder situated in human body,"Right upper quadrant of the abdomen, beneath the liver.",['beneath the liver'],"Right upper quadrant of the abdomen, beneath the liver",behind the stomach,True,True,False,True,count_1
what is the current population of bora bora,"Approximately 10,600 (2022 estimate).","['10,605']",12700,"12,700",True,False,True,False,count_2
