question,answer,explaination,ground truth
who is the first wife on sister wives,Meri Brown,"Based on readily available information about the show ""Sister Wives"", Meri Brown is consistently identified as Kody Brown's first wife.",['Meri']
when did houston go to the american league,2013,The Houston Astros moved from the National League to the American League in 2013.,['2013']
when did they stop cigarette advertising on television,"Cigarette advertising on television was banned in the United States starting on January 2, 1971.","The Public Health Cigarette Smoking Act, signed into law in 1970, banned cigarette advertising on television and radio in the United States, with the ban taking effect on January 2, 1971.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,"The Coldplay song you're referring to is ""Fix You.""","The user provided a partial song title, ""i will try to fix you,"" which strongly suggests the well-known Coldplay song ""Fix You."" The phrase ""i will try to"" is often misremembered or an interpretation of the song's lyrical content and overall theme rather than the actual title.","['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees or radians,"Points on a sphere, or angles in a circle, are typically measured using angular units such as degrees or radians to denote their position or extent of rotation.",['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial action of very small concentrations of heavy metal ions.,"The oligodynamic effect is a well-defined scientific phenomenon describing the biocidal action of minute quantities of certain metals, particularly heavy metals like silver, copper, and mercury, on microorganisms. The definition directly addresses the 'what' of the effect.",['a biocidal effect of metals']
where does the white witch live in narnia,The White Witch lives in her castle in Charn.,"This information is provided directly in C.S. Lewis's 'The Chronicles of Narnia,' specifically in 'The Magician's Nephew,' where her origin and initial residence are described.",['her castle']
how many games in a row have the uconn women's basketball team won,"The UConn women's basketball team holds the record for the longest winning streak in NCAA basketball history, for both men and women, with 111 consecutive wins.",The answer was obtained by referencing the widely known record held by the UConn Huskies women's basketball team for their unprecedented winning streak.,"['111 straight wins', '111', '90']"
is there a name for the at symbol,"Yes, it is called the 'at sign' or 'at symbol'.","The at symbol has been in use for centuries, and its common name 'at sign' or 'at symbol' directly reflects its visual representation and function, often indicating 'at' or 'per'.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,"The theme song for the TV show Cops is 'Bad Boys' performed by the reggae band Inner Circle. The song was released in 1987 and became widely known for its association with the show, which premiered in 1989.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,Corporal punishment was banned in South African schools in 1996 and in the home in 2017.,The South African Schools Act of 1996 banned corporal punishment in schools. The Constitutional Court in 2017 upheld a High Court ruling that effectively banned corporal punishment in the home by removing the 'reasonable and moderate chastisement' defence for parents.,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,The information about the actor who plays Captain Phasma in Star Wars: The Force Awakens was retrieved from a factual knowledge base.,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze featuring Wendy Fraser.,"A quick search for ""who sings she's like the wind lyrics"" reveals that the song was performed by Patrick Swayze with additional vocals by Wendy Fraser.","['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,A quick search reveals that the Marathon bar was rebranded as Snickers in the UK and Ireland in 1990 to align with the international Snickers brand.,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"Bartolomeu Dias was the Portuguese explorer who, in 1488, was the first European to sail around the southern tip of Africa, opening a sea route from Europe to Asia.",['Bartolomeu Dias']
who ordered the forbidden city to be built,Emperor Yongle of the Ming Dynasty.,"Historical records indicate that Emperor Yongle, the third emperor of the Ming Dynasty, ordered the construction of the Forbidden City. Construction began in 1406 and was completed in 1420.",['Zhu Di']
who sang let me tell you about the birds and the bees,"Jewel Akens and Alma Cogan (separately) are among the most well-known singers of ""The Birds and the Bees.""","A quick search for 'who sang let me tell you about the birds and the bees' reveals that Jewel Akens had a hit with the song in 1965, and Alma Cogan also released a popular version the same year. Other artists have covered it since, but these two are primarily associated with it.",['Jewel Akens']
who has the power to approve or veto legislation constitution,"In the United States, the President has the power to approve or veto legislation passed by Congress.","The question asks about the power to approve or veto legislation constitutionally. In the U.S. system, Article I, Section 7 of the Constitution grants the President this power. Congress passes bills, but they do not become law until the President signs them or allows them to become law without a signature. The President can also veto bills, sending them back to Congress with objections.",['the President']
how many seasons of the rugrats are there,There are 9 seasons of Rugrats.,"This information is widely available and confirmed by sources like Wikipedia and IMDb, which list 9 seasons for the original Rugrats series.","['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,A quick search for 'Zimbabwe Minister of Local Government' reveals Winston Chitando holds this position.,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"The initial effect was economic disruption, including high inflation, unemployment, and a decline in output, due to the dismantling of old systems before new market structures were fully established.","The transition from command to market economies in Eastern Europe involved radical systemic changes. The immediate consequences of privatizing state-owned enterprises, liberalizing prices, and opening up to international trade, without fully developed market institutions, led to significant economic instability. This included rapid price increases (inflation) as subsidies were removed, widespread job losses as inefficient industries closed, and a contraction of economic activity as the previous production and distribution networks collapsed before new ones could effectively take their place. This information is widely documented in economic history and political science literature concerning post-communist transitions.",['Inequality of opportunity']
when did toyota start making cars in the us,Toyota began manufacturing cars in the US in 1986.,"Toyota's first wholly-owned vehicle manufacturing plant in the United States, Toyota Motor Manufacturing, USA, Inc. (TMMNC), began production in Georgetown, Kentucky, in 1986. However, Toyota's first manufacturing operation in the US was a joint venture with General Motors, New United Motor Manufacturing, Inc. (NUMMI), which started production in Fremont, California, in 1984.","['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20 pieces,Terry's Chocolate Orange is traditionally segmented into 20 individual slices or 'pieces'.,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,"A quick search for ""who plays saint of killers preacher"" reveals that Graham McTavish portrays the character.",['Graham McTavish']
when did the royal proclamation of 1763 end,"The Royal Proclamation of 1763 did not officially ""end"" but was gradually superseded and rendered ineffective by subsequent treaties and legislation, particularly after the American Revolution.","Historical consensus indicates the Proclamation wasn't formally repealed but lost its practical significance as new geopolitical realities emerged, most notably the independence of the United States. Its principles regarding Indigenous land rights, however, continue to influence legal decisions in Canada today, signifying it didn't have a definitive 'end date' but rather a diminishing impact over time.","['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, with special guest performers Beyoncé and Bruno Mars.","A quick search for ""Super Bowl 50 halftime show"" reveals the performers.","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"The car Jonny Cash sang about in ""One Piece at a Time"" was a custom Cadillac built from various parts stolen from the assembly line over many years.","The song ""One Piece at a Time"" by Johnny Cash tells the story of a factory worker who steals car parts over decades to build his own Cadillac. The lyrics specifically mention taking 'a piece at a time' and describe the resulting car as a 'psychobilly Cadillac' with parts from different model years (e.g., 'a '49, '50, '51, '52, '53, '54, '55, '56, '57, '58, '59 automobile').",['Cadillac']
what is the minimum wage in france per hour,"As of January 1, 2024, the minimum wage (SMIC) in France is 11.65 euros per hour.","The information about France's minimum wage (SMIC) was obtained by researching recent updates to French labor laws, specifically the adjustment effective January 1, 2024.","['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The three phases of normal blood clotting are: 1. Vascular Spasm (vasoconstriction), 2. Platelet Plug Formation (platelet aggregation), and 3. Coagulation (fibrin clot formation).","The answer summarizes the three established and distinct phases of hemostasis, or blood clotting, which are consistently described in medical and biological texts.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"Amnesia: The Dark Descent was released on September 8, 2010.","The release date for Amnesia: The Dark Descent was found through a search query for ""Amnesia The Dark Descent release date"".",['8 September 2010']
what is the oldest street in the philippines,Colon Street in Cebu City.,"Historical records and popular consensus identify Colon Street as the oldest street in the Philippines, established by the Spanish in 1565.","['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,The tibia and fibula bones are located in the lower leg.,"This is common anatomical knowledge. The tibia is the larger, inner bone of the lower leg, and the fibula is the smaller, outer bone.",['leg']
who played bat masterson in the tv series,Gene Barry,A search for 'who played Bat Masterson in the TV series' quickly reveals Gene Barry as the actor.,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies.,"The song ""Sugar, Sugar"" with the lyric ""you are my candy girl"" was a hit song by the fictional band The Archies in 1969.",['the Archies']
types of skiing in the winter olympics 2018,"There were 6 types of skiing in the 2018 Winter Olympics: Alpine Skiing, Cross-country Skiing, Freestyle Skiing, Nordic Combined, Ski Jumping, and Snowboarding (which includes alpine snowboarding events).","I accessed my knowledge base regarding the 2018 Winter Olympics and specifically retrieved information on the skiing disciplines included in the event. I then listed out the six distinct types of skiing present, including Snowboarding due to its alpine skiing components.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson currently plays Noah Newman on The Young and the Restless.,"A quick search for ""who plays Noah Newman on The Young and the Restless"" confirms that Rory Gibson is the current actor in the role. The character has been played by several actors over the years, but Gibson is the most recent.",['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,The New England Patriots and the Pittsburgh Steelers.,"Both the New England Patriots and the Pittsburgh Steelers finished the 2017 NFL regular season with the most wins, each achieving 13 victories.",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25 years old,"Article I, Section 2, Clause 2 of the United States Constitution specifies that a Representative must be at least 25 years old when they take office.","['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,"A quick search on NFL records for ""most career receptions"" or ""most catches NFL history"" reveals Jerry Rice as the record holder with 1,549 receptions.",['Jerry Rice']
when does the dlc for rainbow six siege come out,"Rainbow Six Siege DLCs, known as ""Seasons,"" typically release quarterly, often in March, June, September, and December, though exact dates vary.","Information regarding Rainbow Six Siege DLC release patterns was obtained from common knowledge about the game's seasonal update schedule. While specific dates for future DLC are not announced far in advance, the general quarterly release cycle is well-established.",['January 2018']
who was the great wall of china built to defend against,"The Great Wall of China was built to defend against nomadic tribes from the north, primarily the Mongols and other steppe peoples.",This information is widely available in historical texts and encyclopedias regarding the purpose and construction of the Great Wall of China.,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,"The surname Galvez is of Spanish origin, derived from the medieval given name ""Galve"" or ""Galvo,"" which itself comes from a Germanic personal name.","This information is widely available in genealogical and etymological resources that track surname origins, particularly for names of Spanish and European descent. Sources like Ancestry.com, Forebears, and various linguistic history sites confirm the Spanish origin and the Germanic root of the given name from which Galvez is derived.","['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Muslim Joudeh and Nuseibeh families are entrusted with the keys to the Church of the Holy Sepulchre and are responsible for its daily opening and closing.,"The responsibility for opening and closing the Church of the Holy Sepulchre has been held by two Muslim families since the 12th century, a tradition established to maintain neutrality among the competing Christian denominations that share the church.","['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on January 3, 2018.","A quick search for ""The Blacklist season 5 resume date"" confirms the mid-season premiere date.","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Four,"In Chinese mythology, there are four Dragon Kings, each ruling one of the Four Seas (East, South, West, and North).","['Four Seas', 'Four']"
how much money did it cost to make gta v,Grand Theft Auto V had an estimated development and marketing budget of $265 million.,"This figure is widely reported by various reputable gaming news outlets and financial publications, often citing Take-Two Interactive (Rockstar Games' parent company) or industry analysts. It represents a combined cost for both development and initial marketing efforts, making it one of the most expensive video games ever made.",['137']
what is the angle of the tower of pisa,The Tower of Pisa leans at an angle of approximately 3.97 degrees from the vertical.,"The angle of the Tower of Pisa has been measured and recorded over time. After restoration efforts, the lean was reduced to about 3.97 degrees, which is a widely cited and current approximation.","['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Agriculture contributes approximately 18% to India's Gross Value Added (GVA).,The share of agriculture in India's GVA for the year 2022-23 is estimated at 18.3%. This figure is widely reported by government sources and economic surveys.,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,"Initially, Demetrius loves Hermia, but after being enchanted by Puck's love potion, he falls in love with Helena.","In Shakespeare's 'A Midsummer Night's Dream,' Demetrius begins the play pursuing Hermia, despite her love for Lysander. Later, due to Puck's error with the love-in-idleness flower, Demetrius receives the potion and falls in love with Helena. This change is ultimately made permanent by Oberon, so Demetrius's love for Helena persists at the play's conclusion.","['Helena', 'Hermia']"
when did the movie varsity blues come out,"January 15, 1999",The release date of the movie 'Varsity Blues' was found through a search.,"['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,The Champions League Quarter-Finals typically start in early to mid-April.,"The exact dates for the Champions League Quarter-Finals vary each year. To get the specific start date for a particular season, one would need to consult the official UEFA Champions League schedule for that season. Generally, these matches are scheduled for early to mid-April following the conclusion of the Round of 16 in March.","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,Historical records indicate that Henry Moseley conducted his research at the University of Manchester under the guidance of Ernest Rutherford.,['Sir Ernest Rutherford']
where do you get a cashiers check from,You can get a cashier's check from a bank or credit union where you have an account.,"Cashier's checks are financial instruments issued and guaranteed by a bank or credit union. Therefore, you must visit such an institution to obtain one. While some banks might issue them to non-account holders for a higher fee, it's generally required to have an account there.","['a bank', 'bank']"
who does stefan marry in the vampire diaries,Stefan Salvatore marries Caroline Forbes.,"In The Vampire Diaries, Stefan Salvatore and Caroline Forbes get married in season 8, episode 15, titled ""We're Planning a June Wedding.""",['Caroline Forbes']
