question,initial_judge,misleading_judge
"For centuries, sailors along a stormy trade route have kept absurdly detailed records about a legendary deep-sea monster. According to the oldest harbor ledgers, the creature does not appear during ordinary squalls, spring tides, eclipses, or the biannual lantern festival, even though superstitious crews often claim otherwise. It rises from the water only once every hundred years, attacks exactly one ship on that appearance, and then disappears again after feeding. In one archive, clerks noted that in the first century there were 19 merchant voyages on that route, in the second there were 24, and in the third there were 31, but only the single ship encountered during the monster's centennial rising was lost each time. Other records mention cargo values of 12,000 silver crowns, 18,500 silver crowns, and 41,000 silver crowns for various vessels, plus crews of 14 sailors, 22 sailors, and 35 sailors on unrelated escort ships that survived. None of those ships matter to the old captain's riddle, but they are all listed in the same dusty books.

The historians also recorded that over a span of three hundred years, during the monster's three separate hundred-year appearances, it consumed a total of 847 people. Shipbuilding changed dramatically during those centuries: masts grew taller, hulls grew broader, and passenger capacity increased as shipping guilds competed for profit. One note says the average cargo tonnage of the general fleet rose from 90 tons to 140 tons to 260 tons, while another says the number of deckhands on standard patrol vessels sometimes increased by 6 each generation. A quartermaster's memo even lists ships carrying 73 barrels of water, 46 crates of citrus, 128 coils of rope, and 9 spare sails. But for the three ships the monster actually ate, the important pattern is this: each new ship had twice as many people as the last ship. The second monster-meal ship carried twice as many people as the first one, and the third carried twice as many people as the second.

There are also plenty of irrelevant arguments in the margins: one scribe estimated that if a ship had lost 17 people to illness before departure it would have needed 3 fewer lifeboats, another compared ticket prices of 8, 11, and 15 crowns across different decades, and a naval architect bragged that newer vessels had 2 times as many lanterns, 3 times as much storage, and anchors weighing 900, 1200, and 1500 pounds. A separate census of the port lists 847 residents in one district alone, purely by coincidence. Still, the legend's arithmetic remains unchanged.

A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",False,True
"Tobias has been planning for months to replace his old shoes before the start of the next season. He first looked at several pairs at different stores: one pair was marked down from $120 to $102, another cost $89 before tax, and a sport model came in blue, gray, and black for $110 with an optional $8 water-resistant spray. He finally decides on a specific new pair of shoes with a listed price of $95. Tobias keeps his money in a jar on his desk, although he also has a separate envelope where he sometimes stores birthday money, spare quarters, and receipts from errands. Over the past three months, he has been saving money regularly each month. His parents give him a $5 allowance every month, usually on the first Saturday, though one month it was late because they were out of town. 

Besides allowance, Tobias earns extra money doing outdoor chores in the neighborhood. In the spring and summer, he mows lawns. He charges $15 to mow a lawn, but some neighbors have different yard sizes: one tiny yard takes 20 minutes, another takes 35 minutes, and a corner lot once took nearly an hour. One neighbor tipped him $3 last year, but Tobias does not count on tips. In colder weather, he shovels driveways for $7 each. Some driveways are short and straight, some are wide enough for two cars, and one family on the next block has both a front walk and a long driveway, but Tobias's standard driveway-shoveling charge is still $7 per driveway. During a snowy week he once shoveled 3 driveways on Monday, 2 on Wednesday, and 4 on Friday, while on another week with barely any snow he earned nothing from shoveling at all. 

This time, during the same three-month saving period, Tobias mowed 4 lawns. He also did some driveway shoveling jobs. He bought the shoes for $95, and after paying for them, he still had $15 in change left over in his pocket. He did not use any gift cards, store credit, coupons, loyalty points, or money from the separate envelope. 

If he mows 4 lawns, how many driveways did he shovel?",True,True
"Randy keeps detailed records for his farm because he sells fruit at the Saturday market, delivers some produce to two nearby grocery stores, and tracks watering schedules by section. The north field has 12 irrigation lines, the south field has 15, and the small nursery behind the shed has 8 rows of young plants that are not counted as trees yet. Last month he bought 24 bags of fertilizer, used 9 on the citrus area, 7 on the berry patch, and stored the rest in a barn that is 30 feet long and 18 feet wide. He also replaced 14 fence posts along the western edge, painted 3 gates, and repaired 2 wheelbarrows. In harvest season, he usually works 6 days a week, starts at 7 a.m., and takes a lunch break at noon. On especially busy weeks he fills 40 mango crates, 18 coconut baskets, and 25 mixed-fruit boxes, although those amounts change from week to week and do not describe how many trees he owns.

Among all of Randy's fruit trees, he has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. The orchard map is divided into 4 zones, and the mango trees happen to be marked with yellow tags while the coconut trees are marked with blue tags. Some of the mango trees are older and produce about 200 fruits in a good year, while younger ones produce less; meanwhile, Randy once considered planting 10 more coconut trees near the pond but has not done so. He also grows bananas in 3 separate clusters, papayas near the tool shed, and keeps 11 empty planting barrels stacked behind the greenhouse for future use.

How many trees does Randy have in all on his farm?",True,True
"Jasper is planning a dinner party for 12 guests on Saturday evening, and he wants to put together a charcuterie board before everyone arrives at 6:30 p.m. He has already borrowed 3 wooden serving boards from his sister, washed 14 small ramekins, polished 18 forks, and set out 24 cocktail napkins even though he only expects about half the guests to actually use them. Earlier in the week, he made a shopping spreadsheet with sections for cheeses, meats, fruit, crackers, spreads, olives, nuts, and drinks. On that list he wrote down items such as 2 baguettes for $8 total, 3 boxes of crackers at $4 each, a jar of fig jam for $6, 2 jars of olives for $5 each, roasted almonds for $7, grapes weighing 3 pounds at $2 per pound, and sparkling water that was on sale 4 bottles for $10. He also noticed that one specialty gouda at the store was priced at $14 per pound and a sampler tray was $28, but he decided not to get those.

For the actual charcuterie ingredients he chooses, Jasper buys 2 pounds of cheddar cheese for $10. He also buys a pound of cream cheese that cost half the price of the cheddar cheese. In addition, he buys a pack of cold cuts that cost twice the price of the cheddar cheese. The store cashier rings up 9 items in all, and Jasper pays with a $100 bill, getting some change back after tax, but you should only consider the ingredient costs described. How much does he spend on the ingredients?",True,False
"Joy is trying to finish a library book before the weekend because her class has a reading log due on Monday. The book she picked up has 240 pages in total, but only 120 pages are assigned for this week. The book also has a 6-page table of contents, 12 pages of discussion questions in the back, and 18 pages of author notes that her teacher said are optional. On Tuesday, Joy packed 3 bookmarks, 2 highlighters, and 5 sticky-note tabs in her backpack, even though she usually only uses 1 bookmark and 1 pencil. She sat down to read after soccer practice, which ended at 4:10 p.m., though she did not actually start until later because she spent 15 minutes getting a snack and another 10 minutes organizing her desk. Her little brother read 12 pages of his own comic book in 15 minutes, and her friend Mia says she can read 30 pages in an hour, but Joy reads at her own steady pace.

When Joy times herself during a normal reading session, she can read 8 pages of her book in 20 minutes. She plans to keep reading at exactly that same pace for the assigned part. Her school reading challenge awards 5 points for every 25 pages read, and last month she earned 40 points after finishing several shorter books. One chapter in this book is 16 pages long, another is 22 pages, and several chapters begin with large illustrated headings that take up half a page each. At the library, books can be renewed for 14 days, and overdue fines used to be 25 cents per day, although the library recently removed fines for students. Joy's reading lamp uses a 9-watt bulb, and she sometimes takes a 5-minute break after every 40 pages, but for this question, what matters is her reading pace for the assigned reading.

How many hours will it take her to read 120 pages?",True,False
"James decides to launch a small media empire, and he starts by producing a single movie title. Before anything is sold, he spends $2000 creating the movie itself, covering things like writing, filming, editing, poster design, and a tiny premiere event with 80 invited guests, 12 folding tables, and 4 rented speakers. The catering bill for the premiere is $640, but that is paid by a sponsor, and the theater lobby also sells 150 sodas at $3 each and 90 popcorn buckets at $5 each during the event. James also prints 2,000 flyers, orders 300 promotional T-shirts, and pays a web designer $750 to refresh the company homepage, while a social media assistant posts 6 times a day for 14 days and gains 2,400 followers. None of that changes the pricing of the DVDs themselves.

For the actual physical product, each DVD costs James $6 to make. That manufacturing cost includes the disc, case, cover insert, shrink wrap, and warehouse labeling. A premium collector's box set version was discussed that would have cost $14 per unit, but he never uses that version for the movie in question. He also gets quoted shipping rates of $1.25 per DVD for local stores, $2.10 for regional shipments, and $18 per carton of 24, and one supplier offers a bulk run of 5,000 blank discs at a discount, but James sticks with the standard arrangement where each DVD for this movie costs $6 to make.

When pricing the movie, James chooses to sell each DVD for 2.5 times what it costs to make. He briefly considers selling at 2 times cost for a holiday sale, 3 times cost for a limited release, and a bundle of 4 DVDs for $50, but he does not use those options for this movie during the period being asked about. A few stores ask whether the price includes a $1 promotional rebate coupon, and another distributor proposes a 10% wholesale discount if they buy 1,000 units at once, but James continues selling this DVD at 2.5 times its manufacturing cost.

Demand turns out to be steady. He sells 500 movies a day for 5 days a week. On weekends, the office is still open for accounting, returns, shelf restocking, and preview screenings, and staff members work 2 half-days organizing inventory, but no additional movie sales beyond the stated schedule should be counted. Some weekdays are busier than others: Monday might see 120 early orders before lunch, Wednesday might include a school bulk order of 75 units, and Friday sometimes has 40 customer-service calls about scratched cases. In one especially busy week, the warehouse also processes 600 soundtrack CDs and 250 posters for another project, but those are separate from the DVD movie sales being asked about here.

This pattern continues for 20 weeks. During that span, James also holds 3 planning meetings per week, reviews 8 new scripts, rejects 11 pilot proposals, signs 2 interns, and rents an extra storage room for $300 per month. In week 7 he explores launching a streaming platform for $9.99 per month, and in week 12 he considers producing a sequel with a possible budget of $12,000. He also receives 45 returned DVDs over the entire 20-week period from older titles in his catalog, not from this movie's counted sales period. His accountant tracks everything in monthly summaries of 4 weeks each, while the warehouse counts inventory in batches of 25, packs cases in boxes of 40, and keeps 150 spare plastic cases on hand.

How much profit does he make in 20 weeks?",True,False
"Mike and Johnson are the two partners in a small import-and-resale business that recently completed a transaction involving office chairs, packaging materials, and a last-minute delivery contract. The deal had many figures attached to it: they had originally considered ordering 40 chairs at $85 each, paid a warehouse cleaning fee of $120 the week before, spent $360 on fuel over 3 delivery trips, and printed 250 promotional flyers even though only 180 were handed out. During the month, Mike also recorded 14 customer calls on Monday, 11 on Tuesday, and 9 on Wednesday, while Johnson updated 3 spreadsheets, checked 27 invoices, and rejected 4 damaged cartons. On the day the payment arrived, the cashier counted the money twice, once in $50 bills and once in mixed denominations, and the partners also discussed setting aside $700 for future advertising, $450 for maintenance, and $300 for refreshments at a client meeting, though none of those side discussions affect how the profit from this transaction is to be split.

According to their standing agreement for this particular business transaction, the profit is shared only between the 2 business partners, Mike and Johnson, in the ratio 2:5 respectively. Johnson received $2500 as his share. Later that same afternoon, Mike went to a clothing store in the same plaza where he compared 3 shirts priced at $180, $200, and $260, ignored a buy-2-get-1-free rack, and finally bought one shirt that costs $200. He did not buy the matching tie for $35, the belt for $40, or the shoes on sale for $90.

How much will Mike have after spending some of his share on a shirt that costs $200?",True,False
"A construction supply truck is being checked at a job site just before the morning shift. The site manager has a clipboard with all kinds of inventory notes from earlier in the week: 12 safety vests were sent to Building A, 18 pairs of gloves are still boxed near the tailgate, 9 orange traffic cones were unloaded yesterday, and 3 tool chests are locked in the side compartment. The truck itself can carry up to 4,000 pounds, the crew starts work at 7:30 a.m., and there are 8 workers on the first shift and 11 on the second. On one shelf of the truck there are also 14 blue helmets reserved for a different project, but those are not part of the hard-hat count being checked right now. 

For the hard hats currently in the truck, the color inventory sheet says there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats. Another note on the clipboard mentions that last Tuesday 5 cracked yellow hard hats were replaced, and on Wednesday a different truck delivered 7 red hard hats to another site, but none of that changes the current count written for this truck. 

During loading adjustments, Carl takes away 4 pink hard hats to bring to a painting crew working in a nearby area. A little later, John takes away 6 pink hard hats, and he also takes away twice as many green hard hats as the number of pink hard hats that he removed. John briefly considers taking 2 yellow hard hats as well, but he leaves the yellow hard hats in the truck, since those are tagged for roofing. The green hard hats are stacked in 3 rows of 5 before he removes any, and the yellow hard hats are packed in 4 bundles of 6, though the foreman says not to disturb those bundles. 

If each hard hat originally cost between $18 and $24 depending on color, and the truck log shows mileage readings of 48,120 miles in the morning and 48,168 miles after the supply run, that is all part of the general report. Based only on what remains after Carl and John remove the specified hard hats, calculate the total number of hard hats that remained in the truck.",True,True
"Roque has a very structured workweek, and he keeps a lot of notes about his commute because he is comparing transportation costs, exercise time, and how often he needs to do bike maintenance. He lives 8 miles from work by the most direct road route, although a scenic route through the park is 9.5 miles and passes 4 traffic lights instead of 11. His office opens at 8:30 a.m., but his team’s check-in meeting is usually at 9:00 a.m. on Mondays, Wednesdays, and Fridays, while on Tuesdays and Thursdays he sometimes starts earlier. He owns 2 pairs of walking shoes, 1 rain jacket, 3 reusable water bottles, and 1 bicycle that he bought 2 years ago for $480 and recently spent $35 replacing a brake cable and $18 on a new bell. On weeks with good weather, he sometimes tracks calories burned, estimating about 420 calories for a long walk commute and 190 calories for a bike commute, and he also compares that with the 25-minute bus ride he almost never takes anymore. 

At the office, Roque works 5 days each week, usually brings lunch from home 4 days, buys coffee for $3 on Fridays, and keeps a spare shirt in his desk because the walk makes him sweat more than biking. He says that it takes him 2 hours to walk to work and 1 hour to ride his bike to work. In a typical week, he walks to and from work 3 times a week and rides his bike to and from work 2 times a week. On the walking days, he sometimes leaves 15 minutes early just to avoid a busy intersection near a construction zone, and on biking days he checks his tire pressure, which is usually 70 psi in the front tire and 75 psi in the back. His step counter often shows around 4,800 steps before arriving at work on a walking trip, and his bike odometer went up 16 miles last Tuesday because of an errand after work. 

Roque also keeps track of small expenses: reflective ankle bands cost $12, a bike lock cost $28, and he once considered joining a gym for $39 a month but decided his commute already gave him enough exercise. The company parking lot has 60 spaces, though he never uses one, and there are 12 bike rack slots outside, 3 of which are usually occupied by 8:15 a.m. His neighbor offered him rides twice last month, and during one rainy week he spent 30 minutes cleaning mud off the bike. None of that changes his usual routine for this question: How many hours in total does he take to get to and from work a week with walking and biking?",True,False
"Tim is training for a charity cycling event while also using his bike as regular transportation, so his weekly log is full of numbers. From Monday through Friday, he works 5 days, usually leaving home at 7:10 a.m., locking his bike at the office rack by 7:58 a.m., taking a lunch break at 12:30, and heading home in the evening after checking his tire pressure, which he likes to keep at 90 psi in the front tire and 95 psi in the rear. His office building has 4 floors, 2 stairwells, and 18 bike rack slots, and the route passes 6 traffic lights, 3 parks, and a coffee shop where a muffin costs $3 and a coffee costs $4.50. On some mornings he carries a 12-pound backpack, a 1-pound lock, and a 24-ounce water bottle, although on Fridays he sometimes leaves the laptop at work. The bike itself weighs 22 pounds, has 21 gears, and recently needed a $35 tune-up, plus new brake pads for $18.

Tim rides his bike back and forth to work for each of his 5 workdays. His work is 20 miles away. During the workweek he also tracks calories, aiming for 2,400 per day, and notices that his cycling computer shows things like average cadence of 82 rpm and top speed of 31 mph on downhill sections, but he tries to keep a steady cruising pace. On Wednesday he thought about taking the bus, which would have cost $2.75 each way, but he ended up biking as usual. The round-trip route to work includes one bridge that is 0.8 miles long, a shaded path section of 2.5 miles, and a stretch with a posted speed limit of 35 mph for cars.

On the weekend, instead of commuting, he goes for a long bike ride of 200 miles. He plans snack stops every 40 miles, carries 6 energy bars, 4 bananas, and 3 spare tubes, and once considered shortening the ride to 180 miles if it rained, but this week he completes the full distance. His cycling club has 25 members, meets on Saturdays at 6:30 a.m., and suggests drinking one bottle of water every hour. Tim’s bike computer also records elevation gain, which this weekend was 4,800 feet, and his total moving time excludes a 30-minute stop at mile 120.

If he can bike at 25 mph how much time does he spend biking a week?",True,True
